DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;CritPowerLevel;BlockPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;CameraShakeID;CritCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement;StaminaDmg
AG_Reaver_Slash_01;Sword;0;0;false;Bullet;Light;Slash;;;false;;false;0.22499999403953552;1;1;0;0;0;10;15;10;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0;1;1;Small;Small;0;0.10000000149011612;1;0;0
AG_Reaver_Dash;Sword;0;0;false;Bullet;Heavy;Slash;;;false;;false;0.8500000238418579;1;1;3;3;3;30;25;30;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;1;1;Large;Large;0;0.800000011920929;1;1;0
AG_Reaver_Dash_Arcane;Sword;0;0;false;Bullet;Heavy;Slash;AI_ArcaneDMG_10;AI_Snare_6sec;true;;false;0.8500000238418579;1;1;3;3;3;30;25;30;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;1;1;Large;Large;0;0.800000011920929;1;1;0
AG_Spearman_Stab_01;Sword;0;0;false;Bullet;Light;Thrust;;;false;;false;0.30000001192092896;1;1;0;0;0;13;8;13;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;1;1;Small;Small;0;0.10000000149011612;1;0;0
AG_Spearman_Stab_02;Sword;0;0;false;Bullet;Light;Thrust;;;false;;false;0.30000001192092896;1;1;2;2;2;20;15;20;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;1;1;Small;Small;0;0.15000000596046448;1;1;0
AG_Spearman_ShieldBash_Sweep;Sword;0;0;false;Bullet;Heavy;Thrust;;;false;;false;0.8999999761581421;1;1;3;3;3;30;25;30;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;1.5;1.5;Small;Small;0;0.800000011920929;1;1;0
AG_Spearman_ShieldBash_Rush;Sword;0;0;false;Bullet;Heavy;Thrust;;;false;;false;0.6000000238418579;1;1;3;3;3;30;25;30;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;1.5;1.5;Small;Small;0;0.800000011920929;1;1;0
Damned_Priest_Fireball_Spell;AncientMagic;0;0;true;Bullet;Magic;Arcane;;;false;;false;0.3499999940395355;1;1;0;1;0;20;15;20;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;0;Small;Small;0;0.33000001311302185;1;1;0
Mage_Rolling_Spell;StaffSpells_No_Environment;0;1;true;Bullet;Magic;Arcane;;AI_Snare_6sec;false;;false;0.30000001192092896;1;1;0;0;0;30;25;30;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;0;Small;Small;0;0.33000001311302185;1;1;0
Damned_Priest_Ranged_AOE_Spell;StaffSpells_No_Environment;0;1;false;Bullet;Magic;Arcane;;;false;;false;0.20000000298023224;0.800000011920929;1;0;0;0;10;5;10;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;Small;Small;0;0;1;1;0
Damned_Priest_BlastAway_Spell;AncientMagic;0;0;false;Bullet;Magic;Arcane;;AI_Root_4sec;true;;false;1;1;1;2;2;2;29;24;29;0;2.5;0.75;0.800000011920929;0;2.5;0.75;0.800000011920929;0;1.5;0;0.800000011920929;0;1.2000000476837158;1.2000000476837158;1;Small;Small;1;0.550000011920929;1;1;0
Damned_Priest_Close_Staff_Attack;Club;0;0;false;Bullet;Light;Strike;;;false;Deflect_Default;false;0.25;1;1;0;1;0;10;5;10;0;1.75;0;0.800000011920929;0;1.75;0;0.800000011920929;0;0;0;0;0;1.5;1.5;1.75;Small;Small;3;0.15000000596046448;1;0;0
Damned_Priest_Close_Overhead_Staff_Attack;Club;0;0;false;Bullet;Heavy;Strike;;;false;Deflect_Default;false;1;1;1;3;3;3;30;25;30;0;1.75;0;0.800000011920929;0;1.75;0;0.800000011920929;0;0;0;0;0;1.5;1.5;1.75;Small;Small;3;0.33000001311302185;1;1;0
Mage_Frigid_Winds_Spell;StaffSpells_No_Environment;0;0;false;Bullet;Magic;Arcane;;;false;;false;0.15000000596046448;1;1;4;4;4;30;25;30;0;8;0.75;0.800000011920929;0;8;0.75;0.800000011920929;0;1.5;0;0.800000011920929;0;1.2000000476837158;1.2000000476837158;1;Small;Small;1;0.550000011920929;1;1;0
Mage_Arcane_Shield;StaffSpells_No_Environment;0;0;false;Bullet;Magic;Arcane;;;false;;false;0;1;1;3;3;3;30;25;30;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;0;0;0.800000011920929;0;1.2000000476837158;1.2000000476837158;1;Small;Small;1;0.550000011920929;1;1;0
Mage_Iceblock_Spell;StaffSpells_No_Environment;0;0;false;Bullet;Magic;Arcane;;;false;;false;0;1;1;1;1;1;15;10;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;1.2000000476837158;1.2000000476837158;1;Small;Small;1;0.550000011920929;1;1;0
Javelineer_Stab;Sword;0;0;false;Bullet;Light;Thrust;;;false;;false;0.3499999940395355;1;1;0;1;0;15;10;15;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;0.800000011920929;0;1;1;1;Small;Small;0;0.15000000596046448;1;0;0
Javelineer_Flurry;Sword;0;0;false;Bullet;Light;Thrust;;;false;;false;0.15000000596046448;1;1;1;1;1;15;15;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;1;1;1;Small;Small;0;0.20000000298023224;1;1;0
Javelineer_Throw;Sword;0;0;true;Bullet;Light;Thrust;;;false;;false;0.4000000059604645;1;1;0;1;0;10;15;10;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;0;Small;Small;0;0.20000000298023224;1;0;0
Javelineer_Heroic_Throw;Sword;0;0;true;Bullet;Heavy;Arcane;;;false;;false;0.6499999761581421;1;1;3;3;3;30;25;30;0;5;0;0.800000011920929;0;5;0;0.800000011920929;0;2;0;0.800000011920929;0;0;0;0;Small;Small;0;0.800000011920929;1;1;0
Javelineer_Lunge;Sword;0;0;false;Bullet;Heavy;Thrust;;;false;;false;0.6499999761581421;1;1;4;4;4;20;15;20;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;0.800000011920929;0;1;1;1;Small;Small;0;0.699999988079071;1;1;0
Javelineer_Lunge_Knockback;Sword;0;0;false;Bullet;Heavy;Thrust;;;false;;false;0.25;1;1;3;3;4;30;25;30;0;5;0;0.800000011920929;0;5;0;0.800000011920929;0;0;0;0.800000011920929;0;1;1;1;Small;Small;0;0.699999988079071;1;1;0
Javelineer_Slash;Sword;0;0;false;Bullet;Heavy;Slash;;;false;;false;0.3499999940395355;1;1;0;1;0;30;25;30;0;1.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1;1;1;Small;Small;0;0.20000000298023224;1;0;0
