DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;Unblockable;SurfaceImpactEffect;AttackType;DamageType;Affliction;AddAffliction;AfflictionPercent;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Claw_Swipe;ClubSpriggan;0;0;false;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0.6000000238418579;1;0;0;0;0;15;10;10;0;1.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.6000000238418579;0;1;;;1;0.6000000238418579;1;1
Claw_Overhead;ClubSpriggan;0;0;false;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;1;1;0;3;3;3;30;25;30;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;0.800000011920929;0;1;;;1;0.800000011920929;1;1
Claw_Combo_1;ClubSpriggan;0;0;false;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0.4000000059604645;1;0;0;0;0;15;10;10;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.6000000238418579;0;1;;;1;0.6000000238418579;1;1
Claw_Combo_2;ClubSpriggan;0;0;false;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0.5;1;0;0;0;0;15;10;10;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.6000000238418579;0;1;;;1;0.6000000238418579;1;1
Claw_Combo_3;ClubSpriggan;0;0;false;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0.800000011920929;1;0;3;3;3;30;25;30;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;0.800000011920929;0;1;;;1;0.800000011920929;1;1
Slithering_Arm;ClubSpriggan;0;0;false;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0.699999988079071;1;0;4;4;4;40;35;40;0;3;0;0.800000011920929;0;2;0;0.800000011920929;0;3;0;0.800000011920929;0;1;0;1;;;1;1;1;1
Bug_Swarm;ClubSpriggan;0;1;false;false;Bullet;Heavy;Nature;;;;;;false;Deflect_Default;false;0.03999999910593033;1;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;1;;;1;0;1;1
Boiling_Bog;ClubSpriggan;0;0;true;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;1;1;0;4;4;4;35;45;35;-1;3;0;0.800000011920929;-1;4;0;0.800000011920929;-1;3;0;0.800000011920929;0;2;0;1;;;1;2;1;1
Swamps_Revenge;ClubSpriggan;0;0;false;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0.6000000238418579;1;0;4;4;4;40;35;40;1.5;3;0;0.800000011920929;0;3;0;0.800000011920929;1.5;3;0;0.800000011920929;0;1.2000000476837158;0;1;;;1;1.2000000476837158;1;1
Swamps_Revenge_Splash;ClubSpriggan;0;0;false;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0;1;0;4;4;4;40;35;40;0;5;0;0.800000011920929;0;3;0;0.800000011920929;0;5;0;0.800000011920929;0;0.800000011920929;0;1;;;1;0.800000011920929;1;1
Muddy_Roots;ClubSpriggan;0;0;false;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0.20000000298023224;1;0;4;4;4;0;0;0;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;0;0;1;;;1;0;1;1
Muddy_Roots_Wipe;ClubSpriggan;1;0;false;true;Bullet;Heavy;Strike;;;;;StatusEffect_Boss_TeamWipe;false;Deflect_Default;false;999;1;0;5;4;5;0;0;0;0;5;0;0.800000011920929;0;5;0;0.800000011920929;0;5;0;0.800000011920929;0;0;0;1;;;1;0;1;1
Muddy_Roots_KnockBack;ClubSpriggan;0;0;false;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0;1;0;4;4;4;0;0;0;0;5;0;0.800000011920929;0;5;0;0.800000011920929;0;5;0;0.800000011920929;0;0;0;1;;;1;0;1;1
Adds_Wipe;ClubSpriggan;1;0;false;true;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;999;1;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;1;;;1;0;1;1
Deflect_Default;Unarmed;1;0;false;false;;;Deflect;;;;;;false;Deflect_Default;false;0;0;0;2;2;2;0;0;0;0;1;0;0.800000011920929;0;0;0;0;0;1;0;0.800000011920929;0;0;0;0;Small;Small;0;0.44999998807907104;1;1
