DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;StaggerResistModifier;CameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Broken_2H_TurnAround_Slash;Sword;0;0;;Bullet;Heavy;Slash;;;false;;false;1.100000023841858;1;1;4;4;4;35;30;35;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;1;Small;0;1;1;1
Broken_2H_TurnAround_Slash_Frenzy;Sword;0;0;;Bullet;Heavy;Slash;AI_CorruptionDMG_50;;false;;false;1.100000023841858;1;1;4;4;4;35;30;35;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;1;Small;0;1;1;1
Broken_1H_Stab_Triple;Sword;0;0;;Bullet;Light;Thrust;;AI_Bleed_9;true;;false;0.25;1;1;0;1;0;15;10;15;0;0.20000000298023224;0;0.800000011920929;0;0.20000000298023224;0;0.800000011920929;0;0.20000000298023224;0;0.800000011920929;0;1;1;Small;0;0.10000000149011612;1;0
Broken_1H_Stab_Triple_Frenzy;Sword;0;0;;Bullet;Light;Thrust;AI_CorruptionDMG_50;AI_Bleed_9;true;;false;0.25;1;1;0;1;0;15;10;15;0;0.20000000298023224;0;0.800000011920929;0;0.20000000298023224;0;0.800000011920929;0;0.20000000298023224;0;0.800000011920929;0;1;1;Small;0;0.10000000149011612;1;0
Broken_1H_Stab_Triple_Final;Sword;0;0;;Bullet;Light;Thrust;;AI_Bleed_9;true;;false;0.30000001192092896;1;1;1;1;1;20;15;20;0;1;0;0.800000011920929;0;0.20000000298023224;0;0.800000011920929;0;1;0;0.800000011920929;0;1;1;Small;0;0.25;1;0
Broken_1H_Stab;Sword;0;0;;Bullet;Light;Thrust;;;false;;false;0.25;1;1;0;1;0;15;10;15;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1;1;Small;0;0.10000000149011612;1;0
Broken_1H_Stab_Frenzy;Sword;0;0;;Bullet;Light;Thrust;AI_CorruptionDMG_50;;false;;false;0.25;1;1;0;1;0;15;10;15;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1;1;Small;0;0.25;1;1
Broken_2H_Running_Stab;Sword;0;0;;Bullet;Heavy;Thrust;;AI_Bleed_9;true;;false;1.0499999523162842;1;1;3;3;3;30;25;30;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;1;0;0.800000011920929;0;1;1;Small;0;1;1;1
Kick;Sword;0;0;;Bullet;Heavy;Strike;;;false;;false;0.800000011920929;1;1;3;4;3;30;25;30;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;1;0;0.800000011920929;0;1;1;Small;0;20;1;1
Fall;Fall;1;1;;Bullet;;Falling;;;false;;false;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;1
Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;false;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Small;1;0;0;1
