DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;SurfaceImpactEffect;AttackType;DamageType;Unblockable;IsRanged;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;CameraShakeID;TargetCameraShakeID;BlockCameraShakeID;BlockTargetCameraShakeID;CritCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier
Left_Hand_Ground_Pound;Unarmed;0;0;Bullet;Heavy;Strike;false;false;;;false;Deflect_Default;false;0.5;1;1;5;2;5;30;30;30;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;0.800000011920929;;1.5;Small;Small;Small;Small;Large_short;Large_short;;0.699999988079071;1
Arctic_Breath;Unarmed;0;0;Bullet;Magic;Ice;false;false;;Yeti_Arctic_Breath_Slow_6sec;false;Deflect_Default;false;1;1;1;2;1;2;15;15;15;0;0;0;0.800000011920929;0;0;0;0;0;0;0;0;0;0;;1;Large_short;Large_short;Large_short;Large_short;Large_short;Large_short;;1;1
Tempest_Call;Unarmed;0;0;Bullet;Magic;Ice;false;false;;;true;Deflect_Default;false;0.5;1;1;1;0;1;20;25;20;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;;1.5;Large_short;Large_short;Large_short;Large_short;Large_short;Large_short;;1;1
Glacier_Blade;Unarmed;0;0;Bullet;Magic;Ice;false;true;;;false;Deflect_Default;false;0;0;0;2;1;2;20;25;20;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;;1.5;Large_short;Large_short;Large_short;Large_short;Large_short;Large_short;;1;1
Glacier_Blade_2;Unarmed;0;0;Bullet;Magic;Ice;false;true;;Yeti_Arctic_Breath_Slow_6sec;true;Deflect_Default;false;0;0;0;2;1;2;20;25;20;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;;1.5;Large_short;Large_short;Large_short;Large_short;Large_short;Large_short;;1;1
Avalanche;Unarmed;0;0;Bullet;Heavy;Ice;false;true;;AI_Stun_2sec;true;Deflect_Default;false;1;1;1;3;2;3;20;25;20;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;;1.5;Large_short;Large_short;Large_short;Large_short;Large_short;Large_short;;0.8999999761581421;1
Avalancher_Detonate;Unarmed;0;0;Bullet;Heavy;Ice;false;true;;;true;Deflect_Default;false;1;1;1;3;2;3;20;25;20;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;;1.5;Large_short;Large_short;Large_short;Large_short;Large_short;Large_short;;0.8999999761581421;1
Overhead_Slam;Unarmed;0;0;Bullet;Heavy;Strike;false;false;;AI_Stun_2sec;true;Deflect_Default;false;0.5;1;1;4;2;4;20;25;20;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;;1.5;Large_short;Large_short;Large_short;Large_short;Large_short;Large_short;;0.8999999761581421;1
Swipe_Left;Unarmed;0;0;Bullet;Heavy;Slash;false;false;;;false;Deflect_Default;false;0.4000000059604645;1;1;3;1;3;20;15;20;1;2;0;0.800000011920929;1;1.5;0;0.800000011920929;1;2;0;0.800000011920929;0;0.5;;1;Small;Small;Small;Small;Large_short;Large_short;;0.5;1
Swipe_Right;Unarmed;0;0;Bullet;Heavy;Slash;false;false;;;false;Deflect_Default;false;0.4000000059604645;1;1;3;1;3;20;15;20;-1;3;0;0.800000011920929;-1;1.5;0;0.800000011920929;-1;2;0;0.800000011920929;0;0.5;;1;Small;Small;Small;Small;Large_short;Large_short;;0.5;1
Punch_Left;Unarmed;0;0;Bullet;Heavy;Strike;false;false;;;false;Deflect_Default;false;0.4000000059604645;1;1;2;1;2;20;15;20;1;2;0;0.800000011920929;1;1.5;0;0.800000011920929;1;2;0;0.800000011920929;0;0.5;;1;Small;Small;Small;Small;Large_short;Large_short;;0.5;1
Punch_Right;Unarmed;0;0;Bullet;Heavy;Strike;false;false;;;false;Deflect_Default;false;0.4000000059604645;1;1;2;1;2;20;15;20;-1;3;0;0.800000011920929;-1;1.5;0;0.800000011920929;-1;2;0;0.800000011920929;0;0.5;;1;Small;Small;Small;Small;Large_short;Large_short;;0.5;1
Shoulder_Charge;Unarmed;0;0;Bullet;Heavy;Strike;false;false;;;false;Deflect_Default;false;0.699999988079071;1;1;3;2;3;20;15;20;0;2;0;0.800000011920929;1;2;0;0.800000011920929;1;3;0;0.800000011920929;0;0.800000011920929;;1;Small;Small;Small;Small;Large_short;Large_short;;1;1
ShoulderCharge_Swipe;Unarmed;0;0;Bullet;Heavy;Slash;false;false;;;false;Deflect_Default;false;0.6000000238418579;1;1;4;2;4;20;15;20;-1;3;0;0.800000011920929;-1;1.5;0;0.800000011920929;-1;2;0;0.800000011920929;0;0.5;;1;Small;Small;Small;Small;Large_short;Large_short;;0.5;1
DeathStomp;Unarmed;0;0;Bullet;Heavy;Strike;false;false;;;false;Deflect_Default;false;0.5;1;1;4;2;4;30;30;30;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0.800000011920929;;1.5;Small;Small;Small;Small;Large_short;Large_short;;0.699999988079071;1
Fall;Fall;1;1;Bullet;;Falling;false;false;;;false;;false;1;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;Small;Small;Small;Small;Large_short;Large_short;;0;1
