DamageID;WeaponCategory;IsRanged;IgnoreInvulnerable;NoReaction;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;UseAttackerPosForReaction;DmgCoef;DmgCoefHead;PowerLevel;CritPowerLevel;BlockPowerLevel;HitStun;CritHitStun;BlockHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;StaggerResistModifier;CameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;LOSCheckVerticalAngleOffset
Left_Hand_Ground_Pound;Unarmed;;0;0;;Heavy;Strike;;;false;Deflect_Default;false;false;0.6000000238418579;1;3;3;3;30;30;25;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.5;1.5;Small;3;1;1;0
Minion_Left_Hand_Ground_Pound;Unarmed;;0;0;;Heavy;Strike;;;false;Deflect_Default;false;false;0.6000000238418579;1;0;0;0;10;10;10;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1.5;1.5;Small;3;1;1;0
Overhead_Slam;Unarmed;;0;0;;Heavy;Strike;;AI_Stun_2sec;true;Deflect_Default;false;false;1;1;8;8;3;20;20;15;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.5;1.5;Small;3;1.25;1;0
Splinter_Thorn;Unarmed;;0;0;;Heavy;Thrust;;;false;Deflect_Default;false;false;1;1;4;4;4;20;20;15;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1;1;Small;3;1;1;0
Earth_Spike;Unarmed;;0;0;;Heavy;Nature;;;false;Deflect_Default;false;false;1.149999976158142;1;4;4;4;10;10;5;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0;1;1;Small;3;0.5;1;0
Swipe_Left;Unarmed;;0;0;;Light;Slash;;;false;Deflect_Default;false;false;0.6000000238418579;1;0;0;0;20;20;15;1;2;0;0.800000011920929;1;2;0;0.800000011920929;1;1.5;0;0.800000011920929;0;1;1;Small;3;0.6000000238418579;1;0
Minion_Swipe_Left;Unarmed;;0;0;;Light;Slash;;;false;Deflect_Default;false;false;0.4000000059604645;1;0;0;0;10;10;10;0.5;0.5;0;0.800000011920929;0.5;0.5;0;0.800000011920929;0.5;0.5;0;0.800000011920929;0;1;1;Small;3;0.6000000238418579;1;0
Swipe_Left_Combo;Unarmed;;0;0;;Heavy;Slash;;;false;Deflect_Default;false;false;0.6000000238418579;1;4;4;4;20;20;15;2.5;2;0;0.800000011920929;2.5;2;0;0.800000011920929;2.5;1.5;0;0.800000011920929;0;1;1;Small;3;0.3499999940395355;1;0
Swipe_Right;Unarmed;;0;0;;Light;Slash;;;false;Deflect_Default;false;false;0.6000000238418579;1;0;0;0;20;20;15;-1;2;0;0.800000011920929;-1;2;0;0.800000011920929;-1;1.5;0;0.800000011920929;0;1;1;Small;3;0.6000000238418579;1;0
Minion_Swipe_Right;Unarmed;;0;0;;Light;Slash;;;false;Deflect_Default;false;false;0.4000000059604645;1;0;0;0;10;10;10;-0.5;0.5;0;0.800000011920929;-0.5;0.5;0;0.800000011920929;-0.5;0.5;0;0.800000011920929;0;1;1;Small;3;0.6000000238418579;1;0
Swipe_Right_Combo;Unarmed;;0;0;;Heavy;Slash;;;false;Deflect_Default;false;false;0.4000000059604645;1;2;2;2;20;20;15;1;2;0;0.800000011920929;1;2;0;0.800000011920929;1;1.5;0;0.800000011920929;0;1;1;Small;3;0.3499999940395355;1;0
Tail_Swipe_Windup;Unarmed;;0;0;;Light;Strike;;;false;Deflect_Default;false;false;0.20000000298023224;1;4;4;4;20;20;15;2;3;0;0.800000011920929;2;3;0;0.800000011920929;-3;2.25;0;0.800000011920929;0;1;1;Small;3;0.5;1;0
Tail_Swipe;Unarmed;;0;0;;Heavy;Strike;;;false;Deflect_Default;false;false;0.20000000298023224;1;4;4;4;20;20;15;-3;3;0;0.800000011920929;-3;3;0;0.800000011920929;-3;2.25;0;0.800000011920929;0;1;1;Small;3;0.5;1;0
Shoulder_Charge;Unarmed;;0;0;;Heavy;Strike;;;false;Deflect_Default;false;false;0.4000000059604645;1;4;4;4;20;20;15;1;3;0;0.800000011920929;1;3;0;0.800000011920929;1;2.25;0;0.800000011920929;0;1;1;Small;3;1;1;0
Minion_Shoulder_Charge;Unarmed;;0;0;;Heavy;Strike;;;false;Deflect_Default;false;false;0.4000000059604645;1;0;0;0;10;10;10;0.5;0.5;0;0.800000011920929;0.5;0.5;0;0.800000011920929;0.5;0.5;0;0.800000011920929;0;1;1;Small;3;1;1;0
Shoulder_Charge_Run;Unarmed;;0;0;;Heavy;Strike;;;false;Deflect_Default;false;false;0.4000000059604645;1;2;2;2;20;20;15;1;2;0;0.800000011920929;1;2;0;0.800000011920929;1;1.5;0;0.800000011920929;0;1;1;Small;3;0.5;1;0
Attack_Structure;Unarmed;;0;0;;;Siege;;;false;Deflect_Default;false;false;0.20000000298023224;1;3;3;3;30;30;25;-1;2;0;0.800000011920929;-1;2;0;0.800000011920929;-1;1.5;0;0.800000011920929;0;1;1;Small;3;1;1;0
