DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
DunePhantom_1H_Sword_Slash_Left;Sword;0;0;;Bullet;Light;Slash;;;false;Deflect_Default;false;0.20000000298023224;0.20000000298023224;0.20000000298023224;0;1;1;10;10;15;0;1.25;0;0.800000011920929;0;0.75;0;0.800000011920929;0;1.25;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.30000001192092896;1;1
DunePhantom_1H_Sword_Slash_Right;Sword;0;0;;Bullet;Light;Slash;;;false;Deflect_Default;false;0.10000000149011612;0.10000000149011612;0.10000000149011612;0;1;1;10;10;15;0;1.25;0;0.800000011920929;0;0.75;0;0.800000011920929;0;1;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.20000000298023224;1;1
DunePhantom_1H_Sword_Attack360_1;Sword;0;0;;Bullet;Heavy;Slash;;;false;Deflect_Default;false;0.30000001192092896;0.30000001192092896;0.30000001192092896;2;2;2;20;15;20;0;1;0;0.800000011920929;0;0.75;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;;1;Small;Small;Small;3;0.4000000059604645;1;1
DunePhantom_1H_Sword_Attack360_2;Sword;0;0;;Bullet;Heavy;Slash;;;false;Deflect_Default;false;0.5;0.5;0.5;3;3;3;25;20;25;0;1.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1;;2;Small;Small;Small;3;0.5;1;1
DunePhantom_Flying_Attack;Sword;0;0;;Bullet;Heavy;Thrust;;AI_Bleed_9;true;Deflect_Default;true;0.4000000059604645;0.4000000059604645;0.4000000059604645;2;2;3;20;15;20;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;2.5;0;0.800000011920929;0;0.5;;1;Small;Small;Small;4;0.699999988079071;1;1
DunePhantom_Berserker_SwordFury_1;Sword;0;0;;Bullet;Heavy;Slash;;AI_Bleed_9;true;Deflect_Default;true;0.30000001192092896;0.30000001192092896;0.30000001192092896;2;2;2;25;25;25;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.5;;2;Small;Small;Small;4;0.30000001192092896;1;1
DunePhantom_Berserker_SwordFury_2;Sword;0;0;;Bullet;Light;Slash;;AI_Bleed_9;true;Deflect_Default;true;0.20000000298023224;0.20000000298023224;0.20000000298023224;1;1;1;20;20;20;0;0.25;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.25;;1;Small;Small;Small;3;0.20000000298023224;1;1
DunePhantom_Berserker_SwordFury_3;Sword;0;0;;Bullet;Light;Slash;;AI_Bleed_9;true;Deflect_Default;true;0.20000000298023224;0.20000000298023224;0.20000000298023224;1;1;1;20;20;20;0;0.25;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.25;;1;Small;Small;Small;3;0.20000000298023224;1;1
DunePhantom_Berserker_SwordFury_4;Sword;0;0;;Bullet;Heavy;Slash;;AI_Bleed_9;true;Deflect_Default;true;0.5;0.5;0.5;3;3;3;25;25;25;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.800000011920929;;1;Small;Small;Small;4;0.30000001192092896;1;1
Undead_Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;false;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;10;Small;Small;Small;3;0;0;1
Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;false;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;10;Small;Small;Small;3;0;0;1
