DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affliction;AddAffliction;AfflictionPercent;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
DPT_Attack_Close_2H_Axe_04;Axe;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.25;0.25;0;0;0;0;10;5;0;0;1;0;0.800000011920929;0;0.5;0;0.20000000298023224;0;0;0;0;0;1;;1;Small;Small;Small;3;0.5;1;1
DPT_Attack_Close_2H_Axe_05;Axe;0;0;false;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.25;0.25;0;0;0;0;10;5;0;0;1;0;0.800000011920929;0;0.5;0;0.20000000298023224;0;0;0;0;0;1;;1;Small;Small;Small;3;0.5;1;1
DPT_Attack_Mid_2H_Axe_01;Axe;0;0;false;Bullet;Heavy;Strike;;;;;;false;Deflect_Default;false;0.5;0.5;0;3;1;0;20;10;0;0;1.25;0;0.800000011920929;0;0.75;0;0.30000001192092896;0;0;0;0;0;1;;1;Small;Small;Small;4;1.5;1;1
DPT_Attack_SandJuggernaut_RunAtk;Axe;0;0;false;Bullet;Heavy;Thrust;;;;;;false;Deflect_Default;false;0.30000001192092896;0.30000001192092896;0;3;2;0;15;10;0;0;2;0;0.800000011920929;0;1.5;0;0.20000000298023224;0;0;0;0;0;0.4000000059604645;;5;Small;Large;Large;4;0.20000000298023224;1;1
DPT_Attack_SandJuggernaut_AxeButt;Axe;0;0;false;Bullet;Heavy;Thrust;;;;;;false;Deflect_Default;false;0.3499999940395355;0.3499999940395355;0;3;2;0;20;10;0;0;2.5;0;0.800000011920929;0;2;0;0.4000000059604645;0;0;0;0;0;0.6000000238418579;;5;Small;Large;Large;4;0.4000000059604645;1;1
DPT_Attack_SandDevil_Atk1;Axe;0;0;false;Bullet;Heavy;Slash;;;;;;false;Deflect_Default;false;0.30000001192092896;0.30000001192092896;0;2;1;0;10;5;0;0;0.15000000596046448;0;0.800000011920929;0;0.15000000596046448;0;0.30000001192092896;0;0;0;0;0;0.6499999761581421;;10;Small;Medium;Medium;3;0.20000000298023224;1;0.5
DPT_Attack_SandDevil_Atk2;Axe;0;0;false;Bullet;Heavy;Slash;;;;;;false;Deflect_Default;false;0.3499999940395355;0.3499999940395355;0;2;1;0;10;5;0;0;0.15000000596046448;0;0.800000011920929;0;0.15000000596046448;0;0.30000001192092896;0;0;0;0;0;0.699999988079071;;10;Small;Medium;Medium;3;0.4000000059604645;1;0.5
DPT_Attack_SandDevil_Atk3;Axe;0;0;false;Bullet;Heavy;Slash;;;;;;false;Deflect_Default;false;0.3499999940395355;0.3499999940395355;0;2;2;0;10;5;0;0;1;0;0.800000011920929;0;0.800000011920929;0;0.30000001192092896;0;0;0;0;0;0.75;;10;Small;Large;Large;3;0.6000000238418579;1;0.5
DPT_Attack_SandDevil_AOE_React1;Axe;0;0;true;Bullet;Light;Nature;;;;;AI_DPTank_SandDevil_Rend_Cyclone;true;Deflect_Default;false;0.05000000074505806;0;0;1;1;0;5;5;0;0;0.4000000059604645;0;0.800000011920929;0;0.25;0;0;0;0;0;0;0;0;;1;Small;Small;Small;3;0.05000000074505806;1;0
DPT_Attack_SandDevil_AOE_React2;Axe;0;0;true;Bullet;Light;Slash;;;;;AI_DPTank_SandDevil_Bleed_Axe;true;Deflect_Default;false;0.05000000074505806;0;0;2;1;0;5;5;0;0;0.6000000238418579;0;0.800000011920929;0;0.5;0;0;0;0;0;0;0;0;;1;Small;Small;Small;3;0.05000000074505806;1;0
DPT_Attack_WorldSplitter_Atk1;Axe;0;0;false;Bullet;Heavy;Slash;;;;;AI_DPTank_WorldSplitter_Bleed_Axe;true;Deflect_Default;false;1;1;0;3;2;0;20;15;0;0;2;0;0.800000011920929;0;1.5499999523162842;0;0.30000001192092896;0;0;0;0;0;2;;1;Small;Large;Large;4;1;1;2
