DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affliction;AddAffliction;AfflictionPercent;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Damned_Unarmed_Kick;Unarmed;0;0;;Bullet;Light;Strike;;;;;;false;;false;0.25;1;1;0;0;0;20;15;20;0;0.75;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0;;0;Small;Small;Small;2;0.10000000149011612;1;1
Damned_2H_Melee_Primary;Axe;0;0;;Bullet;;Slash;;;;;;false;Deflect_Default;false;0.5;1;1;0;1;0;20;15;20;0;0;0;0.800000011920929;0;0;0;0;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;2;0.20000000298023224;1;0
Damned_2H_Melee_Spear;Spear;0;0;;Bullet;Light;Thrust;;;;;;false;Deflect_Default;false;0.5;1;1;0;0;0;20;15;20;0;1.25;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;1.25;0;0.800000011920929;0;0;;0;Small;Small;Small;2;0.10000000149011612;1;1
Damned_2H_Melee_Spear_Heavy;Spear;0;0;;Bullet;Heavy;Slash;;;;;;false;Deflect_Default;false;1.2000000476837158;1;1;0;1;0;30;18;30;0;2;0;0.800000011920929;0;1;0.44999998807907104;0.800000011920929;0;1.25;0;0.800000011920929;0;1;;1;Small;Small;Small;3;0.8999999761581421;1;1
Damned_2H_Melee_Spear_Heavy_Bleed;Spear;0;0;;Bullet;Heavy;Thrust;;;;;AI_Bleed_9;true;Deflect_Default;false;0.8999999761581421;1;1;0;1;0;30;16;30;0;2;0;0.800000011920929;0;1;0.44999998807907104;0.800000011920929;0;1.25;0;0.800000011920929;0;1;;1;Small;Small;Small;3;0.800000011920929;1;1
Damned_2H_Melee_Alternate;Sword;0;0;;Bullet;;Slash;;;;;;false;Deflect_Default;false;0.5;1;1;0;1;0;20;15;20;0;0;0;0.800000011920929;0;0;0;0;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;0
Damned_2H_Melee_Heavy;Sword;0;0;;Bullet;;Slash;;;;;;false;Deflect_Default;false;1;1;1;3;3;3;20;30;20;0;0;0;0.800000011920929;0;1;0.44999998807907104;0.800000011920929;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;4;0.9900000095367432;1;1
Dynasty_Spearman_Flying_Kick;Unarmed;0;0;;Bullet;Heavy;Strike;;;;;;false;;false;0.699999988079071;1;1;1;2;1;14;20;14;0;1.2000000476837158;0;0.800000011920929;0;1.100000023841858;0;0.800000011920929;0;1.2999999523162842;0;0.800000011920929;0;1;;0;Small;Small;Small;3;1.2000000476837158;1;1
Dynasty_Spearman_Spinning_Rising_Combo;Spear;0;0;;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.3499999940395355;1;1;0;1;0;13;13;13;0;1;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;1.100000023841858;0;0.800000011920929;0;0.800000011920929;;1;Small;Small;Small;3;0.3499999940395355;1;0.5
Dynasty_Spearman_Spinning_Rising_End;Spear;0;0;;Bullet;Heavy;Slash;;;;;;false;Deflect_Default;false;0.5;1;1;2;2;2;26;24;26;0;1.2999999523162842;0;0.800000011920929;0;1.2000000476837158;0;0.800000011920929;0;1.399999976158142;0;0.800000011920929;0;1.2000000476837158;;1;Small;Small;Small;4;0.6000000238418579;1;1
Dynasty_Spearman_Light_Stab;Spear;0;0;;Bullet;Light;Thrust;;;;;;false;Deflect_Default;false;0.36000001430511475;1;1;0;0;0;23;20;23;0;1.149999976158142;0;0.800000011920929;0;1.2000000476837158;0;0.800000011920929;0;1.399999976158142;0;0.800000011920929;0;1.2000000476837158;;1;Small;Small;Small;2;0.6000000238418579;1;1
Dynasty_Spearman_Heavy_Stab;Spear;0;0;;Bullet;Light;Thrust;;;;;;false;Deflect_Default;false;0.5299999713897705;1;1;0;1;0;23;17;23;0;1.399999976158142;0;0.800000011920929;0;1.2000000476837158;0;0.800000011920929;0;1.399999976158142;0;0.800000011920929;0;1.2000000476837158;;1;Small;Small;Small;3;0.6000000238418579;1;1
Dynasty_Spearman_Light_Swipe;Spear;0;0;;Bullet;Light;Slash;;;;;;false;Deflect_Default;false;0.41999998688697815;1;1;0;1;0;23;13;23;0;1.25;0;0.800000011920929;0;1.2000000476837158;0;0.800000011920929;0;1.399999976158142;0;0.800000011920929;0;1.2000000476837158;;1;Small;Small;Small;2;0.6000000238418579;1;1
