DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement;LOSCheckVerticalAngleOffset
Deflect_Default;Unarmed;1;0;false;;;Deflect;;;;Deflect_Default;false;0;0;0;2;2;2;0;0;0;0;1;0;0.800000011920929;0;0;0;0;0;1;0;0.800000011920929;0;0;0;Small;0;0.44999998807907104;1;1;0
Dynasty_Summoner_BlastAway_Spell;Club;0;0;false;Bullet;Magic;Corruption;;;;Deflect_Default;false;1;1;1;4;4;4;30;20;20;0;6;0.75;0.800000011920929;0;1.5;0;0.800000011920929;0;6;0.75;0.800000011920929;0;1.2000000476837158;5;Small;3;1;1;1;0
Dynasty_Summoner_Close_Staff_Attack;Club;0;0;false;Bullet;Light;Strike;;;;Deflect_Default;false;0.3499999940395355;1;1;0;0;0;5;5;5;0;1.75;0;0.800000011920929;0;1.75;0;0.800000011920929;0;1.75;0;0.800000011920929;0;0;0;Small;3;0.15000000596046448;1;0;0
Dynasty_Summoner_Close_Overhead_Staff_Attack;Club;0;0;false;Bullet;Heavy;Strike;;;;Deflect_Default;false;1;1;1;2;2;2;20;20;20;0;1.75;0;0.800000011920929;0;1.75;0;0.800000011920929;0;1.75;0;0.800000011920929;0;0;0;Small;3;1;1;1;0
Dynasty_Summoner_Siphon_Swords;DynastyMagic;0;0;false;Bullet;Magic;Corruption;;;;Deflect_Default;false;0.5;1;1;0;0;0;10;5;10;1;3;0;0.800000011920929;1;3;0;0.800000011920929;1;3;0;0.800000011920929;0;1.2000000476837158;5;Small;3;0.550000011920929;1;1;16
Dynasty_Summoner_Execution_Sword;DynastyMagic;0;0;false;Bullet;Magic;Corruption;;;;Deflect_Default;false;1.25;1;1;5;5;4;40;40;40;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;1.2000000476837158;5;Small;3;0.550000011920929;1;1;0
Dynasty_Summoner_Projectile_Shot;DynastyMagic;0;0;true;Bullet;Magic;Corruption;;;;Deflect_Default;false;0.3499999940395355;1;1;0;0;0;5;5;5;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;2;0;0.800000011920929;0;0;5;Small;0;0.15000000596046448;1;0;0
Dynasty_Summoner_Fan_Of_Swords;DynastyMagic;0;0;true;Bullet;Magic;Corruption;;;;Deflect_Default;false;0.3499999940395355;1;1;0;0;0;5;5;5;0;2;0;0.800000011920929;0;1;0;0.800000011920929;0;2;0;0.800000011920929;0;0;5;Small;0;0.15000000596046448;1;1;0
Dynasty_Summoner_Phantom_Blade;DynastyMagic;0;0;false;Bullet;Magic;Corruption;;;;Deflect_Default;false;0.800000011920929;1;1;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;1.2000000476837158;5;Small;3;0.550000011920929;1;1;0
Dynasty_Summoner_Phantom_Blade_PreMove;DynastyMagic;0;0;false;Bullet;Magic;Corruption;;;;Deflect_Default;false;0;0;0;0;0;0;0;0;0;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1.2000000476837158;5;Small;3;0.550000011920929;1;1;0
Fall;Fall;1;1;false;Bullet;;Falling;;;;;false;1;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Small;0;1;1;1;0
Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Small;1;0;0;1;0
