DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affliction;AddAffliction;AfflictionPercent;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Dynasty_Warrior_Light_Slash;Sword;0;0;;Bullet;Light;Slash;;;;;;;Deflect_Default;false;0.3199999928474426;1;1;0;0;0;20;15;20;0;0.8999999761581421;0;0.7699999809265137;0;0.800000011920929;0;0.7799999713897705;0;0.8999999761581421;0;0.7699999809265137;0;0;;0;Small;Small;Small;1;0.1599999964237213;1;0
Dynasty_Warrior_Slash;Sword;0;0;;Bullet;Light;Slash;;;;;;;Deflect_Default;false;0.4300000071525574;1;1;0;0;0;20;15;20;0;1;0;0.7799999713897705;0;0.8500000238418579;0;0.7799999713897705;0;1;0;0.7799999713897705;0;0;;0;Small;Small;Small;1;0.23000000417232513;1;0
Dynasty_Warrior_Light_Stab;Sword;0;0;;Bullet;Light;Thrust;;;;;;;Deflect_Default;false;0.3799999952316284;1;1;0;0;0;20;15;20;0;1.100000023841858;0;0.7900000214576721;0;1;0;0.7900000214576721;0;1.100000023841858;0;0.7900000214576721;0;0;;0;Small;Small;Small;1;0.2800000011920929;1;0
Dynasty_Warrior_Heavy_Slash;Sword;0;0;;Bullet;Heavy;Slash;;;;;;;Deflect_Default;false;0.7799999713897705;1;1;1;0;1;14;14;14;0;1.350000023841858;0;0.7900000214576721;0;1.149999976158142;0;0.7900000214576721;0;1.350000023841858;0;0.7900000214576721;0;1;;1;Small;Small;Small;2;0.4399999976158142;1;1
Dynasty_Warrior_Heavy_Stab;Sword;0;0;;Bullet;Heavy;Thrust;;;;;;;Deflect_Default;false;0.8999999761581421;1;1;1;1;1;16;12;16;0;1.600000023841858;0;0.800000011920929;0;1.2999999523162842;0;0.7900000214576721;0;1.600000023841858;0;0.800000011920929;0;1;;1;Small;Small;Small;2;0.5799999833106995;1;1
Dynasty_RushSlash;Sword;0;0;;Bullet;Light;Slash;;;;;;;Deflect_Default;false;0.6200000047683716;1;1;1;1;1;16;14;16;0;1.350000023841858;0;0.7900000214576721;0;1.149999976158142;0;0.7900000214576721;0;1.350000023841858;0;0.7900000214576721;0;1;;1;Small;Small;Small;2;0.3199999928474426;1;1
Dynasty_Warrior_Shield_Bash;Shield;0;0;;Bullet;Heavy;Strike;;;;;;;Deflect_Default;false;0.6800000071525574;1;1;2;2;2;21;26;21;0;2.25;0;0.800000011920929;0;1.850000023841858;0;0.800000011920929;0;2.25;0;0.800000011920929;0;0.5;;1;Small;Small;Small;3;0.7599999904632568;1;1
Dynasty_Warrior_Kick;Unarmed;0;0;;Bullet;Light;Strike;;;;;;;;false;0.2800000011920929;1;1;1;2;1;16;20;16;0;1.649999976158142;0;0.7900000214576721;0;1.399999976158142;0;0.800000011920929;0;1.649999976158142;0;0.7900000214576721;0;0;;0;Small;Small;Small;2;0.6800000071525574;1;1
Dynasty_RushBash;Sword;0;0;;Bullet;Heavy;Strike;;;;;;;Deflect_Default;false;0.41999998688697815;1;1;3;2;3;32;24;32;0;2.549999952316284;0;0.8100000023841858;0;1.899999976158142;0;0.800000011920929;0;2.549999952316284;0;0.8100000023841858;0;1;;1;Large;Small;Large;4;0.8799999952316284;1;1
Deflect_Default;Unarmed;1;0;;;;Deflect;;;;;;;;false;0;0;1;2;2;2;0;0;0;0;1;0;0.800000011920929;0;0;0;0;0;1;0;0.800000011920929;0;0;;0;Small;Small;Small;0;0.44999998807907104;1;1
Fall;Fall;1;1;;Bullet;;Falling;;;;;;;;false;1;0;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;Small;Small;Small;0;1;1;1
Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;;;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;Small;Small;Small;1;0;0;0
