DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;DeflectDamageID;Affixes;StatusEffect;EffectOnlyOnDamage;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;StaminaDmg;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;TargetCameraShakeID;CritTargetCameraShakeID;StunBreakoutIncrement;UseAttackerPosForReaction
Attack_Swipe_R;GhostMelee;0;0;false;Bullet;Light;Fire;;;;;FALSE;0.30000001192092896;1;1;0;0;0;10;10;10;0;0.699999988079071;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.20000000298023224;;0;0;1;0.20000000298023224;1;;;0;false
Attack_Flurry;GhostMelee;0;0;false;Bullet;Light;Fire;;;;;FALSE;0.20000000298023224;1;1;0;0;0;10;10;10;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.75;0;0.800000011920929;0;0.10000000149011612;;0;0;1;0.10000000149011612;1;;;0;false
Attack_Overhead;GhostMelee;0;0;false;Bullet;Heavy;Fire;;;;;FALSE;0.75;1;1;3;3;3;35;30;35;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.3499999940395355;;1;0;1;0.3499999940395355;1;;;1;false
Attack_Thrust;GhostMelee;0;0;false;Bullet;Heavy;Fire;;;;;FALSE;1.2999999523162842;1;1;3;3;3;35;30;35;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.3499999940395355;;1;0;1;0.3499999940395355;1;;;1;false
Spell_Charred_Self_Destruct;GhostSpell_Fire;0;0;true;;Magic;Fire;;;CharredGhost_Burn;TRUE;FALSE;1.5;1;1;4;4;4;35;30;35;0;4;1.5;0.800000011920929;0;3;0;0.800000011920929;0;4;1.5;0.800000011920929;0;3;;2.200000047683716;0;1;3;2;;;1;false
Spell_Charred_Self_Destruct_Hit_Self;GhostSpell_Fire;0;0;false;;;Standard;;;;;FALSE;1000;1;1;4;4;4;35;30;35;0;4;1.5;0.800000011920929;0;3;0;0.800000011920929;0;4;1.5;0.800000011920929;0;3;;4;0;1;3;2;;;1;false
Spell_Charred_Immolated_Ground;GhostSpell_Fire;0;0;true;;Magic;Fire;;;CharredGhost_Burn;TRUE;FALSE;0.6000000238418579;1;1;3;3;3;30;25;30;0;2.5;0;0.800000011920929;0;2;0;0.800000011920929;0;2.5;0;0.800000011920929;0;0.6000000238418579;;1.5;0;1;0.6000000238418579;2;;;1;false
Spell_Charred_Immolated_Ground_Area;GhostSpell_Fire;0;0;false;;;Fire;;;;;FALSE;0.17000000178813934;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1.5;0;0;0;0;;;0;false
Spell_Charred_Fire_Wave;GhostSpell_Fire;0;0;true;;Magic;Fire;;;CharredGhost_Burn;TRUE;FALSE;0.4000000059604645;1;1;3;3;3;30;25;30;0;4;0;0.800000011920929;0;1;0;0.800000011920929;0;4;0;0.800000011920929;0;0.6000000238418579;;1.2000000476837158;0;1;0.30000001192092896;2;;;1;true
Spell_Charred_Fire_Shot;GhostSpell_Fire;0;0;true;;Light;Fire;;;CharredGhost_Burn;TRUE;FALSE;0.4000000059604645;1;1;0;0;0;10;10;10;0;2;0;0.800000011920929;0;1;0;0.800000011920929;0;2;0;0.800000011920929;0;0.4000000059604645;;1.2000000476837158;0;1;0.20000000298023224;2;;;0;false
Spell_Charred_Fire_Aura;GhostSpell_Fire;0;0;false;;Magic;Fire;;;CharredGhost_Burn;TRUE;FALSE;0.07999999821186066;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;1;false
Reaction_Breakout_Attack;GhostMelee;0;0;false;Bullet;Heavy;Fire;;;;;FALSE;0.699999988079071;1;1;3;3;3;35;30;35;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0;;0.6000000238418579;0;1;0.6000000238418579;1;;;1;false
Fall;Fall;1;1;false;Bullet;;Falling;;;;;FALSE;1;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;1;;;1;false
Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;0;1;1;0;;;1;false
Deflect_Default;GhostMelee;1;0;false;;;Deflect;;;;;FALSE;0;0;0;2;2;2;0;0;0;0;1;0;0.800000011920929;0;0;0;0;0;1;0;0.800000011920929;0;0;;0;0;0;1;1;;;1;false
