DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;DeflectDamageID;Affixes;StatusEffect;EffectOnlyOnDamage;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;AddDmg;StaminaDmg;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;TargetCameraShakeID;CritTargetCameraShakeID;StunBreakoutIncrement;UseAttackerPosForReaction
Attack_Swipe_R;GhostMelee;0;0;false;Bullet;Light;Nature;;;;;FALSE;0.30000001192092896;1;1;0;0;0;15;10;15;0;0.699999988079071;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0.20000000298023224;;0;0;0;1;0.20000000298023224;1;;;0;false
Attack_Flurry;GhostMelee;0;0;false;Bullet;Light;Nature;;;;;FALSE;0.20000000298023224;1;1;0;0;0;20;15;20;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.75;0;0.800000011920929;0.15000000596046448;;0;0;0;1;0.15000000596046448;1;;;0;false
Attack_Overhead;GhostMelee;0;0;false;Bullet;Heavy;Nature;;;;;FALSE;0.75;1;1;3;3;3;35;30;35;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0.3499999940395355;;1;0;0;1;0.3499999940395355;1;;;1;false
Spell_Plagued_Disease_Shot;GhostSpell_Disease;0;0;true;Bullet;Magic;Nature;;;PlaguedGhost_Disease;True;FALSE;0.5;1;1;0;0;0;15;10;15;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0.3499999940395355;;1.7999999523162842;0;0;1;0.3499999940395355;1;;;0;false
Spell_Plagued_Disease_Swarm;GhostSpell_Disease;0;1;false;Bullet;Magic;Nature;;;PlaguedGhost_Disease;True;FALSE;0.05000000074505806;1;1;0;0;0;15;10;15;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0.05000000074505806;;2.200000047683716;0;0;1;0.05000000074505806;1;;;0;false
Spell_Plagued_Acid_Spray;GhostSpell_Disease;0;0;true;Bullet;Magic;Nature;;;PlaguedGhost_Disease;True;FALSE;0.07999999821186066;1;1;0;1;0;15;10;15;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0.10000000149011612;;2.200000047683716;0;0;1;0.10000000149011612;1;;;1;true
Spell_Plagued_Plague_Nova;GhostSpell_Disease;0;0;false;Bullet;Magic;Nature;;;PlaguedGhost_Disease;True;FALSE;1;1;1;3;3;3;35;30;35;0;2;0;0.800000011920929;0;1;0;0.800000011920929;0;2;0;0.800000011920929;0.4000000059604645;;2.200000047683716;0;0;1;0.4000000059604645;1;;;1;false
Reaction_Breakout_Attack;GhostMelee;0;0;false;Bullet;Heavy;Nature;;;;;FALSE;0.699999988079071;1;1;3;3;3;35;30;35;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0.6000000238418579;;10;0;0;1;0.6000000238418579;1;;;1;false
Attack_Thrust;GhostMelee;0;0;false;Bullet;Magic;Magic;;;;;FALSE;1.2999999523162842;1;0;3;3;0;35;30;35;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0.3499999940395355;;1;0;0;1;0.3499999940395355;1;;;1;false
Fall;Fall;1;1;false;Bullet;;Falling;;;;;FALSE;1;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;1;;;1;false
Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;0;0;1;0;0;;;1;false
Deflect_Default;GhostMelee;1;0;false;;;Deflect;;;;;FALSE;0;0;0;2;2;0;0;0;0;0;1;0;0.800000011920929;0;0;0;0;0;1;0;0.800000011920929;0;;0;0;0;0;1;1;;;1;false
