DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;CameraShakeID;CritCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;LOSCheckVerticalAngleOffset
Headbutt;Blunt_AI;0;0;Bullet;Heavy;Siege;;;false;Deflect_Default;false;1;1;1;1;1;1;10;5;10;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.6000000238418579;1;0
Slash;Blunt_AI;0;0;Bullet;Light;Slash;;;false;Deflect_Default;false;0.5;1;1;0;1;0;10;5;10;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.10000000149011612;1;0
Slash_Light;Blunt_AI;0;0;Bullet;Light;Slash;;;false;Deflect_Default;false;0.3499999940395355;1;1;0;1;0;10;5;10;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;0.10000000149011612;1;0
Bite;Blunt_AI;0;0;Bullet;Light;Slash;;;false;Deflect_Default;false;0.6000000238418579;1;1;0;1;0;10;5;10;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.6000000238418579;0.6000000238418579;1;Small;Small;3;0.30000001192092896;1;0
Bite_Diseased;Blunt_AI;0;0;Bullet;Light;Slash;;AI_Disease;true;Deflect_Default;false;0.800000011920929;1;1;0;1;0;10;5;10;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.6000000238418579;0.6000000238418579;1;Small;Small;3;0.30000001192092896;1;0
Overhead_Slash;Blunt_AI;0;0;Bullet;Heavy;Slash;;;false;Deflect_Default;false;0.800000011920929;1;1;1;1;1;10;15;10;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.800000011920929;0.800000011920929;1;Small;Small;3;0.800000011920929;1;0
Sonic_Boom;Sonic_Boom;0;0;Bullet;Heavy;Strike;;;false;Deflect_Default;false;1;1;1;4;4;4;10;5;10;0;3.5;0;0.800000011920929;0;3.5;0;0.800000011920929;0;1.2000000476837158;0;0.800000011920929;0;0.800000011920929;0.800000011920929;1;Small;Small;3;0.800000011920929;1;16
Lunge;Blunt_AI;0;0;Bullet;Heavy;Slash;;;false;Deflect_Default;false;1;1;1;3;3;3;30;25;30;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;1.2000000476837158;0;0.800000011920929;0;0.8999999761581421;0.8999999761581421;1;Small;Small;3;0.800000011920929;1;0
Bite_Additive;Blunt_AI;0;0;Bullet;Light;Slash;;;false;Deflect_Default;false;0.800000011920929;1;1;0;3;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0;0;0.6000000238418579;0.6000000238418579;1;Small;Small;3;0.30000001192092896;1;0
Fall;Fall;1;1;Bullet;;Falling;;;false;;false;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;1;0
Reaction_Breakout;Fall;1;1;Bullet;;Falling;;;false;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Small;Small;1;0;0;0
