DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;AttackDealsNoDurability;NoBackstab;NoLegShots;CancelTargetHoming;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;StaggerResistModifier;CameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier
Frostfang_Attack_Sickle_QuickStrike;Sword;0;0;;Bullet;Light;Strike;;;false;;;;;Default;false;0.05000000074505806;0;0;0;0;0;5;3;0;0;0.30000001192092896;0;0.4000000059604645;0;0;0;0;0;0.25;0;0;0;1;1;Small;0;0.10000000149011612;1
Frostfang_Attack_Sickle_StrongSlash;Sword;0;0;;Bullet;Light;Slash;;;false;;;;;Default;false;0.10000000149011612;0;0;0;1;0;10;5;0;0;0.6000000238418579;0;0.4000000059604645;0;0;0;0;0;0.5;0;0;0;1;1;Small;0;0.20000000298023224;1
Frostfang_Attack_Sickle_FierceThrust;Sword;0;0;;Bullet;Heavy;Thrust;;;false;;;;;Default;false;0.15000000596046448;0;0;2;2;1.2000000476837158;15;10;0;0;0.800000011920929;0;0.800000011920929;0;0;0;0;0;0.6000000238418579;0;0;0;1;5;Small;1;0.25;1
Frostfang_Attack_Sickles_DualStrike;Sword;0;0;;Bullet;Light;Strike;;;false;;;;;Default;false;0.20000000298023224;0;0;1;1;0;15;10;0;0;0.4000000059604645;0;0.4000000059604645;0;0;0;0;0;0.3499999940395355;0;0;0;1;2;Large;1;0.15000000596046448;1
Frostfang_Attack_Sickles_DualSlash;Sword;0;0;;Bullet;Heavy;Slash;;;false;;;;;Default;false;0.25;0;0;2;2;0;20;15;0;0;1.5;0;0.4000000059604645;0;0;0;0;0;1.25;0;0;0;1;2;Large;1;0.25;1
Frostfang_Attack_Sickles_DualThrust;Sword;0;0;;Bullet;Heavy;Thrust;;;false;;;;;Default;false;0.30000001192092896;0;0;3;2;1.399999976158142;25;20;0;0;1;0;0.800000011920929;0;0;0;0;0;0.800000011920929;0;0;0;1;5;Large;1;0.30000001192092896;1
Frostfang_Attack_Sickle_InflictWeaken;Sword;0;0;;Bullet;Heavy;Ice;;AI_IceDryad_Frostfang_Debuff_Weaken;true;;;;;Default;false;0.15000000596046448;0;0;1;1;1.2000000476837158;25;20;0;0;0.800000011920929;0;0.800000011920929;0;0;0;0;0;0.6000000238418579;0;0;0;1;5;Small;1;1;1
Frostfang_Attack_FrostBiter_Nav_Hit;Sword;0;0;;Bullet;Heavy;Ice;;;false;;;;;Default;false;0.20000000298023224;0;0;2;2;0;30;25;0;0;1.5;0;0.4000000059604645;0;0;0;0;0;1.25;0;0;0;1;10;Large;2;0.25;1
Frostfang_Attack_FrostBiter_Ender_Hit;Sword;0;0;;Bullet;Heavy;Ice;;;false;;;;;Default;false;0.25;0;0;3;3;0;35;30;0;0;3;0.5;0.4000000059604645;0;0;0;0;0;2;0;0;0;1;10;Large;3;0.25;1
Frostfang_Attack_FrostBiter_CrossSlash;Sword;0;0;;Bullet;Light;Slash;;;false;;;;;Default;false;0.10000000149011612;0;0;0;1;0;10;5;0;0;0.6000000238418579;0;0.4000000059604645;0;0;0;0;0;0.5;0;0;0;1;1;Small;0;0;1
Reaction_Breakout;Fall;1;1;;Fall;Fall;Strike;;;false;;;;;Default;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Small;1;1;0
Reaction_BreakoutAttack_Light;Sword;1;1;;Bullet;Light;Slash;;;false;;;;;Default;false;0.05000000074505806;0.05000000074505806;0;0;0;0;15;5;0;0;0.6000000238418579;0;0.4000000059604645;0;0;0;0;0;0.5;0;0;0;1;1;Small;1;1;0
Reaction_BreakoutAttack_Heavy;Sword;1;1;;Bullet;Heavy;Thrust;;;false;;;;;Default;false;0.10000000149011612;0.10000000149011612;0;2;1;0;25;15;0;0;0.4000000059604645;0;0.4000000059604645;0;0;0;0;0;0.3499999940395355;0;0;0;1;2;Large;1;1;0
Frostfang_Grit_StaggerResist;Fall;0;0;;Bullet;;;;;false;;;;;Default;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Small;0;0;0
Fall;Fall;1;1;;Falling;;Falling;;;false;;;;;;false;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1
