DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;CritPowerLevel;BlockPowerLevel;HitStun;CritHitStun;BlockHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;CameraShakeID;CritCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement;StaminaDmg;DamageGuildAndGroup
Attack_Stab;Spear;0;0;false;Bullet;Light;Thrust;;;;;false;0.6000000238418579;1;1;1;1;1;16;16;13;0;1.100000023841858;0;0.800000011920929;0;1.2000000476837158;0;0.800000011920929;0;1.100000023841858;0;0.800000011920929;0;1;1;1;Small;Small;0;0.5;1;1;0;false
Attack_HeavyStab;Spear;0;0;false;Bullet;Heavy;Thrust;;;;;false;0.8500000238418579;1;1;3;3;3;32;32;36;0;2;0;0.800000011920929;0;2.200000047683716;0;0.800000011920929;0;2;0;0.800000011920929;0;1;1;1;Small;Small;0;0.6600000262260437;1;1;0;false
Attack_Slash;Spear;0;0;false;Bullet;Light;Slash;;;;;false;0.699999988079071;1;1;2;2;3;24;24;32;0;2;0;0.800000011920929;0;1.7999999523162842;0;0.800000011920929;0;2;0;0.800000011920929;0;1;1;1;Small;Small;0;0.5;1;1;0;false
Attack_Sweep;Spear;0;0;false;Bullet;Heavy;Slash;;;;;false;0.20000000298023224;1;1;5;5;2;24;24;17;0;1.399999976158142;0;0.800000011920929;0;1.2999999523162842;0;0.800000011920929;0;1.399999976158142;0;0.800000011920929;0;1;1;1;Small;Small;0;0.5;1;1;0;false
Attack_SweepAdditive;Spear;0;0;false;Bullet;Light;Slash;;;;;false;0.30000001192092896;1;1;0;0;2;12;24;17;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;1;1;1;;;0;0.33000001311302185;1;0;0;false
Attack_SweepFinisher;Spear;0;0;false;Bullet;Light;Slash;;;;;false;0.30000001192092896;1;1;2;2;3;22;22;32;0;1.2000000476837158;0;0.800000011920929;0;1;0;0.800000011920929;0;1.2000000476837158;0;0.800000011920929;0;1;1;1;Small;Small;0;0.5;1;1;0;false
Attack_DodgeStab;Spear;0;0;false;Bullet;Light;Thrust;;;;;false;0.44999998807907104;1;1;1;1;1;14;14;11;0;0.8999999761581421;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;1;1;1;Small;Small;0;0.33000001311302185;1;1;0;false
Attack_KneeLeap;Spear;0;0;false;Bullet;Light;Strike;;;;;false;0.30000001192092896;1;1;3;3;2;30;30;22;0;2.4000000953674316;0;0.800000011920929;0;1.7999999523162842;0;0.800000011920929;0;2.4000000953674316;0;0.800000011920929;0;1;1;1;Small;Small;0;0.800000011920929;1;1;0;false
Attack_Kick;Spear;0;0;false;Bullet;Heavy;Strike;;;;;false;0.30000001192092896;1;1;4;4;3;16;16;34;0;5.400000095367432;0.5;0.800000011920929;0;3.4000000953674316;0;0.800000011920929;0;5.400000095367432;0.5;0.800000011920929;0;1;1;1;Small;Small;0;1;1;1;0;false
Attack_DashStab;Spear;0;0;false;Bullet;Heavy;Thrust;;;;;false;0.8500000238418579;1;1;4;4;3;32;32;38;0;7;0;0.800000011920929;0;5;0;0.800000011920929;0;7;0;0.800000011920929;0;1;1;1;Small;Small;0;1.2000000476837158;1;1;0;false
