DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;CameraShakeID;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Spell_Gravity_Vortex;Unarmed;0;0;Bullet;;;;;false;Deflect_Default;false;0;0;;3;3;3;30;30;;0;-1;0;0.800000011920929;0;-1;0;0.800000011920929;0;-1;0;0.800000011920929;0;1.5;;1.5;;Small;Small;Small;3;0;1;1
Ogre_Ball;Unarmed;0;0;Bullet;Heavy;Corruption;;;false;Deflect_Default;false;0.699999988079071;1;;4;3;4;20;34;;0;3.5;0;0.8100000023841858;0;2.5;0;0.7799999713897705;0;3.5;0;0.8100000023841858;0;1.5;;1.5;;Small;Small;Small;3;0.3499999940395355;1;1
Left_Hand_Ground_Pound;Unarmed;0;0;Bullet;Heavy;Strike;;;false;Deflect_Default;false;0.6000000238418579;1;;3;3;3;30;30;;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;;1.5;;Small;Small;Small;3;1;1;1
Overhead_Slam;Unarmed;0;0;Bullet;Heavy;Strike;;Sword_ShieldBash_Stun2;true;Deflect_Default;false;1;1;;8;3;8;20;32;;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;1.5;;1.5;;Small;Small;Small;3;1.25;1;1
Splinter_Thorn;Unarmed;0;0;Bullet;Heavy;Thrust;;;false;Deflect_Default;false;1;1;;4;3;4;20;15;;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;1;;1;;Small;Small;Small;3;1;1;1
Earth_Spike;Unarmed;0;0;Bullet;Heavy;Thrust;;;false;Deflect_Default;false;1.149999976158142;1;;4;3;4;10;15;;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;1;;1;;Small;Small;Small;3;0.5;1;1
Swipe_Left;Unarmed;0;0;Bullet;Light;Slash;;;false;Deflect_Default;false;0.4000000059604645;1;;1;2;1;16;21;;1;2;0;0.800000011920929;1;1.5;0;0.800000011920929;1;2;0;0.800000011920929;0;1;;1;;Small;Small;Small;3;0.5;1;1
Swipe_Left_Combo;Unarmed;0;0;Bullet;Heavy;Slash;;;false;Deflect_Default;false;0.6000000238418579;1;;4;3;4;20;31;;2.5;2;0;0.800000011920929;2.5;1.5;0;0.800000011920929;2.5;2;0;0.800000011920929;0;1;;1;;Small;Small;Small;3;0.30000001192092896;1;1
Swipe_Right;Unarmed;0;0;Bullet;Light;Slash;;;false;Deflect_Default;false;0.4000000059604645;1;;1;2;1;18;23;;-1;2;0;0.800000011920929;-1;1.5;0;0.800000011920929;-1;2;0;0.800000011920929;0;1;;1;;Small;Small;Small;3;0.5;1;1
Swipe_Right_Combo;Unarmed;0;0;Bullet;Heavy;Slash;;;false;Deflect_Default;false;0.4000000059604645;1;;2;2;2;20;28;;1;2;0;0.800000011920929;1;1.5;0;0.800000011920929;1;2;0;0.800000011920929;0;1;;1;;Small;Small;Small;3;0.30000001192092896;1;1
Tail_Swipe_Windup;Unarmed;0;0;Bullet;Light;Strike;;;false;Deflect_Default;false;0.20000000298023224;1;;4;3;4;20;30;;2;3;0;0.800000011920929;-3;2.25;0;0.800000011920929;2;3;0;0.800000011920929;0;1;;1;;Small;Small;Small;3;0.5;1;1
Tail_Swipe;Unarmed;0;0;Bullet;Heavy;Strike;;;false;Deflect_Default;false;0.20000000298023224;1;;4;4;4;20;43;;-3;3;0;0.800000011920929;-3;2.25;0;0.800000011920929;-3;3;0;0.800000011920929;0;1;;1;;Small;Small;Small;3;0.5;1;1
Shoulder_Charge;Unarmed;0;0;Bullet;Heavy;Strike;;;false;Deflect_Default;false;0.4000000059604645;1;;4;3;4;20;32;;1;3;0;0.800000011920929;1;2.25;0;0.800000011920929;1;3;0;0.800000011920929;0;1;;1;;Small;Small;Small;3;1;1;1
Attack_Structure;Unarmed;0;0;Bullet;;Siege;;;false;Deflect_Default;false;1;1;;3;2;3;30;320;;-1;2;0;0.800000011920929;-1;1.5;0;0.800000011920929;-1;2;0;0.800000011920929;0;1;;1;;Small;Small;Small;3;1;1;1
Fall;Fall;1;1;Bullet;;Falling;;;false;;false;1;1;;2;2;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;0;0;1;0
