DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;StunBreakoutIncrement
Attack;Blunt_AI;0;0;false;Bullet;Light;Strike;;;false;Deflect_Default;false;0.3499999940395355;1;;0;1;0;15;10;15;0;0.75;0;0.800000011920929;0;0;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.10000000149011612;;1;3;0.10000000149011612;1;Small ;Small ;Small ;0
Attack_Rampage;Blunt_AI;0;0;false;Bullet;Light;Strike;;;false;Deflect_Default;false;0.20000000298023224;1;;0;1;0;15;10;15;0;0.5;0;0.800000011920929;0;0;0;0.800000011920929;0;0.25;0;0.800000011920929;0;0.10000000149011612;;1;3;0.10000000149011612;1;Small ;Small ;Small ;0
Attack_Leap;Blunt_AI;0;0;false;Bullet;Heavy;Strike;;;false;Deflect_Default;false;1;1;;2;1;2;20;12;20;0;1.5;0;0.800000011920929;0;0;0;0.800000011920929;0;1;0;0.800000011920929;0;0.800000011920929;;1;3;0.800000011920929;1;Small ;Small ;Small ;1
Vomit_Ball;Regurgitator_Vomitball;0;0;true;Bullet;Light;Strike;;AI_Disease;true;Deflect_Default;false;0.699999988079071;1;;0;1;0;15;10;15;0;0.75;0;0.800000011920929;0;0;0;0.800000011920929;0;1;0;0.800000011920929;0;0.20000000298023224;;1;3;0.20000000298023224;1;Small ;Small ;Small ;0
Vomit_Spray;Regurgitator_Vomitspray;0;0;false;Bullet;Heavy;Strike;;AI_Disease;true;Deflect_Default;false;1;1;;3;2;3;30;25;30;0;1.5;0;0.800000011920929;0;0;0;0.800000011920929;0;1;0;0.800000011920929;0;0.10000000149011612;;10;3;0.10000000149011612;1;Small ;Small ;Small ;1
Deflect_Default;Blunt_AI;1;0;false;;;Deflect;;;false;;false;0;1;;2;2;2;0;0;0;0;1;0;0.800000011920929;0;0;0;0;0;1;0;0.800000011920929;0;1;;1;3;1;1;;;;1
Bomber_Explode_Close;DemoHammer;0;0;false;Bullet;Heavy;Siege;;;false;Deflect_Default;false;200;200;;4;1;4;15;10;15;0;1;0;0.800000011920929;0;0;0;0.800000011920929;0;1;0;0.800000011920929;0;1;;1;3;2;1;Small ;Small ;Small ;1
Bomber_Explode_Mid;DemoHammer;0;0;false;Bullet;Heavy;Siege;;;false;Deflect_Default;false;150;150;;4;1;4;15;10;15;0;1;0;0.800000011920929;0;0;0;0.800000011920929;0;1;0;0.800000011920929;0;1;;1;3;2;1;Small ;Small ;Small ;1
Bomber_Explode_Far;DemoHammer;0;0;false;Bullet;Heavy;Siege;;;false;Deflect_Default;false;100;100;;4;1;4;15;10;15;0;1;0;0.800000011920929;0;0;0;0.800000011920929;0;1;0;0.800000011920929;0;1;;1;3;2;1;Small ;Small ;Small ;1
Bomber_Destroy_Self;Blunt_AI;0;0;false;Bullet;;Standard;;;false;Deflect_Default;false;500;500;;1;1;1;15;10;15;0;1;0;0.800000011920929;0;0;0;0.800000011920929;0;1;0;0.800000011920929;0;1;;1;3;2;1;Small ;Small ;Small ;1
Fall;Fall;1;1;false;Bullet;;Falling;;;false;;false;1;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1;0;1;1;;;;1
