DamageID;WeaponCategory;IgnoreInvulnerable;IsRanged;NoReaction;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;TargetCameraShakeID;StunBreakoutIncrement
Attack;Unarmed;0;;0;Bullet;Light;Slash;;;;Deflect_Default;false;0.3499999940395355;0.25;0.25;0;0;0;0;0;0;0;0.699999988079071;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0.10000000149011612;1;Small ;0
Attack_Rampage;Unarmed;0;;0;Bullet;Light;Slash;;;;Deflect_Default;false;0.20000000298023224;0.25;0.25;0;0;0;0;0;0;0;0.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.30000001192092896;0;0.800000011920929;0;1;0.10000000149011612;1;Small ;0
Attack_Leap;Blunt_AI;0;;0;Bullet;Heavy;Strike;;;;Deflect_Default;false;1;0.3499999940395355;0.3499999940395355;2;2;2;20;15;20;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;1.5;0;0.800000011920929;0;3;0.699999988079071;1;Small ;1
Vomit_Ball;Regurgitator_Vomitball;0;1;0;Bullet;Light;Strike;;;;Deflect_Default;false;0.5;0.25;0.25;1;1;1;15;10;15;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;3;0.20000000298023224;1;Small ;0
Vomit_Spray;Regurgitator_Vomitspray;0;;0;Bullet;Light;Strike;;;;Deflect_Default;false;0.25;0.25;0.25;1;1;1;15;10;15;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0;0.10000000149011612;1;Small ;0
Deflect_Default;Blunt_AI;1;;0;;;Deflect;;;;;false;0.25;0.25;0.25;2;2;2;0;0;0;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;0;0;0;1;1;;0
Fall;Fall;1;;1;Bullet;;Falling;;;;;false;0.25;0.25;0.25;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;0
Vomit_Puddle;BlightFiend_Vomit;0;1;0;Bullet;Light;Strike;;;;Deflect_Default;false;0.25;0.25;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Small ;0
Death_Blast_1;Blunt_AI;0;;0;Bullet;Magic;Nature;;;;Deflect_Default;false;1.100000023841858;0.4000000059604645;1.100000023841858;4;4;4;25;20;25;0;5;0;0.800000011920929;0;5;0;0.800000011920929;0;0;0;0.800000011920929;0;3;1.25;1;Small ;1
Death_Blast_2;Blunt_AI;0;;0;Bullet;Magic;Nature;;;;Deflect_Default;false;1.100000023841858;0.4000000059604645;1.100000023841858;4;4;4;25;20;25;0;4;0;0.800000011920929;0;4;0;0.800000011920929;0;0;0;0.800000011920929;0;3;1.25;1;Small ;1
Death_Blast_3;Blunt_AI;0;;0;Bullet;Magic;Nature;;;;Deflect_Default;false;1.100000023841858;0.4000000059604645;1.100000023841858;3;3;3;30;25;30;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;0;0;0.800000011920929;0;3;1.25;1;Small ;1
Death_Blast_4;Blunt_AI;0;;0;Bullet;Magic;Nature;;;;Deflect_Default;false;1.100000023841858;0.4000000059604645;1.100000023841858;3;3;3;30;25;30;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;0;0;0.800000011920929;0;3;1.25;1;Small ;1
Death_Blast_5;Blunt_AI;0;;0;Bullet;Magic;Nature;;;;Deflect_Default;false;1.100000023841858;0.4000000059604645;1.100000023841858;2;2;2;25;20;25;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;0.800000011920929;0;3;1.25;1;Small ;1
Death_Blast_6;Blunt_AI;0;;0;Bullet;Magic;Nature;;;;Deflect_Default;false;1.100000023841858;0.4000000059604645;1.100000023841858;1;1;1;15;10;15;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0;0;0.800000011920929;0;3;1.25;1;Small ;1
Attack_Structure;Unarmed;0;0;0;;;Siege;;;;Deflect_Default;false;0.20000000298023224;1;1;3;3;3;30;30;25;-1;2;0;0.800000011920929;-1;2;0;0.800000011920929;-1;1.5;0;0.800000011920929;0;1;1;1;Small;1
Swamp_Fiend_Death_Blast;Blunt_AI;0;;0;Bullet;Magic;Nature;;;;Deflect_Default;false;0.30000001192092896;0.4000000059604645;0.30000001192092896;2;2;2;25;20;25;0;1.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;3;4;1;Small ;1
Swamp_Fiend_Self_Destruct;;0;1;0;;;Siege;;;;;false;0.25;1;0.25;4;4;4;35;30;35;0;4;1.5;0.800000011920929;0;4;1.5;0.800000011920929;0;3;0;0.800000011920929;0;4;1;3;Small;1
Spell_Self_Destruct_Hit_Self;;0;;0;;;Standard;;;;;false;100;1;100;4;4;4;35;30;35;0;4;1.5;0.800000011920929;0;4;1.5;0.800000011920929;0;3;0;0.800000011920929;0;4;1;3;Smal;1
