DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Broken_2H_TurnAround_Overhead_Strike;Club;0;0;Bullet;Heavy;Strike;;;;;false;1.100000023841858;1;1;3;3;3;35;30;35;0;3;0;0.800000011920929;0;3;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0;1;1;Small;Small;Large_short;3;1.100000023841858;1;1
Skeleton_2H_Flurry;Club;0;0;Bullet;Light;Strike;;;;;false;0.4000000059604645;1;1;0;1;0;10;15;10;0;0.20000000298023224;0;0.800000011920929;0;0.20000000298023224;0;0.800000011920929;0;0.10000000149011612;0;0.800000011920929;0;1;1;Small;Small;Large_short;2;0.10000000149011612;1;0
Broken_1H_Overhead_Strike;Club;0;0;Bullet;Light;Strike;;;;;false;0.3499999940395355;1;1;0;1;0;10;15;10;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;1;Small;Small;Large_short;3;0.10000000149011612;1;0
Broken_2H_Overhead_Strike;Club;0;0;Bullet;Light;Strike;;;;;false;1;1;1;3;3;3;25;20;25;0;2;0;0.800000011920929;0;2;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0;1;1;Small;Small;Large_short;3;0.10000000149011612;1;1
Broken_1H_Uppercut_Strike;Club;0;0;Bullet;Light;Strike;;;;;false;0.3499999940395355;1;1;0;1;0;10;15;10;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;1;Small;Small;Large_short;3;0.10000000149011612;1;0
Broken_1H_Breakout_Strike;Club;0;0;Bullet;Heavy;Strike;;;;;false;0.3499999940395355;1;1;3;3;3;30;25;30;0;2.5;0;0.800000011920929;0;2.5;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0;1;10;Small;Small;Large_short;3;1;1;1
Broken_1H_Ground_Pound;Club;0;0;Bullet;Heavy;Strike;;;;;false;1;1;1;3;3;3;30;25;30;0;1.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0;1;1;Small;Small;Large_short;2;0.800000011920929;1;1
Broken_1H_Ground_Pound_Uppercut;Club;0;0;Bullet;Heavy;Strike;;;;;false;1;1;1;0;1;0;10;5;10;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;0.699999988079071;0;0.800000011920929;0;1;1;Small;Small;Large_short;2;0.5;1;0
Fall;Fall;1;1;Bullet;;Falling;;;;;false;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;1
Reaction_Breakout;Fall;1;1;Bullet;;Falling;;;;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Small;;;1;0;0;1
