DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;Unblockable;SurfaceImpactEffect;AttackType;DamageType;IsRanged;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;AttackDealsNoDurability;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;CameraShakeID;CritCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;LOSCheckVerticalAngleOffset;stunBreakoutIncrementer;DamageGuildAndGroup
Swipe_R_L;Unarmed;1;0;0;Bullet;Heavy;Slash;;;false;Deflect_Default;false;false;1.2000000476837158;1;1;5;5;5;30;30;30;-5;2;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;16;1;0
Swipe_L_R;Unarmed;1;0;0;Bullet;Heavy;Slash;;;false;Deflect_Default;false;false;1.2000000476837158;1;1;5;5;5;30;30;30;5;2;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;16;1;0
Swipe_Mid;Unarmed;1;0;0;Bullet;Heavy;Slash;;;false;Deflect_Default;false;false;1.2000000476837158;1;1;5;5;5;30;30;30;0;2;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;16;1;0
Chest_Impact;Unarmed;1;0;0;Bullet;Heavy;Slash;;;false;Deflect_Default;false;false;1;1;1;3;3;3;30;30;30;0;2;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;16;1;0
Punch;Unarmed;0;0;0;Bullet;Light;Slash;;;false;Deflect_Default;false;false;1;1;1;5;5;5;10;5;10;0;4;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;16;1;0
Slap;Unarmed;0;0;0;Bullet;Light;Slash;;;false;Deflect_Default;false;false;1.399999976158142;1;1;5;5;5;10;5;10;-5;2;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;16;1;0
Arcane_Conduit;Unarmed;1;0;0;Bullet;Light;Magic;;;false;Deflect_Default;false;false;1.2000000476837158;1;1;0;1;0;10;5;10;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;16;1;0
Eye_Beam;Unarmed;1;1;1;Bullet;Heavy;Magic;;;false;Deflect_Default;false;true;0.10000000149011612;1;1;0;0;0;10;5;10;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;16;1;1
Arcane_Conduit_Damage_Boss;Unarmed;1;0;0;Bullet;Light;Slash;;AI_Torso_Boss_SelfStun;false;Deflect_Default;false;false;0.10000000149011612;0.10000000149011612;1;8;8;8;10;5;10;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;0;1;1
Rolling_Hands;Unarmed;0;0;0;Bullet;Light;Slash;;;false;Deflect_Default;false;false;1;1;1;2;2;2;20;15;20;0;4;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;16;1;0
Chest_Impact_Stunned;Unarmed;1;0;0;Bullet;Heavy;Slash;;;false;Deflect_Default;false;false;0.30000001192092896;1;1;3;3;3;30;30;30;0;8;0;0.800000011920929;0;8;0;0.800000011920929;0;8;0;0.800000011920929;0;0.30000001192092896;0.30000001192092896;1;Small;Small;3;1.5;1;16;1;0
Fall;Fall;1;1;0;Bullet;;Falling;;;false;;false;false;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;1;0;0;0
Reaction_Breakout;Fall;1;1;0;Bullet;;Falling;;;false;;false;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Small;Small;1;0;0;0;0;0
