DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Undead_Flying_Attack;Sword;0;0;;Bullet;Heavy;Thrust;;AI_Disease;true;Deflect_Default;false;0.949999988079071;1;;1;1;1;13;10;13;0;1.100000023841858;0;0.800000011920929;0;0.800000011920929;0;0.800000011920929;0;1.100000023841858;0;0.800000011920929;0;0.5;;0.8999999761581421;Small;Small;4;0.6000000238418579;1;1
Undead_Unarmed_Hook_Swing;Unarmed;0;0;;Bullet;Light;Slash;;;false;Deflect_Default;false;0.25;1;;0;0;0;15;15;15;0;0.6000000238418579;0;0.800000011920929;0;0.4000000059604645;0;0.800000011920929;0;0.6000000238418579;0;0.800000011920929;0;0;;0;Small;Small;3;0.20000000298023224;1;0
Undead_Unarmed_Hook_Uppercut;Sword;0;0;;Bullet;Heavy;Slash;;AI_Disease;true;Deflect_Default;false;0.6000000238418579;1;;4;4;4;30;34;30;0;3.200000047683716;0.5;0.800000011920929;0;1.100000023841858;0;0.800000011920929;0;3.200000047683716;0.5;0.800000011920929;0;0.699999988079071;;1.399999976158142;Small;Small;4;1.100000023841858;1;1
Undead_1H_Sword_Attack360_1;Sword;0;0;;Bullet;Light;Slash;;;false;Deflect_Default;false;0.30000001192092896;1;;0;0;0;13;15;13;0;0.4000000059604645;0;0.800000011920929;0;0.25;0;0.800000011920929;0;0.4000000059604645;0;0.800000011920929;0;0.30000001192092896;;1;Small;Small;3;0.15000000596046448;1;0
Undead_1H_Sword_Attack360_2;Sword;0;0;;Bullet;Heavy;Slash;;;false;Deflect_Default;false;0.5;1;;1;1;1;11;8;11;0;0.8999999761581421;0;0.800000011920929;0;0.6499999761581421;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;0.5;;1;Small;Small;3;0.4000000059604645;1;0.5
Undead_1H_Sword_Slash;Sword;0;0;;Bullet;Light;Slash;;;false;Deflect_Default;false;0.25;1;;0;0;0;15;10;15;0;0.3499999940395355;0;0.800000011920929;0;0.30000001192092896;0;0.800000011920929;0;0.3499999940395355;0;0.800000011920929;0;0;;0;Small;Small;3;0.10000000149011612;1;0
Undead_1H_Sword_Stab;Sword;0;0;;Bullet;Light;Thrust;;;false;Deflect_Default;false;0.3499999940395355;1;;0;0;0;20;15;20;0;0.5;0;0.800000011920929;0;0.44999998807907104;0;0.800000011920929;0;0.5;0;0.800000011920929;0;0;;0;Small;Small;3;0.20000000298023224;1;0
Undead_1H_Sword_BreakGuard;Sword;0;0;;Bullet;Heavy;Thrust;;;false;Deflect_Default;false;1;1;;3;3;3;30;30;30;0;2;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;2;0;0.800000011920929;0;1.2000000476837158;;1;Small;Small;3;0.699999988079071;1;1
Undead_1H_Sword_RunOverhead;Sword;0;0;;Bullet;Light;Slash;;;false;Deflect_Default;false;0.4000000059604645;1;;0;0;0;19;16;19;0;0.44999998807907104;0;0.800000011920929;0;0.3499999940395355;0;0.800000011920929;0;0.44999998807907104;0;0.800000011920929;0;1.2000000476837158;;1;Small;Small;3;0.20000000298023224;1;0
Undead_Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;false;;false;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;10;Small;Small;3;0;0;1
Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;false;;false;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;10;Small;Small;3;0;0;1
