DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Undead_GraveDigger_Swing;Axe;0;0;;Bullet;Light;Slash;;;false;Deflect_Default;false;0.5;1;1;0;0;0;15;15;15;0;1;0;0.75;0;0.8500000238418579;0;0.7799999713897705;0;1;0;0.75;0;0;;0;Small;Small;1;0.75;1;1
Undead_GraveDigger_Charge;Axe;0;0;;Bullet;Light;Strike;;;false;Deflect_Default;false;0.44999998807907104;1;1;0;0;0;16;19;16;0;1.149999976158142;0;0.800000011920929;0;1;0;0.8199999928474426;0;1.149999976158142;0;0.800000011920929;0;0;;0;Small;Small;1;0.8199999928474426;1;1
Undead_GraveDigger_Overhead;Axe;0;0;;Bullet;Heavy;Strike;;AI_Disease;true;Deflect_Default;false;1.2999999523162842;1;1;2;2;2;21;24;21;0;1.4500000476837158;0;0.7799999713897705;0;1.25;0;0.8299999833106995;0;1.4500000476837158;0;0.7799999713897705;0;1;;0;Small;Small;3;1.5499999523162842;1;1
Undead_GraveDigger_Stab;Axe;0;0;;Bullet;Light;Thrust;;;false;Deflect_Default;false;0.41999998688697815;1;1;0;0;0;16;16;16;0;1.100000023841858;0;0.7400000095367432;0;0.8500000238418579;0;0.7699999809265137;0;1.100000023841858;0;0.7400000095367432;0;0;;0;Small;Small;1;0.44999998807907104;1;0
Undead_GraveDigger_SiphonStab;Axe;0;0;;Bullet;Light;Thrust;;;false;Deflect_Default;false;0.3799999952316284;1;1;0;0;0;13;11;13;0;0.8999999761581421;0;0.7400000095367432;0;0.800000011920929;0;0.7799999713897705;0;0.8999999761581421;0;0.7400000095367432;0;0;;0;Small;Small;1;0.4000000059604645;1;0
Undead_GraveDigger_Storm;Axe;0;0;;Bullet;Light;Strike;;AI_Disease;true;Deflect_Default;false;0.4000000059604645;1;1;0;0;0;25;35;25;0;0.8500000238418579;0;0.7799999713897705;0;0.800000011920929;0;0.800000011920929;0;0.8500000238418579;0;0.7799999713897705;0;1.2000000476837158;;1;Small;Small;1;0.3799999952316284;1;0.25
Undead_GraveDigger_Storm_Final;Axe;0;0;;Bullet;Heavy;Strike;;AI_Disease;true;Deflect_Default;false;0.6499999761581421;1;1;1;2;1;16;24;16;0;1.899999976158142;0;0.8100000023841858;0;1.350000023841858;0;0.8199999928474426;0;1.899999976158142;0;0.8100000023841858;0;1.2000000476837158;;1;Small;Small;2;0.75;1;1
Undead_GraveDigger_Siphon;GravediggerLifesteal;0;1;;;Magic;Arcane;;AI_Disease_GraveDigger;false;;false;0.07999999821186066;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;3;;0;;;0;0;0;0
Undead_Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;false;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;10;Small;Small;3;0;0;1
Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;false;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;10;Small;Small;3;0;0;1
