DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Undead_Hunter_Bow_Normal;Bow;0;0;true;Bullet;Light;Thrust;;;false;Deflect_Default;false;0.4000000059604645;1;1;0;0;0;15;10;15;0;1;0;0.800000011920929;0;0.5;0;0.8500000238418579;0;0.5;0;0.8500000238418579;0;0.20000000298023224;;0;Small;Small;3;0.10000000149011612;1;0
Undead_Hunter_Bow_Special;Bow;0;1;true;Bullet;Heavy;Thrust;;;false;Deflect_Default;false;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;0;;;3;0;1;0
Undead_Hunter_Bow_Special_Explosion;Sword;0;0;true;Bullet;Magic;Fire;;AI_Disease;true;Deflect_Default;false;1;1;1;3;3;3;30;25;30;0;2.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.6000000238418579;;0.6000000238418579;Medium;Medium;3;0.75;1;1
Undead_Hunter_WispFire_Explosion;Torch;0;0;true;Bullet;Magic;Fire;;UndeadHunter_Burn;true;Deflect_Default;false;0.6000000238418579;1;1;3;3;3;30;25;30;0;1.5;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.6000000238418579;;0.6000000238418579;Medium;Medium;3;0.75;1;1
Undead_Hunter_SpitFire;Torch;0;0;true;Bullet;Magic;Fire;;UndeadHunter_Burn;true;Deflect_Default;false;0.14000000059604645;1;1;2;2;2;20;10;20;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.05000000074505806;;0.699999988079071;Medium;Medium;3;0.10000000149011612;1;0.6669999957084656
Undead_Hunter_Torch_Swing;Torch;0;0;false;Bullet;Heavy;Fire;;;false;Deflect_Default;false;0.30000001192092896;1;1;0;0;0;15;10;15;0;1.2999999523162842;0;0.8500000238418579;0;1;0;0.8500000238418579;0;1.2999999523162842;0;0.8500000238418579;0;0.20000000298023224;;0.6000000238418579;Small;Small;3;0.20000000298023224;1;0
Undead_Hunter_Torch_Swing_Combo;Torch;0;0;false;Bullet;Heavy;Fire;;;false;Deflect_Default;false;0.20000000298023224;1;1;0;0;0;15;10;15;0;1;0;0.8500000238418579;0;1;0;0.8500000238418579;0;1;0;0.8500000238418579;0;0.20000000298023224;;0.6000000238418579;Small;Small;3;0.20000000298023224;1;0
Undead_Hunter_Swing_Breakout;Torch;0;0;false;Bullet;Heavy;Fire;;UndeadHunter_Burn;true;Deflect_Default;false;0.30000001192092896;1;1;3;3;3;35;30;35;0;3.5;0;0.800000011920929;0;3;0;0.800000011920929;0;3.5;0;0.800000011920929;0;0.5;;0.6000000238418579;Small;Small;3;0.5;1;1
Undead_Hunter_Bow_Breakout;Bow;0;0;true;Bullet;Light;Thrust;;;false;Deflect_Default;false;0.30000001192092896;1;1;2;2;2;25;20;25;0;2.5;0;0.800000011920929;0;2;0;0.800000011920929;0;2.5;0;0.800000011920929;0;0.03999999910593033;;0.6000000238418579;Small;Small;3;0.33000001311302185;1;1
Undead_Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;false;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;10;Small;;3;0;0;1
Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;false;;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0;0;0;;10;Small;;3;0;0;1
