DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement;StaminaDmg
Javelineer_Stab;Sword;0;0;;Bullet;Light;Thrust;;;;false;0.41999998688697815;1;;0;0;0;12;18;12;0;1.2000000476837158;0;0.7799999713897705;0;1.0499999523162842;0;0.7699999809265137;0;1.2000000476837158;0;0.7799999713897705;0;1;;1;Small;Small;0;0.3199999928474426;1;0;0
Javelineer_HeavyStab;Sword;0;0;;Bullet;Heavy;Thrust;;;;false;0.5;1;;0;1;0;12;18;12;0;1.350000023841858;0;0.7900000214576721;0;1.2000000476837158;0;0.7799999713897705;0;1.350000023841858;0;0.7900000214576721;0;1;;1;Small;Small;0;0.44999998807907104;1;0;0
Javelineer_Flurry;Sword;0;0;;Bullet;Light;Thrust;;;;false;0.3100000023841858;1;;0;0;0;20;12;20;0;1;0;0.7799999713897705;0;0.8999999761581421;0;0.7699999809265137;0;1;0;0.7799999713897705;0;1;;1;Small;Small;0;0.23999999463558197;1;0;0
Javelineer_Lunge;Sword;0;0;;Bullet;Heavy;Thrust;;;;false;1;1;;2;1;2;21;14;21;0;1.899999976158142;0;0.800000011920929;0;1.7000000476837158;0;0.800000011920929;0;1.899999976158142;0;0.800000011920929;0;1;;1;Small;Small;0;1.100000023841858;1;0.5;0
Javelineer_Lunge_Knockback;Sword;0;0;;Bullet;Heavy;Thrust;;;;false;0;1;;2;1;2;24;18;24;0;2.3499999046325684;0;0.8199999928474426;0;1.9500000476837158;0;0.8199999928474426;0;2.3499999046325684;0;0.8199999928474426;0;1;;1;Small;Small;0;0.20000000298023224;1;0.5;0
Javelineer_Slash;Sword;0;0;;Bullet;Light;Slash;;;;false;0.6100000143051147;1;;0;1;0;20;14;20;0;1.399999976158142;0;0.7799999713897705;0;1.25;0;0.7900000214576721;0;1.399999976158142;0;0.7799999713897705;0;1;;1;Small;Small;0;0.5400000214576721;1;0;0
Javelineer_Slash_Light;Sword;0;0;;Bullet;Light;Slash;;;;false;0.3799999952316284;1;;0;0;0;12;15;12;0;0.949999988079071;0;0.7599999904632568;0;0.800000011920929;0;0.7599999904632568;0;0.949999988079071;0;0.7599999904632568;0;1;;1;Small;Small;0;0.4000000059604645;1;0;0
Javelineer_Slash_Heavy;Sword;0;0;;Bullet;Heavy;Slash;;;;false;0.800000011920929;1;;1;1;1;16;17;16;0;1.5499999523162842;0;0.7799999713897705;0;1.350000023841858;0;0.7799999713897705;0;1.5499999523162842;0;0.7799999713897705;0;1;;1;Small;Small;0;0.949999988079071;1;1;0
Fall;Fall;1;1;;Bullet;;Falling;;;;false;1;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;0;0;1;0;0
Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;;false;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;Small;Small;1;0;1;1;1
