DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;DeflectDamageID;Affixes;StatusEffect;EffectOnlyOnDamage;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;StaminaDmg;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;TargetCameraShakeID;CritTargetCameraShakeID;StunBreakoutIncrement
Attack_Swipe;Blunt_AI;0;0;false;Bullet;Light;Strike;;;;;FALSE;0.30000001192092896;1;;0;0;0;10;10;10;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.15000000596046448;;0.4000000059604645;0;1;0.20000000298023224;1;;;0
Attack_Swipe_Water;Blunt_AI;0;0;false;Bullet;Light;Strike;;AI_LIghtningDMG_75;;;FALSE;0.3499999940395355;1;;0;0;0;15;15;15;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.20000000298023224;;0.4000000059604645;0;1;0.25;1;;;0
Attack_Overhead;Blunt_AI;0;0;false;Bullet;Heavy;Strike;;;;;FALSE;0.699999988079071;1;;3;3;3;35;30;35;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.5;;1;0;1;0.75;1;;;1
Attack_Overhead_Water;Blunt_AI;0;0;false;Bullet;Heavy;Strike;;AI_LIghtningDMG_75;;;FALSE;0.800000011920929;1;;4;4;4;40;35;40;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.6000000238418579;;1;0;1;0.8500000238418579;1;;;1
Attack_Dash;Blunt_AI;0;0;false;Bullet;Heavy;Strike;;;;;FALSE;0.6000000238418579;1;;2;2;2;20;15;20;0;1.75;0;0.800000011920929;0;1.25;0;0.800000011920929;0;1.75;0;0.800000011920929;0;0.30000001192092896;;1;0;1;0.5;1;;;1
Attack_Dash_Water;Blunt_AI;0;0;false;Bullet;Heavy;Strike;;AI_LIghtningDMG_75;;;FALSE;0.699999988079071;1;;3;3;3;35;30;35;0;1.75;0;0.800000011920929;0;1.25;0;0.800000011920929;0;1.75;0;0.800000011920929;0;0.4000000059604645;;1;0;1;0.6000000238418579;1;;;1
Anchor_Toss;Blunt_AI;0;0;true;Bullet;Heavy;Strike;;;;;FALSE;0.699999988079071;1;;4;4;4;40;35;40;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.8999999761581421;;0.800000011920929;0;1;4;1;;;1
Anchor_Toss_Water;Blunt_AI;0;0;true;Bullet;Heavy;Strike;;AI_LIghtningDMG_75;;;FALSE;0.699999988079071;1;;4;4;4;40;35;40;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.8999999761581421;;0.800000011920929;0;1;4;1;;;1
Anchor_Toss_Water_Impact;Blunt_AI;0;0;true;Bullet;Heavy;Lightning;;;;;FALSE;0.20000000298023224;1;;4;4;4;40;35;40;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.8999999761581421;;0.800000011920929;0;1;4;1;;;1
Attack_Spin;Blunt_AI;0;0;false;Bullet;Light;Strike;;;;;FALSE;0.4000000059604645;1;;3;3;3;30;25;30;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.3499999940395355;;0.6000000238418579;0;1;0.3499999940395355;1;;;0.5
Attack_Spin_Water;Blunt_AI;0;0;false;Bullet;Light;Strike;;AI_LIghtningDMG_75;;;FALSE;0.5;1;;3;3;3;30;25;30;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.44999998807907104;;0.6000000238418579;0;1;0.44999998807907104;1;;;0.5
Spell_Anchor_Slam;Blunt_AI;0;0;false;;Heavy;Strike;;;;;FALSE;0.8500000238418579;1;;3;3;3;30;25;30;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;0.699999988079071;;1.7000000476837158;0;1;0.699999988079071;2;;;1
Spell_Anchor_Slam_Water;Blunt_AI;0;0;false;;Heavy;Strike;;AI_LIghtningDMG_75;;;FALSE;0.949999988079071;1;;4;4;4;35;30;35;0;3;0.5;0.800000011920929;0;2;0;0.800000011920929;0;3;0.5;0.800000011920929;0;0.800000011920929;;2.200000047683716;0;1;0.800000011920929;2;;;1
Spell_Storm_Shield;Blunt_AI;0;0;false;;Magic;Lightning;;;;;FALSE;0.30000001192092896;1;;4;4;4;35;30;35;0;3;0.5;0.800000011920929;0;2;0;0.800000011920929;0;3;0.5;0.800000011920929;0;2;;2.200000047683716;0;1;0.800000011920929;2;;;1
Attack_Breakout;Blunt_AI;0;0;false;Bullet;Light;Strike;;;;;FALSE;0.6499999761581421;1;;3;3;3;35;30;35;0;2.5;0;0.800000011920929;0;2;0;0.800000011920929;0;2.5;0;0.800000011920929;0;0.5;;1;0;1;0.5;1;;;1
Attack_Breakout_Water;Blunt_AI;0;0;false;Bullet;Light;Strike;;AI_LIghtningDMG_75;;;FALSE;0.75;1;;4;4;4;40;35;40;0;3.5;0;0.800000011920929;0;3;0;0.800000011920929;0;3.5;0;0.800000011920929;0;0.6000000238418579;;1;0;1;0.6000000238418579;1;;;1
Fall;Fall;1;1;false;Bullet;;Falling;;;;;;1;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;1;;;1
Reaction_Breakout;Fall;1;1;false;Bullet;;Falling;;;;;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;0;1;1;1;;;1
Deflect_Default;Blunt_AI;1;0;false;;;Deflect;;;;;;0;0;;2;2;2;0;0;0;0;1;0;0.800000011920929;0;0;0;0;0;1;0;0.800000011920929;0;0;;0;0;0;1;1;;;1
