DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;IgnoreSheatheStatus;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;CameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier
Left_Hand_Ground_Pound;Warhammer;0;0;false;Bullet;Heavy;Strike;true;;;false;Deflect_Default;false;0.800000011920929;1;1;3;3;3;30;30;30;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.800000011920929;;1;Small;Small;3;0.699999988079071;1
Overhead_Slam;Warhammer;0;0;false;Bullet;Heavy;Strike;true;;BruteStun;true;Deflect_Default;false;1;1;1;8;3;8;20;25;20;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.5;;1;Small;Small;3;0.8999999761581421;1
Swipe_Left;Warhammer;0;0;false;Bullet;Heavy;Slash;true;;;false;Deflect_Default;false;0.6000000238418579;1;1;0;0;0;20;15;20;1;2;0;0.800000011920929;1;1.5;0;0.800000011920929;1;1.5;0;0.800000011920929;0;0.5;;1;Small;Small;3;0.5;1
Swipe_Right;Warhammer;0;0;false;Bullet;Heavy;Slash;true;;;false;Deflect_Default;false;0.6000000238418579;1;1;0;0;0;20;15;20;-1;2;0;0.800000011920929;-1;1.5;0;0.800000011920929;-1;2;0;0.800000011920929;0;0.5;;1;Small;Small;3;0.5;1
Shoulder_Charge;Warhammer;0;0;false;Bullet;Heavy;Strike;true;;;false;Deflect_Default;false;0.6000000238418579;1;1;4;4;4;40;35;40;1;3;0;0.800000011920929;1;2.25;0;0.800000011920929;1;3;0;0.800000011920929;0;0.800000011920929;;1;Small;Small;3;1;1
Spell_Cannon_Rain;Warhammer;0;0;false;Bullet;Heavy;Strike;true;;;false;Deflect_Default;false;0.5;1;1;2;2;2;20;15;20;0;1;0;0.800000011920929;0;0.5;0;0.800000011920929;0;1;0;0.800000011920929;0;0.5;;1;Small;Small;3;1;1
Cannon_Shot;Warhammer;0;0;true;Bullet;Heavy;Strike;true;;;false;Deflect_Default;false;1;1;1;3;4;3;30;40;30;0;3.5;0;0.800000011920929;0;4;0;0.800000011920929;0;3.5;0;0.800000011920929;0;0.8999999761581421;;1;Small;Small;3;1.100000023841858;1
Cannon_Shot_Triple;Warhammer;0;0;true;Bullet;Heavy;Strike;true;;;false;Deflect_Default;false;1;1;1;3;4;3;30;40;30;0;3.5;0;0.800000011920929;0;4;0;0.800000011920929;0;3.5;0;0.800000011920929;0;1.100000023841858;;1;Small;Small;3;1.100000023841858;1
Escape_Blast;Warhammer;0;0;false;Bullet;Heavy;Fire;true;;PriateBrute_Blast;true;Deflect_Default;false;0.30000001192092896;1;1;4;4;4;25;20;25;0;4.5;0;0.800000011920929;0;2.5;0;0.800000011920929;0;4.5;0;0.800000011920929;0;1;;1;Small;Small;3;1;1
Escape_Blast_Body;Warhammer;0;0;false;Bullet;Heavy;Strike;true;;;false;Deflect_Default;false;0.30000001192092896;1;1;3;3;3;30;25;30;2.5;2.5;0;0.800000011920929;2.5;2.5;0;0.800000011920929;2.5;2.5;0;0.800000011920929;0;1;;1;Small;Small;3;1;1
Escape_Blast_Land;Warhammer;0;0;false;Bullet;Heavy;Strike;true;;;false;Deflect_Default;false;0.699999988079071;1;1;5;4;5;40;35;40;0;3;0;0.800000011920929;0;1.5;0;0.800000011920929;0;3;0;0.800000011920929;0;1;;1;Small;Small;3;1.600000023841858;1
Cannon_Overhead_Slam;Warhammer;0;0;false;Bullet;Heavy;Strike;true;;;false;Deflect_Default;false;1;1;1;5;4;5;40;35;40;0;3;0;0.800000011920929;0;2;0;0.800000011920929;0;3;0;0.800000011920929;0;0.800000011920929;;1;Small;Small;3;1.600000023841858;1
