Name;Default;Player;Flesh;FleshHead;Armor;ArmorHead;Damned;Dryad;Ghost;Turkey;Skeleton;AncientGuardian;GhostCharred;GhostFrozen;GhostShipwrecked;GhostHanged;GhostPlagued;BearElemental;Bear;Regurgitator;SprigganForest;CorruptedEntity;BlightFiend;FrostWolf;EarthWolf;Lost;Withered;Dynasty;DunePhantom;AnubianGuardianBrute;AENaga;AnubianLocustScarab;Sun;MageArcaneShield
Default;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest;DebugTest
Unarmed;UnarmedDefault;UnarmedDefault;UnarmedFlesh;UnarmedFlesh;UnarmedArmor;UnarmedArmor;UnarmedDamned;UnarmedDryad;UnarmedGhost;UnarmedTurkey;UnarmedSkeleton;UnarmedSkeleton;UnarmedGhostCharred;UnarmedGhostFrozen;UnarmedGhostShipwrecked;UnarmedGhostHanged;UnarmedGhostPlagued;UnarmedBearElemental;UnarmedBear;UnarmedRegurgitator;UnarmedSprigganForest;UnarmedCorruptionEntity;UnarmedBlightFiend;UnarmedFrostWolf;UnarmedEarthWolf;UnarmedLost;UnarmedWithered;UnarmedDynasty;UnarmedDunePhantom;UnarmedDunePhantom;UnarmedAENaga;UnarmedAENaga;UnarmedSun;HolyShield_Proj
Unarmed+Crit;UnarmedDefault;UnarmedDefault;UnarmedFlesh;UnarmedFlesh;UnarmedArmor;UnarmedArmor;UnarmedDamned;UnarmedDryad;UnarmedGhost;UnarmedTurkey;UnarmedSkeleton;UnarmedSkeleton;UnarmedGhostCharred;UnarmedGhostFrozen;UnarmedGhostShipwrecked;UnarmedGhostHanged;UnarmedGhostPlagued;UnarmedBearElemental;UnarmedBear;UnarmedRegurgitator;UnarmedSprigganForest;UnarmedCorruptionEntity;UnarmedBlightFiend;UnarmedFrostWolf;UnarmedEarthWolf;UnarmedLost;UnarmedWithered;UnarmedDynasty;UnarmedDunePhantom;UnarmedDunePhantom;UnarmedAENaga;UnarmedAENaga;UnarmedSun;HolyShield_Proj
Unarmed+Resist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;UnarmedResist;HolyShield_Proj
Sword;SwordDefault;SwordDefault;SwordFlesh;SwordFleshHead;SwordArmor;SwordArmorHead;SwordDamned;SwordDryad;SwordGhost;SwordTurkey;SwordSkeleton;SwordAncientGuardian;SwordGhostCharred;SwordGhostFrozen;SwordGhostShipwrecked;SwordGhostHanged;SwordGhostPlagued;SwordBearElemental;SwordBear;SwordRegurgitator;SwordSprigganForest;SwordCorruptedEntity;SwordBlightFiend;SwordFrostWolf;SwordEarthWolf;SwordLost;SwordWithered;SwordDynasty;SwordDunePhantom;AnubianGuardianBruteBody;SwordAENaga;AnubianLocustScarabBody;SwordSun;HolyShield_Proj
Sword+Resist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordDamnedResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;HolyShield_Proj
Sword+Fire+Resist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordDamnedResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;SwordResist;HolyShield_Proj
Sword+Fire;SwordFire;SwordFire;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;SwordFireGeneric;HolyShield_Proj
Sword+Crit;SwordDefaultCrit;SwordDefaultCrit;SwordDefaultCrit;SwordDefaultCrit;SwordDefaultCrit;SwordDefaultCrit;SwordDamnedCrit;SwordDryadCrit;SwordGhostCrit;SwordTurkeyCrit;SwordSkeletonCrit;SwordAncientGuardianCrit;SwordGhostCharredCrit;SwordGhostFrozenCrit;SwordGhostShipwreckedCrit;SwordGhostHangedCrit;SwordGhostPlaguedCrit;SwordBearElementalCrit;SwordBearCrit;SwordRegurgitatorCrit;SwordSprigganForestCrit;SwordCorruptedEntityCrit;SwordBlightFiendCrit;SwordFrostWolfCrit;SwordEarthWolfCrit;SwordLostCrit;SwordWitheredCrit;SwordDynastyCrit;SwordDunePhantomCrit;SwordDefaultCrit;SwordAENagaCrit;SwordAENagaCrit;SwordSunCrit;HolyShield_Proj
