LevelDisparity;DamageModifier;PhysicalArmorRatingModifier;ElementalArmorRatingModifier;SkipDeathsDoor;IncomingPowerLevelZero;AdjustPowerLevel;RequiredPowerLevel;AdjustedPowerLevel;AdjustedHitStun;VisionDistanceAdjustment;MaxRewardLevelDelta;KillExpModifier;EventExpModifier
-20;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.800000011920929;0
-19;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.4000000059604645;0
-18;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.4000000059604645;0
-17;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.4000000059604645;0
-16;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.4000000059604645;0
-15;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.4000000059604645;0
-14;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.4000000059604645;0
-13;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.4000000059604645;0
-12;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.4000000059604645;0
-11;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.4000000059604645;0
-10;0;0;0;FALSE;FALSE;FALSE;0;0;0;-10;0;-0.4000000059604645;0
3;0;0.10000000149011612;0.10000000149011612;FALSE;FALSE;FALSE;0;0;0;0;0;0;0
4;0;0.20000000298023224;0.20000000298023224;FALSE;FALSE;FALSE;0;0;0;0;0;0;0
5;0;0.30000001192092896;0.30000001192092896;FALSE;FALSE;FALSE;0;0;0;0;0;0;0
6;0.20000000298023224;0.4000000059604645;0.4000000059604645;FALSE;FALSE;FALSE;0;0;0;0;0;0;0
7;0.4000000059604645;0.6000000238418579;0.6000000238418579;FALSE;FALSE;FALSE;0;0;0;0;0;0;0
8;0.6000000238418579;0.800000011920929;0.800000011920929;FALSE;FALSE;FALSE;0;0;0;0;0;0;0
9;0.800000011920929;1;1;FALSE;FALSE;FALSE;0;0;0;0;0;0;0
10;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.4000000059604645
11;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.4000000059604645
12;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.4000000059604645
13;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.4000000059604645
14;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.4000000059604645
15;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.4000000059604645
16;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.4000000059604645
17;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.4000000059604645
18;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.4000000059604645
19;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.4000000059604645
20;1.5;1.5;1.5;TRUE;TRUE;TRUE;0;1;20;10;10;0;-0.800000011920929
