Level;Health;HealthRate;Stamina;StaminaRate;Mana;ManaRate;CastSpeed;EquipLoad;NumAttuneSlots;Encumbrance;AbsFalling;DefStandard;DefSlash;DefThrust;DefStrike;DefMagic;DefFire;DefLightning;DefCorruption;ResFrostbite;ResPoison;ResBleed;ResDisease;ResCurse;ScalingValue
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.44999998807907104;0;0;0;0;2;0.699999988079071
7;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6499999761581421;0;0;0;0;4;0.699999988079071
8;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8500000238418579;0;0;0;0;6;0.699999988079071
9;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0499999523162842;0;0;0;0;8;0.699999988079071
10;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1.25;0;0;0;0;10;0.699999988079071
11;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4500000476837158;0;0;0;0;12;0.699999988079071
12;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;1.649999976158142;0;0;0;0;14;0.699999988079071
13;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;1.850000023841858;0;0;0;0;16;0.699999988079071
14;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;2.049999952316284;0;0;0;0;18;0.699999988079071
15;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;2.25;0;0;0;0;20;0.699999988079071
16;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;2.450000047683716;0;0;0;0;22;0.6000000238418579
17;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6500000953674316;0;0;0;0;24;0.6000000238418579
18;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;2.8499999046325684;0;0;0;0;26;0.6000000238418579
19;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;3.049999952316284;0;0;0;0;28;0.6000000238418579
20;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;3.200000047683716;0;0;0;0;30;0.6000000238418579
21;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;3.3499999046325684;0;0;0;0;32;0.6000000238418579
22;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;0;0;0;0;34;0.6000000238418579
23;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;3.6500000953674316;0;0;0;0;36;0.6000000238418579
24;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;3.799999952316284;0;0;0;0;38;0.6000000238418579
25;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;3.950000047683716;0;0;0;0;40;0.6000000238418579
26;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;4.099999904632568;0;0;0;0;41;0.5
27;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;4.25;0;0;0;0;42;0.5
28;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;4.400000095367432;0;0;0;0;43;0.5
29;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;4.550000190734863;0;0;0;0;44;0.5
30;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;4.699999809265137;0;0;0;0;45;0.5
31;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;4.849999904632568;0;0;0;0;46;0.5
32;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;47;0.5
33;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;5.150000095367432;0;0;0;0;48;0.5
34;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;5.300000190734863;0;0;0;0;49;0.5
35;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;5.449999809265137;0;0;0;0;50;0.5
36;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;5.599999904632568;0;0;0;0;51;0.4000000059604645
37;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;5.75;0;0;0;0;52;0.4000000059604645
38;0;0;0;0;91;0;0;0;0;0;0;0;0;0;0;0;0;0;5.900000095367432;0;0;0;0;53;0.4000000059604645
39;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;6.050000190734863;0;0;0;0;54;0.4000000059604645
40;0;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;6.199999809265137;0;0;0;0;55;0.4000000059604645
41;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;6.349999904632568;0;0;0;0;56;0.4000000059604645
42;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;6.5;0;0;0;0;57;0.4000000059604645
43;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;6.650000095367432;0;0;0;0;58;0.4000000059604645
