Level;Health;HealthRate;Stamina;StaminaRate;Mana;ManaRate;CastSpeed;EquipLoad;NumAttuneSlots;Encumbrance;AbsFalling;DefStandard;DefSlash;DefThrust;DefStrike;DefMagic;DefFire;DefLightning;DefCorruption;ResFrostbite;ResPoison;ResBleed;ResDisease;ResCurse
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;10;0;0;0;0.44999998807907104;0.44999998807907104;0.44999998807907104;0.44999998807907104;0;0;0;0;0;2;0;2;0
7;0;0;0;0;0;0;0;20;0;0;0;0.6499999761581421;0.6499999761581421;0.6499999761581421;0.6499999761581421;0;0;0;0;0;4;0;4;0
8;0;0;0;0;0;0;0;30;0;0;0;0.8500000238418579;0.8500000238418579;0.8500000238418579;0.8500000238418579;0;0;0;0;0;6;0;6;0
9;0;0;0;0;0;0;0;40;0;0;0;1.0499999523162842;1.0499999523162842;1.0499999523162842;1.0499999523162842;0;0;0;0;0;8;0;8;0
10;0;0;0;0;0;0;0;50;0;0;0;1.25;1.25;1.25;1.25;0;0;0;0;0;10;0;10;0
11;0;0;0;0;0;0;0;60;0;0;0;1.4500000476837158;1.4500000476837158;1.4500000476837158;1.4500000476837158;0;0;0;0;0;12;0;12;0
12;0;0;0;0;0;0;0;70;0;0;0;1.649999976158142;1.649999976158142;1.649999976158142;1.649999976158142;0;0;0;0;0;14;0;14;0
13;0;0;0;0;0;0;0;80;0;0;0;1.850000023841858;1.850000023841858;1.850000023841858;1.850000023841858;0;0;0;0;0;16;0;16;0
14;0;0;0;0;0;0;0;90;0;0;0;2.049999952316284;2.049999952316284;2.049999952316284;2.049999952316284;0;0;0;0;0;18;0;18;0
15;0;0;0;0;0;0;0;100;0;0;0;2.25;2.25;2.25;2.25;0;0;0;0;0;20;0;20;0
16;0;0;0;0;0;0;0;108;0;0;0;2.450000047683716;2.450000047683716;2.450000047683716;2.450000047683716;0;0;0;0;0;22;0;22;0
17;0;0;0;0;0;0;0;116;0;0;0;2.6500000953674316;2.6500000953674316;2.6500000953674316;2.6500000953674316;0;0;0;0;0;24;0;24;0
18;0;0;0;0;0;0;0;124;0;0;0;2.8499999046325684;2.8499999046325684;2.8499999046325684;2.8499999046325684;0;0;0;0;0;26;0;26;0
19;0;0;0;0;0;0;0;132;0;0;0;3.049999952316284;3.049999952316284;3.049999952316284;3.049999952316284;0;0;0;0;0;28;0;28;0
20;0;0;0;0;0;0;0;140;0;0;0;3.200000047683716;3.200000047683716;3.200000047683716;3.200000047683716;0;0;0;0;0;30;0;30;0
