CameraShakeID;ShakeShiftX;ShakeShiftY;ShakeShiftZ;ShakeAngleX;ShakeAngleY;ShakeAngleZ;SustainDuration;FadeInDuration;FadeOutDuration;Frequency;Randomness;ShakeChannel;FlipVec;UpdateOnly;Permanent;IsSmooth
Small;0.009999999776482582;0.009999999776482582;0.009999999776482582;0;0.004999999888241291;0;0.10000000149011612;0;0.10000000149011612;0.014999999664723873;0;1;1;0;0;1
Large;0.03999999910593033;0.03999999910593033;0.03999999910593033;0.009999999776482582;0.009999999776482582;0.009999999776482582;0.20000000298023224;0.10000000149011612;0.10000000149011612;0.029999999329447746;0;2;1;0;0;1
Small_short;0.019999999552965164;0.019999999552965164;0.019999999552965164;0;0;0;0.15000000596046448;0.10000000149011612;0.10000000149011612;0.029999999329447746;0;3;1;0;0;1
Large_short;0.019999999552965164;0.019999999552965164;0.019999999552965164;0.004999999888241291;0.004999999888241291;0.004999999888241291;0.10000000149011612;0.05000000074505806;0.05000000074505806;0.014999999664723873;0;4;1;0;0;1
Large_long;0.03999999910593033;0.03999999910593033;0.03999999910593033;0.10000000149011612;0.10000000149011612;0.009999999776482582;0.25;0.10000000149011612;0.10000000149011612;0.029999999329447746;0;5;1;0;0;1
Small_long;0.019999999552965164;0.019999999552965164;0.019999999552965164;0;0;0;0.25;0.10000000149011612;0.10000000149011612;0.029999999329447746;0;6;1;0;0;1
WH_Hit_L1;0;0.014999999664723873;0.014999999664723873;0;0.003000000026077032;0;0;0;0.20000000298023224;0.029999999329447746;0.15000000596046448;7;1;0;0;1
WH_Hit_L2;0;0.029999999329447746;0.029999999329447746;0;0.009999999776482582;0;0;0;0.6000000238418579;0.07000000029802322;0.30000001192092896;7;1;0;0;1
WH_Hit_L3;0;0.029999999329447746;0.029999999329447746;0;0.014999999664723873;0;0;0;0.800000011920929;0.07000000029802322;0.30000001192092896;7;1;0;0;1
WH_Hit_L4;0;0.029999999329447746;0.029999999329447746;0;0.017999999225139618;0;0;0;1;0.07999999821186066;0.30000001192092896;7;1;0;0;1
WH_Jump;0;0.009999999776482582;0.03999999910593033;0;0.0020000000949949026;0;0;0;1.100000023841858;0.0949999988079071;0.30000001192092896;7;1;0;0;1
WH_Swing_Light;0;0.019999999552965164;0.029999999329447746;0;0.003000000026077032;0;0;0;0.6000000238418579;0.07999999821186066;0.10000000149011612;7;1;0;0;1
WH_Swing_Med;0;0.029999999329447746;0.05999999865889549;0;0.004000000189989805;0;0;0;0.75;0.09000000357627869;0.20000000298023224;7;1;0;0;1
WH_Swing_Heavy;0;0.03999999910593033;0.09000000357627869;0;0.007000000216066837;0;0;0;1.25;0.10000000149011612;0.30000001192092896;7;1;0;0;1
WH_Swing_Fade;0;0.014999999664723873;0.05000000074505806;0;0.004000000189989805;0;0;0;1.350000023841858;0.09000000357627869;0.30000001192092896;7;1;0;0;1
GravityWell;0.004999999888241291;0;0.004999999888241291;0.003000000026077032;0.003599999938160181;0;0.30000001192092896;0.10000000149011612;0.10000000149011612;0.029999999329447746;0;0;1;0;0;1
Azothstaff_during;0.003000000026077032;0;0.003000000026077032;0.003000000026077032;0.003000000026077032;0;0.5;0.10000000149011612;1;0.029999999329447746;0;0;1;0;1;1
Minor_mono_death;0.10000000149011612;0.25;0.10000000149011612;0.009999999776482582;0;0;0.10000000149011612;0;1;0;0;0;1;0;0;0
Minor_mono_small;0.009999999776482582;0.009999999776482582;0.009999999776482582;0.004999999888241291;0;0;0.10000000149011612;0;0.30000001192092896;0;0;0;1;0;0;0
Minor_port_wave;0;0;0;0.009999999776482582;0.009999999776482582;0.0020000000949949026;0;0;0.5;0;0;0;1;0;0;0
PrimaryAttack;0.05000000074505806;0;0.05000000074505806;0.009999999776482582;0;0.009999999776482582;0.10000000149011612;0;0;0.029999999329447746;0;0;1;0;0;0
Brute_Footsteps;0.004999999888241291;0;0.004999999888241291;0.004999999888241291;0.004999999888241291;0.004999999888241291;0.009999999776482582;0.009999999776482582;0.009999999776482582;0.014999999664723873;0;0;1;0;0;1
Lightning01;0.10000000149011612;0;0.10000000149011612;0.004999999888241291;0;0;0.15000000596046448;0;0;0.009999999776482582;0;0;1;0;0;1
AE_Naga_MassiveAOE_Tell;0.009999999776482582;0;0.009999999776482582;0.0020000000949949026;0;0;3.200000047683716;1;0;0.029999999329447746;0;9;1;0;0;1
Torso_Boss_Intro;0.0024999999441206455;0;0.0024999999441206455;0.0010000000474974513;0;0;5;1;0;0.029999999329447746;0;9;1;0;0;1
Blunderbuss_Primary_Start;0;0;0.75;0;0;0;0.10000000149011612;0;0.10000000149011612;1;0;8;1;0;0;1
Blunderbuss_Primary_End;0;0;-0.029999999329447746;0;0;0;0;0;0.05000000074505806;0;0;8;1;0;0;1
