CategoricalProgressionId;DisplayName;MaxLevel;AutoRankUp;InfiniteLevels;RankTableId;ProgressionPointPool;PreSkillCapSkill;PostSkillCapSkill;EconomyTrackerType;GameEventId;AchievementIdOnMaxRank;MinTrackedLevel;ShowAsObjectiveReward;IconPath
Syndicate;@ui_faction_name1;4;false;false;MerchantGuild;;;;;;;0;true;lyshineui/images/icons/objectives/reward_factionReputation1.dds
Marauder;@ui_faction_name2;4;false;false;ProcurerGuild;;;;;;;0;true;lyshineui/images/icons/objectives/reward_factionReputation2.dds
Covenant;@ui_faction_name3;4;false;false;ExplorerGuild;;;;;;;0;true;lyshineui/images/icons/objectives/reward_factionReputation3.dds
Repair_T1;@ui_repairparts;0;false;false;Repair_T1;;;;;;;0;false;
2;@Brightwood;300;true;false;Territory_Standing;TerritoryRankBonus_2;;;;;;0;false;
4;@Everfall;300;true;false;Territory_Standing;TerritoryRankBonus_4;;;;;;0;false;
5;@Reekwater;300;true;false;Territory_Standing;TerritoryRankBonus_5;;;;;;0;false;
6;@Windsward;300;true;false;Territory_Standing;TerritoryRankBonus_6;;;;;;0;false;
8;@Queensport;300;true;false;Territory_Standing;TerritoryRankBonus_8;;;;;;0;false;
9;@FirstLight;300;true;false;Territory_Standing;TerritoryRankBonus_9;;;;;;0;false;
10;@CutlassKeys;300;true;false;Territory_Standing;TerritoryRankBonus_10;;;;;;0;false;
11;@Mourningdale;300;true;false;Territory_Standing;TerritoryRankBonus_11;;;;;;0;false;
12;@MonarchsBluffs;300;true;false;Territory_Standing;TerritoryRankBonus_12;;;;;;0;false;
13;@WeaversFen;300;true;false;Territory_Standing;TerritoryRankBonus_13;;;;;;0;false;
15;@RestlessShore;300;true;false;Territory_Standing;TerritoryRankBonus_15;;;;;;0;false;
Territory2_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Territory4_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Territory5_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Territory6_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Territory8_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Territory9_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Territory10_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Territory11_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Territory12_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Territory13_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Territory15_HouseBonusType0;;0;false;false;HouseBonus;;;;;;;0;false;
Battle_Token;@ui_siege_hud_battle_tokens;0;false;false;BattleToken;;;;;;;0;false;
HatchetAbilityTable;@ui_hatchet_mastery;19;true;false;WeaponMastery;HatchetAbilityTable;;;;;;0;false;
SwordAbilityTable;@ui_straightsword_mastery;19;true;false;WeaponMastery;SwordAbilityTable;;;;;;0;false;
WarHammerAbilityTable;@ui_warhammer_mastery;19;true;false;WeaponMastery;WarHammerAbilityTable;;;;;;0;false;
BowAbilityTable;@ui_bow_mastery;19;true;false;WeaponMastery;BowAbilityTable;;;;;;0;false;
MusketAbilityTable;@ui_musket_mastery;19;true;false;WeaponMastery;MusketAbilityTable;;;;;;0;false;
