DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;IsAbility;AttackType;DamageType;Affliction;AddAffliction;AfflictionPercent;StatusEffect;EffectOnlyOnDamage;SurfaceImpactEffect;DeflectDamageID;CanCrit;Unblockable;AttackDealsNoDurability;NoHeadshot;NoBackstab;NoLegShots;CancelTargetHoming;DmgCoef;DmgCoefHead;DmgCoefCrit;DurabilityCostOverride;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;StaggerResistModifier;CritStaggerDmgModifier;HitRateDmgModifier;MaxHitRateDmgMod;CameraShakeID;TargetCameraShakeID;BlockCameraShakeID;BlockTargetCameraShakeID;CritCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;LOSCheckVerticalAngleOffset;StunBreakoutIncrement;ThreatMultiplier;AddThreat;IsTaunt;TauntDuration;TauntThreatBoostPercentage;TauntMinimumThreatValue;UseAttackerPosForReaction
2H_Axe_Attack1;Axe;0;0;false;false;Light;Standard;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1;1.2999999523162842;;0;0;3;0;30;20;30;0;2.5;0;0.8500000238418579;0;0.5;0;0;0;2.5;0;0.8500000238418579;0;1;1;0;0;0;;;;;Large_short;Large_short;1;1;1;0;0;1;0;false;0;0;0;false
2H_Axe_Attack2;Axe;0;0;false;false;Heavy;Standard;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.5;1.2999999523162842;;0;3;3;3;30;25;30;0;2.299999952316284;0;0.800000011920929;0;0.5;0;0;0;2.299999952316284;0;0.800000011920929;0;1;1;0;0;0;;;;;;;1;1;1;0;0;1;0;false;0;0;0;false
2H_Axe_Attack1_Run;Axe;0;0;false;false;Heavy;Standard;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.25;1.2999999523162842;;0;3;3;3;30;25;30;0;3;0;0.800000011920929;0;0.5;0;0;0;3;0;0.800000011920929;0;1;1;0;0;0;;;;;;;1;1;1;0;1;1;0;false;0;0;0;false
2H_Axe_Attack3_Spin1;Axe;0;0;false;false;Heavy;Standard;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;0.5;1.2999999523162842;;0;3;3;3;30;25;30;0;1.399999976158142;0;0.800000011920929;0;0.5;0;0;0;1.399999976158142;0;0.800000011920929;0;1;1;0;0;0;;;;;;;1;1;1;0;1;1;0;false;0;0;0;false
2H_Axe_Attack3_SpinFinish;Axe;0;0;false;false;;Standard;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1;1.2999999523162842;;0;4;4;4;25;20;25;0;3;0;0.800000011920929;0;1.5;0;0;0;3;0;0.800000011920929;0;1;1;0;0;0;;;;;;;1;1;1;0;1;1;0;false;0;0;0;false
2H_Pick_Attack1;Pick;0;0;false;false;Light;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1;1.2999999523162842;;0;3;3;3;30;25;30;0;2.5;0;0.8500000238418579;0;0.5;0;0;0;2.5;0;0.8500000238418579;0;1;1;0;0;0;;;;;;;1;1;1;0;1;1;0;false;0;0;0;false
2H_Pick_Attack1_Run;Pick;0;0;false;false;Heavy;Thrust;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.5;1.2999999523162842;;0;3;3;3;30;25;30;0;0.75;0;0.800000011920929;0;0.5;0;0;0;0.75;0;0.800000011920929;0;1;1;0;0;0;;;;;;;1;1;1;0;1;1;0;false;0;0;0;false
2H_Club_Attack1;Club;0;0;false;false;Light;Strike;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1;1.2999999523162842;;0;0;3;3;25;15;25;0;2.299999952316284;0;0.800000011920929;0;0.5;0;0;0;2.299999952316284;0;0.800000011920929;0;0.800000011920929;1;0;0;0;;;;;;;3;0.800000011920929;1;0;0;1;0;false;0;0;0;false
2H_Club_Attack2;Club;0;0;false;false;Heavy;Strike;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.5;1.2999999523162842;;0;3;3;3;35;30;35;0;2.299999952316284;0;0.800000011920929;0;0.5;0;0;0;2.299999952316284;0;0.800000011920929;0;2.200000047683716;1;0;0;0;;;;;;;4;2.200000047683716;1;0;1;1;0;false;0;0;0;false
2H_Club_Attack3;Club;0;0;false;false;Heavy;Strike;;0;;;;Bullet;Deflect_Default;false;false;;false;false;false;false;1.5;1.2999999523162842;;0;5;5;5;35;30;35;0;0.6499999761581421;0;0.20000000298023224;0;1;0;0;0;0.6499999761581421;0;0.20000000298023224;0;1;1;0;0;0;;;;;;;3;1;1;0;1;1;0;false;0;0;0;false
