DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affliction;AddAffliction;AfflictionPercent;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement;UseAttackerPosForReaction
Fall;Fall;1;1;;Bullet;;Falling;;;;;;false;;false;1;0;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;Small;Small;Small;0;1;1;1;false
Reaction_Breakout;Fall;1;1;;Bullet;;Falling;;;;;;false;;false;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;Small;Small;Small;1;0;0;1;false
Elite_GRIT;Sword+Fire;0;0;;Bullet;;Standard;;;;;;false;Deflect_Default;false;0;0;;1;1;1;20;15;20;0;0;0;0.800000011920929;0;0.75;0;0.800000011920929;0;0;0;0.800000011920929;0;1.9500000476837158;;10;Small;Small;Small;0;1;1;1;false
Attack_Force_Grab;CorruptedMagic;0;0;;Bullet;Magic;Corruption;;;;;;false;Deflect_Default;false;0;1;;3;3;3;34;30;34;0;-1;-2;0.699999988079071;0;-1;-2;0.699999988079071;0;-1;-2;0.699999988079071;0;0;;0;Large;Large;Large;4;0;0;0;true
Attack_Force_Grab_Attach;CorruptedMagic;0;1;;Bullet;Magic;Corruption;;;;;AI_Thorpe_Force_Grab_Tracker;false;Deflect_Default;false;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;Small;Small;Small;0;0;0;0;false
Attack_Darkness_Calls;CorruptedMagic;0;0;;Bullet;Magic;Corruption;;;;;;false;Deflect_Default;false;0.25;1;;2;2;2;27;21;27;0;-2;0;0.699999988079071;0;-1.7000000476837158;0;0.699999988079071;0;-2;0;0.699999988079071;0;0;;0;Large;Large;Large;3;0.6000000238418579;0;0;false
Attack_Darkness_Calls_Affliction;CorruptedMagic;0;1;;Bullet;Magic;Corruption;;;;;AI_Thorpe_Darkness_Calls_Corruption;false;Deflect_Default;false;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;Small;Small;Small;0;0;0;0;false
Attack_Flame_Wall;Fire;0;1;;Bullet;Magic;Fire;;;;;AI_Thorpe_Burn_Apply;false;Deflect_Default;false;0.30000001192092896;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;Small;Small;Small;0;0;0;0;false
Attack_Core_Explosion;CorruptedMagic;0;0;;Bullet;Magic;Corruption;;;;;;false;Deflect_Default;false;0.800000011920929;1;;4;4;4;40;48;40;0;6.5;0;0.75;0;5;0;0.75;0;6.5;0;0.75;0;0;;0;Large;Large;Large;3;1.649999976158142;0;0;false
Attack_Core_Stab;Sword+Fire;0;0;;Bullet;Heavy;Thrust;;;;;;false;Deflect_Default;false;0.8999999761581421;1;;5;5;5;40;48;40;0;0.30000001192092896;0;0.75;0;0.6000000238418579;0;0.75;0;0.30000001192092896;0;0.75;0;0;;0;Large;Large;Large;3;0.6499999761581421;0;0;false
Attack_Hunger_Of_The_Void;CorruptedMagic;0;1;;Bullet;Magic;Corruption;;;;;AI_Thorpe_Hunger_Of_The_Void_Corruption;false;Deflect_Default;false;1.2000000476837158;1;;0;0;0;0;0;0;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;0;0.800000011920929;0;0;;0;Small;Small;Small;0;0;0;0;false
Attack_SwipeL_01;Sword+Fire;0;0;;Bullet;Light;Slash;;;;AI_FireDMG_25;;false;Deflect_Default;false;0.8500000238418579;1;;0;1;0;10;12;10;0;0.8999999761581421;0;0.800000011920929;0;1.149999976158142;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;0;;0;Small;Small;Small;1;0.3499999940395355;1;1;false
Attack_SwipeL_02;Sword+Fire;0;0;;Bullet;Light;Slash;;;;AI_FireDMG_25;;false;Deflect_Default;false;0.949999988079071;1;;0;1;0;12;15;12;0;1.100000023841858;0;0.800000011920929;0;1.2000000476837158;0;0.800000011920929;0;1.100000023841858;0;0.800000011920929;0;0;;0;Small;Small;Small;1;0.44999998807907104;1;1;false
Attack_SwipeR_01;Sword+Fire;0;0;;Bullet;Light;Slash;;;;AI_FireDMG_25;;false;Deflect_Default;false;1;1;;0;1;0;11;12;11;0;1;0;0.800000011920929;0;1.100000023841858;0;0.800000011920929;0;1;0;0.800000011920929;0;0;;0;Small;Small;Small;1;0.4000000059604645;1;1;false
Attack_SwipeR_02;Sword+Fire;0;0;;Bullet;Light;Slash;;;;AI_FireDMG_25;;false;Deflect_Default;false;1.100000023841858;1;;0;1;0;13;14;13;0;1.149999976158142;0;0.800000011920929;0;1.149999976158142;0;0.800000011920929;0;1.149999976158142;0;0.800000011920929;0;0;;0;Small;Small;Small;1;0.5;1;1;false
Attack_Stab_01;Sword+Fire;0;0;;Bullet;Light;Thrust;;;;AI_FireDMG_25;;false;Deflect_Default;false;1.0499999523162842;1;;0;2;0;14;21;14;0;1.4500000476837158;0;0.800000011920929;0;1.399999976158142;0;0.800000011920929;0;1.4500000476837158;0;0.800000011920929;0;0;;0;Small;Small;Small;1;0.6000000238418579;1;1;false
Attack_Stab_02;Sword+Fire;0;0;;Bullet;Light;Thrust;;;;AI_FireDMG_25;;false;Deflect_Default;false;1.149999976158142;1;;0;2;0;15;25;15;0;1.649999976158142;0;0.800000011920929;0;1.5;0;0.800000011920929;0;1.649999976158142;0;0.800000011920929;0;0;;0;Small;Small;Small;2;0.6499999761581421;1;1;false
Attack_Double_Spin_Combo;Sword+Fire;0;0;;Bullet;Light;Slash;;;;AI_FireDMG_50;;false;Deflect_Default;false;1;1;;1;1;1;13;18;13;0;1.100000023841858;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;1.100000023841858;0;0.800000011920929;0;0;;0;Small;Small;Small;1;0.4000000059604645;1;1;false
Attack_Double_Spin_Finisher;Sword+Fire;0;0;;Bullet;Heavy;Slash;;;;AI_FireDMG_75;AI_Thorpe_Burn;true;Deflect_Default;false;1.2999999523162842;1;;2;2;2;22;28;22;0;1.7999999523162842;0;0.800000011920929;0;1.5499999523162842;0;0.75;0;1.7999999523162842;0;0.800000011920929;0;0;;0;Small;Small;Small;2;0.75;1;1;false
Attack_Overhead_Slash;Sword+Fire;0;0;;Bullet;Heavy;Slash;;;;AI_FireDMG_25;;false;Deflect_Default;false;1.149999976158142;1;;5;3;5;24;32;24;0;1.100000023841858;0;0.800000011920929;0;1.2000000476837158;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;0;;0;Small;Small;Large;2;0.699999988079071;1;1;false
Attack_Overhead_Slash_Fire;Sword+Fire;0;0;;Bullet;Heavy;Fire;;;;;AI_Thorpe_Burn;true;Deflect_Default;false;1.2999999523162842;1;;2;3;2;27;30;27;0;2.200000047683716;0;0.800000011920929;0;2.3499999046325684;0;0.800000011920929;0;2.200000047683716;0;0.800000011920929;0;0;;0;Large;Large;Large;2;0.8500000238418579;1;1;false
Attack_Flip_Overhead_Slash;Sword+Fire;0;0;;Bullet;Heavy;Slash;;;;AI_FireDMG_75;;false;Deflect_Default;false;1.25;1;;2;3;2;25;34;25;0;1.2000000476837158;0;0.75;0;1;0;0.75;0;1.2000000476837158;0;0.75;0;0;;0;Small;Small;Small;2;0.699999988079071;1;1;false
Attack_Flip_Overhead_Fire;Sword+Fire;0;0;;Bullet;Heavy;Fire;;;;;AI_Thorpe_Burn;true;Deflect_Default;false;1.5;1;;3;4;3;32;40;32;0;2.299999952316284;0;0.75;0;2.5999999046325684;0;0.75;0;2.299999952316284;0;0.75;0;0;;0;Large;Large;Large;3;1;1;1;false
