Index;Name;Color;Category;IsEntitlement;ColorAmount;ColorOverride;SpecColor;SpecAmount;MaskGlossShift
4;PrimeBlue;#00A8E1;Reserved;1;1;0.10000000149011612;#31608c;1;0.5
22;AmazonOrange;#FF9900;Reserved;1;1;0.05000000074505806;#FF9900;0.15000000596046448;0.5
23;TwitchPurple;#9472c8;Reserved;1;1;0.10000000149011612;#40365f;1;0.5
27;Ship Gray;#403d44;Reserved;1;1;0.5;#1d1b21;1;0.5
30;Sublime Bone;#b1b6be;Reserved;1;1;0.05000000074505806;#7d7f85;0.699999988079071;0.5
32;Bleached Cofee;#9d826e;Reserved;1;1;0.10000000149011612;#533b2c;1;0.5
34;Blood;#6c1201;Reserved;1;1;0.4000000059604645;#2c0b06;1;0.5
36;Viola;#c88ba8;Reserved;1;1;0.10000000149011612;#8e4d64;1;0.5
38;Burnt Sienna;#e5824b;Reserved;1;1;0.10000000149011612;#e5824b;0.30000001192092896;0.5
39;Silt;#b1a63d;Reserved;1;1;0.10000000149011612;#b1a63d;0.30000001192092896;0.5
42;Key Lime;#b6be6b;Reserved;1;1;0.05000000074505806;#4b4c22;1;0.5
43;Forest Green;#204705;Reserved;1;1;0.5;#040f00;1;0.5
47;Tradewind;#54b2ac;Reserved;1;1;0.10000000149011612;#54b2ac;0.30000001192092896;0.5
48;Hidden Stream;#84baac;Reserved;1;1;0.10000000149011612;#84baac;0.30000001192092896;0.5
49;Blued Steel;#2d4483;Reserved;1;1;0.30000001192092896;#19274e;1;0.5
52;Spring Grape;#5c4686;Reserved;1;1;0.20000000298023224;#5c4686;0.30000001192092896;0.5
55;Deep Velvet;#3e234e;Reserved;1;1;0.30000001192092896;#3e234e;0.30000001192092896;0.5
57;Lavender;#ac7db3;Reserved;1;1;0.05000000074505806;#ac7db3;0.30000001192092896;0.5
58;Silver;#d0d9e1;Reserved;1;1;0.20000000298023224;#929697;1;0.75
100;Frozen Basalt;#384952;Grey;0;1;0.5;#192228;1;0.5
101;Crumbled Rock;#5b5a61;Grey;0;1;0.20000000298023224;#262629;1;0.44999998807907104
102;Dove Gray;#6c6869;Grey;0;1;0.20000000298023224;#2c292b;1;0.5
103;Corduroy;#5e645f;Grey;0;1;0.20000000298023224;#2a2e2a;1;0.5
104;Murky Water;#666454;Grey;0;1;0.20000000298023224;#2a2923;1;0.5
105;Natural Gray;#8d8986;Grey;0;1;0.10000000149011612;#42403f;0.5;0.5
106;Gunsmoke;#7c8989;Grey;0;1;0.10000000149011612;#435c5c;0.5;0.5
107;Detritus;#3a1c0c;Brown;0;1;0.5;#1b110c;1;0.5
108;Saddle Brown;#4f3a29;Brown;0;1;0.4000000059604645;#201710;1;0.5
109;Tarnished Obsidian;#564c39;Brown;0;1;0.30000001192092896;#19150f;1;0.5
110;Dark Tan;#61411e;Brown;0;1;0.20000000298023224;#181008;1;0.44999998807907104
111;Forest Lichen;#6d664b;Brown;0;1;0.10000000149011612;#28251b;1;0.5
112;Russet Brown;#765e52;Brown;0;1;0.10000000149011612;#392d27;1;0.5
113;Dust;#8e8b76;Brown;0;1;0.10000000149011612;#55513a;1;0.5
114;Delicate Silver;#a7978e;Brown;0;1;0.10000000149011612;#604e45;1;0.5
115;Rough Almond;#998d78;Brown;0;1;0.10000000149011612;#574b38;1;0.5
116;Copper;#862103;Red;0;1;0.20000000298023224;#471714;1;0.5
117;Dazzling Coral;#7b124a;Red;0;1;0.20000000298023224;#2d0b17;1;0.5
118;Paradise Vermilion;#a3252e;Red;0;1;0.15000000596046448;#6c1919;1;0.5
119;Amaranth;#925447;Red;0;1;0.10000000149011612;#51190e;1;0.5
120;Rose Stone;#8e7075;Red;0;1;0.10000000149011612;#463034;1;0.5
121;Field Peach;#dfa088;Red;0;1;0.05000000074505806;#b96544;1;0.5
122;Sea Clam;#eeacac;Red;0;1;0.05000000074505806;#be6a6a;1;0.5
123;Deep Chocolate;#60300e;Orange;0;1;0.30000001192092896;#60300e;0.30000001192092896;0.5
124;Rich Vanilla;#6f4326;Orange;0;1;0.20000000298023224;#6f4326;0.30000001192092896;0.5
125;Seasoned Leather;#7e513c;Orange;0;1;0.20000000298023224;#7e513c;0.30000001192092896;0.5
126;Spicy Pepper;#993c2d;Orange;0;1;0.20000000298023224;#993c2d;0.30000001192092896;0.5
127;Rusty Cream;#986a46;Orange;0;1;0.10000000149011612;#986a46;0.30000001192092896;0.5
128;Medium Carmine;#b24d39;Orange;0;1;0.10000000149011612;#b24d39;0.30000001192092896;0.5
129;Desert;#b65623;Orange;0;1;0.10000000149011612;#b65623;0.30000001192092896;0.5
130;Sunset Slate;#b67057;Orange;0;1;0.10000000149011612;#b67057;0.30000001192092896;0.5
131;Distorted Amber;#5c461f;Yellow;0;1;0.30000001192092896;#5c461f;0.30000001192092896;0.5
132;Cinnamon;#7a4300;Yellow;0;1;0.30000001192092896;#7a4300;0.30000001192092896;0.5
133;Shadow Moss;#7f7a43;Yellow;0;1;0.20000000298023224;#7f7a43;0.30000001192092896;0.5
134;Buttered Rum;#a77711;Yellow;0;1;0.20000000298023224;#a77711;0.30000001192092896;0.5
135;Raw Sienna;#cd8a46;Yellow;0;1;0.10000000149011612;#cd8a46;0.30000001192092896;0.5
136;Delicate Sand;#d9a983;Yellow;0;1;0.05000000074505806;#d9a983;0.30000001192092896;0.5
137;Harvest Barley;#9d7d54;Yellow;0;1;0.10000000149011612;#9d7d54;0.30000001192092896;0.5
138;Grit;#dbaa72;Yellow;0;1;0.05000000074505806;#dbaa72;0.30000001192092896;0.5
139;Twine;#be9754;Yellow;0;1;0.05000000074505806;#be9754;0.30000001192092896;0.5
140;Verdun Green;#516c02;Green;0;1;0.4000000059604645;#223008;1;0.5
141;Swamp Grass;#585b00;Green;0;1;0.30000001192092896;#212200;1;0.5
142;Autumn Moss;#6c794b;Green;0;1;0.15000000596046448;#232a19;1;0.5
143;Warm Slime;#7d7304;Green;0;1;0.15000000596046448;#4a3f04;1;0.5
144;Avocado;#949a5e;Green;0;1;0.10000000149011612;#383b24;1;0.5
145;Tropical Mist;#908f73;Green;0;1;0.10000000149011612;#323f3c;1;0.5
146;Tarnished Jade;#418853;Aqua;0;1;0.20000000298023224;#0f361b;1;0.5
147;Pesto;#62893a;Aqua;0;1;0.20000000298023224;#2a4818;1;0.5
148;Wedgewood;#45968f;Aqua;0;1;0.10000000149011612;#1c4e48;1;0.5
149;Smokey Malachite;#72857f;Aqua;0;1;0.10000000149011612;#323f3c;1;0.5
