ContainerTypeID;EncumbranceBaseMax;EncumbranceWarningPercent;EquipLoadBaseMax;EquipLoadWarningPercent;FullWhenEncumbered;EquipLoadRatioFast;EquipLoadRatioNormal;EquipLoadRatioSlow;EquipLoadRatioOverburdened;EquipLoadStaminaCostMultFast;EquipLoadStaminaCostMultNormal;EquipLoadStaminaCostMultSlow;EquipLoadStaminaCostMultOverburdened;EquipLoadStaminaRegenMultFast;EquipLoadStaminaRegenMultNormal;EquipLoadStaminaRegenMultSlow;EquipLoadStaminaRegenMultOverburdened;EquipLoadMoveSpeedMultFast;EquipLoadMoveSpeedMultNormal;EquipLoadMoveSpeedMultSlow;EquipLoadMoveSpeedMultOverburdened;EquipLoadGritResistMultFast;EquipLoadGritResistMultNormal;EquipLoadGritResistMultSlow;EquipLoadGritResistMultOverburdened;EquipLoadDefenseMultFast;EquipLoadDefenseMultNormal;EquipLoadDefenseMultSlow;EquipLoadDefenseMultOverburdened;EquipLoadBlockStabilityMultFast;EquipLoadBlockStabilityMultNormal;EquipLoadBlockStabilityMultSlow;EquipLoadBlockStabilityMultOverburdened;EquipLoadStanceWeaponAccuracyFast;EquipLoadStanceWeaponAccuracyNormal;EquipLoadStanceWeaponAccuracySlow;EquipLoadMovementWeaponAccuracyFast;EquipLoadMovementWeaponAccuracyNormal;EquipLoadMovementWeaponAccuracySlow;EquipLoadDamageMultFast;EquipLoadDamageMultNormal;EquipLoadDamageMultSlow;EquipLoadDamageOverburdened;EquipLoadCCStatusEffectDurationMultFast;EquipLoadCCStatusEffectDurationMultNormal;EquipLoadCCStatusEffectDurationMultSlow;EquipLoadCCStatusEffectDurationMultOverburdened;EquipLoadCCStatusEffectCategories
NoLimit;-1;80;-1;80;0;0;25;75;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
Player;2000;80;500;80;2;0;30;60;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.149999976158142;1;1.2999999523162842;1.2999999523162842;1.2999999523162842;1.100000023841858;1.100000023841858;1.100000023841858;0.20000000298023224;0.10000000149011612;0;0;0;0.10000000149011612;0.20000000298023224;0.20000000298023224;Slow,Stun,Root
StorageSmall;1500;80;-1;100;1;0;25;75;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
StorageMedium;10000;80;-1;100;1;0;25;75;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
StorageLarge;15000;80;-1;100;1;0;25;75;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
StorageXLarge;20000;80;-1;100;1;0;25;75;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
Well;300;80;-1;100;1;0;25;75;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
Outhouse;300;80;-1;100;1;0;25;75;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
SiegeSupplyGeneratorT1;300;80;-1;100;1;0;25;75;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
SiegeSupplyGeneratorT2;400;80;-1;100;1;0;25;75;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
SiegeSupplyGeneratorT3;500;80;-1;100;1;0;25;75;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
