UniqueTagID;EntitlementIndex;IsEnabled;DisplayName;Description;IsConsumable;Icon;RewardType;Reward(s);EntitlementInfo;SourceType;Notes
DEBUG_LOTE;1;true;NEVER SELL THIS;LORD OF THE ENTITLEMENTS;false;;Entitlement;EveryDangThing;ONE ENTITLEMENT TO RULE THEM ALL;Twitch;
EyesOnYouEmote;57;true;@EyesOnYouEmote_EntName;@EyesOnYouEmote_EntDes;false;;Emote;Emote_EyesOnYou;;Store;
Marks of Fortune;90;true;@ui_marks_of_fortune;@ui_marks_of_fortune;true;;FictionalCurrency;1;;Store;
galaxy_rabbit;101;true;Galaxy Rabbit;;false;;HousingItem;House_HousingItem_Pet_Entitlement_Rabbit_Galaxy;;Store;
rainbow_tiger;102;true;Rainbow Tiger;;false;;HousingItem;House_HousingItem_Pet_Entitlement_Tiger_Rainbow;;Store;
sublimebone_dye;127;true;;;true;;ItemDye;DyeA030;;Store;
rouge_dye;132;true;;;true;;ItemDye;DyeA035;;Store;
agelessbronze_dye;134;true;;;true;;ItemDye;DyeA037;;Store;
greengrass_dye;141;true;;;true;;ItemDye;DyeA044;;Store;
hiddenstream_dye;145;true;;;true;;ItemDye;DyeA048;;Store;
butterflywing_dye;150;true;;;true;;ItemDye;DyeA053;;Store;
icon_crest_145;159;true;;;false;;GuildCrest;icon_crest_145;;Store;
icon_crest_23;161;true;;;false;;GuildCrest;icon_crest_23;;Store;
icon_crest_42;167;true;;;false;;GuildCrest;icon_crest_42;;Store;
icon_crest_178;175;true;;;false;;GuildCrest;icon_crest_178;;Store;
icon_crest_90;180;true;;;false;;GuildCrest;icon_crest_90;;Store;
icon_crest_144;181;true;;;false;;GuildCrest;icon_crest_144;;Store;
icon_crest_179;182;true;;;false;;GuildCrest;icon_crest_179;;Store;
crescent_fang;190;true;@VikingThrowingAxe_EntName;@VikingThrowingAxe_EntDes;false;;ItemSkin;CrescentFang;@VikingThrowingAxe_EntInfo;Store;
runic_jackal;194;true;@VikingMediumArmor_EntName;@VikingMediumArmor_EntDes;false;;ItemSkin;RunicJackalHead+RunicJackalChest+RunicJackalHands+RunicJackalLegs+RunicJackalFeet;@VikingMediumArmor_EntInfo;Store;
eyesonyou;204;true;@EyesOnYouEmote_EntName;@EyesOnYouEmote_EntDes;false;;Emote;Emote_EyesOnYou;;Store;
arm_flex;207;true;Arm Flex Emote;;false;;Emote;Emote_Flex3;;Store;
icon_crest_099_Premium;234;true;;;false;;GuildCrest;icon_crest_099_Premium;;Store;
BannedAbusive_AbusiveLanguageWarning;235;true;Abusive Language Warning;Abusive Language Warning;false;;Misc;;;;
EntitlementSkin_AnglesDemon_WarHammer;256;true;Destroyers Wrath;;false;;ItemSkin;Skin_AnglesDemon_WarHammer;;Store;
EntitlementSkin_MediumHead_Angel;266;true;;;false;;ItemSkin;Skin_MediumHead_Angel;;Store;
EntitlementSkin_MediumChest_Angel;267;true;;;false;;ItemSkin;Skin_MediumChest_Angel;;Store;
EntitlementSkin_MediumHands_Angel;268;true;;;false;;ItemSkin;Skin_MediumHands_Angel;;Store;
EntitlementSkin_MediumLegs_Angel;269;true;;;false;;ItemSkin;Skin_MediumLegs_Angel;;Store;
EntitlementSkin_MediumFeet_Angel;270;true;;;false;;ItemSkin;Skin_MediumFeet_Angel;;Store;
EntitlementSkin_HeavyFeet_Angel;275;true;;;false;;ItemSkin;Skin_HeavyFeet_Angel;;Store;
STEAM_APP_ID.1612390;276;true;Additional Character Slot 1;Grants additional character slot in gamma;false;;;;;;
STEAM_APP_ID.1612391;277;true;Additional Character Slot 2;Grants additional character slot in gamma;false;;;;;;
EntitlementSkin_Medium_Angel;279;true;Aegis of Providence ;;false;;ItemSkin;Skin_MediumHead_Angel+Skin_MediumChest_Angel+Skin_MediumHands_Angel+Skin_MediumLegs_Angel+Skin_MediumFeet_Angel;;Store;
Icon_Crest_Pack_Smugglers;282;true;;;false;;GuildCrest;icon_crest_90+icon_crest_144+icon_crest_178+icon_crest_179;;Store;
Icon_Crest_Pack_Merriment;283;true;;;false;;GuildCrest;icon_crest_23+icon_crest_42+icon_crest_145+icon_crest_099_Premium;;Store;
EntitlementSkin_Head_HideHelmet;293;true;;;false;;ItemSkin;SkinID_Head_HideHelmet;;Store;
Ent_galaxy_rabbit;294;true;Galaxy Rabbit;;false;;Entitlement;galaxy_rabbit;;Store;
Ent_rainbow_tiger;295;true;Rainbow Tiger;;false;;Entitlement;rainbow_tiger;;Store;
