DamageID;WeaponCategory;IgnoreInvulnerable;NoReaction;IsRanged;SurfaceImpactEffect;AttackType;DamageType;Affliction;AddAffliction;AfflictionPercent;Affixes;StatusEffect;EffectOnlyOnDamage;DeflectDamageID;CanCrit;DmgCoef;DmgCoefHead;DmgCoefCrit;PowerLevel;BlockPowerLevel;CritPowerLevel;HitStun;BlockHitStun;CritHitStun;ImpactDistanceX;ImpactDistanceY;ImpactDistanceZ;ImpactDecayRate;BlockImpactDistanceX;BlockImpactDistanceY;BlockImpactDistanceZ;BlockImpactDecayRate;CritImpactDistanceX;CritImpactDistanceY;CritImpactDistanceZ;CritImpactDecayRate;AddDmg;StaggerDmgModifier;CritStaggerDmgModifier;StaggerResistModifier;TargetCameraShakeID;BlockTargetCameraShakeID;CritTargetCameraShakeID;ImpactRating;BlockStaminaDmgMod;BlockAbsorptionModifier;StunBreakoutIncrement
Damned_1H_Melee_Light;Sword;0;0;;Bullet;Light;Slash;;;;;;;Deflect_Default;false;0.4000000059604645;1;;0;0;0;20;15;20;0;1.25;0;0.800000011920929;0;0.75;0;0.800000011920929;0;0.75;0;0.800000011920929;0;0.15000000596046448;;0;Small;Small;Small;3;0.11999999731779099;1;0
Damned_1H_Melee_Primary;Sword;0;0;;Bullet;Light;Slash;;;;;;;Deflect_Default;false;0.5;1;;0;0;0;20;15;20;0;1.25;0;0.800000011920929;0;0.75;0;0.800000011920929;0;0.75;0;0.800000011920929;0;0.25;;0;Small;Small;Small;3;0.17000000178813934;1;0
Damned_1H_Melee_Heavy;Sword;0;0;;Bullet;Heavy;Thrust;;;;;;;Deflect_Default;false;1;1;;3;3;3;30;25;30;0;1.5;0;0.800000011920929;0;1.25;0;0.800000011920929;0;1.25;0;0.800000011920929;0;0.6000000238418579;;1;Small;Small;Small;3;0.30000001192092896;1;1
Damned_1H_Melee_Heavy_Slash;Sword;0;0;;Bullet;Heavy;Slash;;;;;;;Deflect_Default;false;0.8999999761581421;1;;2;2;2;20;15;20;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.44999998807907104;;1;Small;Small;Small;3;0.4000000059604645;1;1
Damned_Shield_Bash;Sword;0;0;;Bullet;Heavy;Strike;;;;;;;Deflect_Default;false;0.75;1;;3;3;3;30;25;30;0;2.25;0;0.800000011920929;0;2.25;0;0.800000011920929;0;2.25;0;0.800000011920929;0;0.6499999761581421;;1;Small;Small;Small;4;0.6499999761581421;1;1
Damned_1H_Melee_Combo_01;Sword;0;0;;Bullet;;Slash;;;;;;;Deflect_Default;false;0.5;1;;2;2;2;25;20;25;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.20000000298023224;;0.5;Small;Small;Small;3;0.20000000298023224;1;1
Damned_1H_Melee_Combo_02;Sword;0;0;;Bullet;;Thrust;;;;;;;Deflect_Default;false;0.6000000238418579;1;;3;3;3;30;25;30;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.20000000298023224;;0.5;Small;Small;Small;3;0.20000000298023224;1;1
Damned_1H_Melee_Combo_02_Slash;Sword;0;0;;Bullet;;Slash;;;;;;;Deflect_Default;false;0.6000000238418579;1;;3;3;3;30;25;30;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.20000000298023224;;0.5;Small;Small;Small;3;0.20000000298023224;1;1
Damned_1H_Club_Light;Club;0;0;;Bullet;;Strike;;;;;;;Deflect_Default;false;0.30000001192092896;1;;0;0;0;20;10;20;0;1;0;0.800000011920929;0;0.75;0;0.800000011920929;0;1;0;0.800000011920929;0;0.2199999988079071;;0.5;Small;Small;Small;3;0.2199999988079071;1;0
Damned_1H_Club_Primary;Club;0;0;;Bullet;;Strike;;;;;;;Deflect_Default;false;0.4000000059604645;1;;0;0;0;20;15;20;0;1.5;0;0.800000011920929;0;1;0;0.800000011920929;0;1.5;0;0.800000011920929;0;0.25999999046325684;;0.75;Small;Small;Small;3;0.25999999046325684;1;1
Damned_1H_Club_Heavy;Club;0;0;;Bullet;;Strike;;;;;;;Deflect_Default;false;0.8999999761581421;1;;3;3;3;30;20;30;0;2;0;0.800000011920929;0;1.5;0;0.800000011920929;0;2;0;0.800000011920929;0;0.30000001192092896;;1.5;Small;Small;Small;3;0.5;1;1
Damned_1H_Club_Combo_01;Sword;0;0;;Bullet;;Strike;;;;;;;Deflect_Default;false;0.5;1;;2;2;2;25;20;25;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.1599999964237213;;0.5;Small;Small;Small;3;0.18000000715255737;1;1
Damned_1H_Club_Combo_02;Sword;0;0;;Bullet;;Strike;;;;;;;Deflect_Default;false;0.6000000238418579;1;;3;3;3;30;25;30;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.1599999964237213;;0.5;Small;Small;Small;3;0.20000000298023224;1;1
Damned_2H_GreatAxe_Melee_Light;Axe;0;0;;Bullet;;Slash;;;;;;;Deflect_Default;false;0.550000011920929;1;;0;1;0;15;10;15;0;1;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;1;0;0.800000011920929;0;0.30000001192092896;;0.5;Small;Small;Small;3;0.30000001192092896;1;0
Damned_2H_GreatAxe_Melee_Medium;Axe;0;0;;Bullet;;Slash;;;;;;;Deflect_Default;false;1;1;;2;2;2;20;15;20;0;1.25;0;0.800000011920929;0;0.8999999761581421;0;0.800000011920929;0;1.25;0;0.800000011920929;0;0.4000000059604645;;0.699999988079071;Small;Small;Small;3;0.4000000059604645;1;1
Damned_2H_GreatAxe_Melee_Heavy;Axe;0;0;;Bullet;;Slash;;;;;;;Deflect_Default;false;1.100000023841858;1;;3;3;3;30;20;30;0;1.75;0;0.800000011920929;0;1;0;0.800000011920929;0;1.75;0;0.800000011920929;0;0.6000000238418579;;1.5;Small;Small;Small;3;0.6000000238418579;1;1
Damned_2H_GreatAxe_Combo_01;Sword;0;0;;Bullet;;Slash;;;;;;;Deflect_Default;false;0.5;1;;2;2;2;25;20;25;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.3199999928474426;;0.5;Small;Small;Small;3;0.3199999928474426;1;1
Damned_2H_GreatAxe_Combo_02;Sword;0;0;;Bullet;;Slash;;;;;;;Deflect_Default;false;0.6000000238418579;1;;3;3;3;30;25;30;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;1;0;0.800000011920929;0;0.3199999928474426;;0.5;Small;Small;Small;3;0.3199999928474426;1;1
Damned_Unarmed_Kick;Unarmed;0;0;;Bullet;;Strike;;;;;;;;false;0.8799999952316284;1;;2;2;2;30;15;30;0;1;0;0.800000011920929;0;0;0;0;0;1;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.33000001311302185;1;1
1H_Sword_Attack1;Sword;0;0;;Bullet;;Thrust;;;;;;;Deflect_Default;false;0.15000000596046448;1;;0;1;0;30;10;30;0;2;0;0.800000011920929;0;0;0;0;0;2;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.11999999731779099;1;0
1H_Sword_Attack1_Slash;Sword;0;0;;Bullet;;Slash;;;;;;;Deflect_Default;false;0.15000000596046448;1;;0;1;0;30;10;30;0;2;0;0.800000011920929;0;0;0;0;0;2;0;0.800000011920929;0;0;;0;Small;Small;Small;3;0.11999999731779099;1;0
Reaction_Breakout_Sword;Sword;1;0;;Bullet;;Slash;;;;;;;Deflect_Default;false;0.6000000238418579;1;;3;3;3;30;20;30;0;2.5;0;0.800000011920929;0;2;0;0.800000011920929;0;2.5;0;0.800000011920929;0;0;;10;Small;Small;Small;3;0.33000001311302185;1;1
Reaction_Breakout_Club;Club;1;0;;Bullet;;Strike;;;;;;;Deflect_Default;false;0.6000000238418579;1;;3;3;3;30;20;30;0;2.5;0;0.800000011920929;0;2;0;0.800000011920929;0;2.5;0;0.800000011920929;0;0;;10;Small;Small;Small;3;0.33000001311302185;1;1
Reaction_Breakout_Shield;Sword;1;0;;Bullet;;Strike;;;;;;;Deflect_Default;false;0.6000000238418579;1;;3;3;3;30;20;30;0;2.5;0;0.800000011920929;0;2;0;0.800000011920929;0;2.5;0;0.800000011920929;0;0;;10;Small;Small;Small;3;0.33000001311302185;1;1
