GatherableID;DisplayName;GatheringAction;GatheringType;FinalLootTable;LootTableDefaultMaterial;MinRespawnRate;MaxRespawnRate;Tradeskill;RequiredTradeskillLevel;DepletedGatherableID;BaseGatherTime;WaitForImpact;Restriction;AlignGatherer;GameEventID;ItemRestrictionId;ItemRestrictionQuantity;ResetGatherTimeOnEndInteraction;IsLootContainer;IsDynamicPoiTarget;RequireLootItems;IconTypeUnlock;IgnoreObstructions;RequireControllingFaction;AddedStatusEffect;RequiredStatusEffect;ConsumedStatusEffect;NumRequiredToGather
TreeSoftwoodTiny;@TreeSoftwoodTiny_DisplayName;Chopping;Chopping;TreeTiny;;420;600;Logging;0;0;5;true;ToolRequired;true;Gather_LoggingT1;;;false;false;false;;YoungTrees;false;false;;;;0
TreeSoftwoodSmall;@TreeSoftwoodSmall_DisplayName;Chopping;Chopping;TreeSmall;;504;720;Logging;0;0;15;true;ToolRequired;true;Gather_LoggingT2;;;false;false;false;;;false;false;;;;0
TreeSoftwoodMedium;@TreeSoftwoodMedium_DisplayName;Chopping;Chopping;TreeMedium;;630;900;Logging;0;0;25;true;ToolRequired;true;Gather_LoggingT3;;;false;false;false;;;false;false;;;;0
TreeSoftwoodLarge;@TreeSoftwoodLarge_DisplayName;Chopping;Chopping;TreeLarge;;714;1020;Logging;50;0;35;true;ToolRequired;true;Gather_LoggingT4;;;false;false;false;;MatureTrees;false;false;;;;0
TreeSoftwoodHuge;@TreeSoftwoodHuge_DisplayName;Chopping;Chopping;TreeHuge;;840;1200;Logging;50;0;45;true;ToolRequired;true;Gather_LoggingT5;;;false;false;false;;MatureTrees;false;false;;;;0
TreeHardwoodTiny;@TreeHardwoodTiny_DisplayName;Chopping;Chopping;TreeTiny;;420;600;Logging;0;0;5;true;ToolRequired;true;Gather_LoggingT1;;;false;false;false;;;false;false;;;;0
TreeHardwoodSmall;@TreeHardwoodSmall_DisplayName;Chopping;Chopping;TreeSmall;;504;720;Logging;0;0;15;true;ToolRequired;true;Gather_LoggingT2;;;false;false;false;;;false;false;;;;0
TreeHardwoodMedium;@TreeHardwoodMedium_DisplayName;Chopping;Chopping;TreeMedium;;630;900;Logging;0;0;25;true;ToolRequired;true;Gather_LoggingT3;;;false;false;false;;;false;false;;;;0
TreeHardwoodLarge;@TreeHardwoodLarge_DisplayName;Chopping;Chopping;TreeLarge;;714;1020;Logging;50;0;35;true;ToolRequired;true;Gather_LoggingT4;;;false;false;false;;MatureTrees;false;false;;;;0
TreeHardwoodHuge;@TreeHardwoodHuge_DisplayName;Chopping;Chopping;TreeHuge;;840;1200;Logging;50;0;45;true;ToolRequired;true;Gather_LoggingT5;;;false;false;false;;MatureTrees;false;false;;;;0
FallTreeSmall;@FallTreeSmall_DisplayName;Chopping;Chopping;TreeSmall;;420;600;Logging;0;0;15;true;ToolRequired;true;Gather_LoggingT2;;;false;false;false;;;false;false;;;;0
FallTreeMedium;@FallTreeMedium_DisplayName;Chopping;Chopping;TreeMedium;;630;900;Logging;0;0;20;true;ToolRequired;true;Gather_LoggingT3;;;false;false;false;;;false;false;;;;0
FallTreeLarge;@FallTreeLarge_DisplayName;Chopping;Chopping;TreeLarge;;714;1020;Logging;50;0;35;true;ToolRequired;true;Gather_LoggingT4;;;false;false;false;;MatureTrees;false;false;;;;0
