InteractionAnimationID;PlayerMannequinFragmentStartInteraction;InteractableTimelineStartInteraction;InteractableTimelineEndInteraction
HousingItemLieOnBed;Interact_Bed;;
HousingItemLieOnBedMirror;Interact_Bed_Mirror;;
HousingItemLieOnRug;Interact_Rug;;
HousingItemPetBobcat;Interact_Pet_Bobcat;Interact_Start;Interact_End
HousingItemPetDog;Interact_Pet;Interact_Start;Interact_End
HousingItemPetHare;Interact_Pet_Hare;Interact_Start;Interact_End
HousingItemSitOnChair;Interact_Chair;;
HousingItemStandingInteract;Interact_HousingCannon;Interact_Start;Interact_End
QuestAnim_AzothStaff_Create;Interact_AzothStaff_Create;Interact_Start;Interact_End
QuestAnim_MSQ_TheRitual;Interact_MSQ_TheRitual;Interact_Start;Interact_End
HousingItemPetTiger;Interact_Pet_Tiger;Interact_Start;Interact_End
HousingItemPetRabbit;Interact_Pet_Rabbit;Interact_Start;Interact_End
