ConsumableID;AddStatusEffects;StatusEffectMod;DurationOverrides;MinDurationModifier;MaxDurationModifier;DurationScaleFactor;MinPotencyModifier;MaxPotencyModifier;PotencyScaleFactor;RemoveStatusEffects;RemoveStatusEffectCategories;DisplayStatusEffect;UseCount;WeaponUseCount;AfflictionDamage;BaseDamageModifier;BaseDamageType;DamageType;Damage;DMGVitalsCategory;OnUseAffliction;StatMultipliers;RequiredItemClass;MannequinTag;CooldownDuration;CooldownId
WaterT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Drink;0;
MeatGameT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
MassiveTurkeyLegT5;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
CactusFleshT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
VenisonT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
PorkT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
TurkeyBreastT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
TurkeyThighT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
BearFlankT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
HamHockT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
RabbitT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
VenisonTenderloinT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
WolfLoinT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
PrimeRedMeatT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
PorkBellyT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
FishRoeT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
MeatSquidT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
MeatT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
RedMeatT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
FishT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
FishT2;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
FishT3;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
FishT4;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
WheatT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
GrainT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
EggT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
PoultryT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
StrawberryT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
CranberryT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
BroccoliT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
MelonT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
SquashT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
FruitT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
VegetableT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
NutT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
BerryT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
BlueberryT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
BarleyT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
PotatoT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
CornT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
CarrotT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
CabbageT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
HoneyT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
HardtackT1;FoodInitialRecoveryT1+FoodRecoveryT1;1;0;0;0;0;0;0;0;;FoodInitialRecovery+Recovery;;0;;;;;;;;;;;Eat;0;
MushroomT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
CauliflowerT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
CheeseT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
BreadT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
SausageT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
PastaT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
PastryCrustT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
ButterT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
OrangeT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
LemonT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
AppleT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
StringBeanT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
CoconutT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
MilkT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Drink;0;
TomatoT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
OnionT1;EatRawFood;1;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;Eat;0;
