ItemID;Name;ItemType;ItemTypeDisplayName;Description;ItemClass;TradingCategory;TradingFamily;TradingGroup;BindOnPickup;BindOnEquip;GearScoreOverride;MinGearScore;MaxGearScore;Tier;ItemStatsRef;GrantsHWMBump;IgnoreNameChanges;CanHavePerks;CanReplaceGem;Perk1;Perk2;Perk3;Perk4;Perk5;PerkBucket1;PerkBucket2;PerkBucket3;PerkBucket4;PerkBucket5;ForceRarity;RequiredLevel;UseTypeAffix;UseMaterialAffix;UseMagicAffix;IconCaptureGroup;UiItemClass;RDyeSlotDisabled;GDyeSlotDisabled;BDyeSlotDisabled;ADyeSlotDisabled;ArmorAppearanceM;ArmorAppearanceF;WeaponAppearanceOverride;ConfirmDestroy;ConfirmBeforeUse;ConsumeOnUse;PrefabPath;HousingTags;IconPath;MaxStackSize;DeathDropPercentage;Nonremovable;IsMissionItem;IsUniqueItem;ContainerLevel;ContainerGS;IsSalvageable;SalvageResources;IsRepairable;RepairDustModifier;RepairRecipe;CraftingRecipe;RepairGameEventID;SalvageGameEventID;SalvageAchievement;RepairTypes;IngredientCategories;IngredientBonusPrimary;IngredientBonusSecondary;IngredientGearScoreBaseBonus;IngredientGearScoreMaxBonus;ExtraBonusItemChance;Durability;DurabilityDmgOnDeath;DestroyOnBreak;Weight;AcquisitionNotificationId;AudioPickup;AudioPlace;AudioUse;AudioCreated;AudioDestroyed;MannequinTag;SoundTableID;WarboardGatherStat;WarboardDepositStat;Notes;HideInLootTicker
TorchT1;;Weapon;;;Weapon+EquippableOffHand+DecrementDurabilityOnUnsheathed;;;;;;100;100;100;1;TorchT1;;;true;true;;;;;;;;;;;;;true;true;true;Unused;UI_Weapon;false;false;false;false;;;1hElementalGauntlet_FireT3;;false;false;Items/Weapons/torch;;1hElementalGauntlet_FireT3;1;0;false;;false;;;false;;false;0;;;;;;;;;;;;;1000;0;false;35;;Play_UI_Pickup_Wood;Play_UI_Drop_Wood;Play_UI_Use_Wood;Play_UI_Created_Wood;Play_UI_item_broken;;1H_Torch;;;;
Wolf_Teeth;;Weapon;;;Weapon+EquippableMouth;;;;;;0;0;0;1;Wolf_Teeth;;;false;false;;;;;;;;;;;;;false;false;false;Unused;UI_Weapon;false;false;false;false;;;;;false;false;;;Wolf_Teeth;1;0;false;;false;;;false;;false;0;;;;;;;;;;;;;0;0;false;1;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;Play_UI_item_broken;;;;;;
Bear_Claw;;Weapon;;;Weapon+EquippableMouth;;;;;;0;0;0;1;Bear_Claw;;;false;false;;;;;;;;;;;;;false;false;false;Unused;UI_Weapon;false;false;false;false;;;;;false;false;;;Bear_Claw;1;0;false;;false;;;false;;false;0;;;;;;;;;;;;;0;0;false;1;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;Play_UI_item_broken;;;;;;
Damned_Weapon;;Weapon;;;Weapon+EquippableMouth;;;;;;0;0;0;1;Damned_Weapon;;;false;false;;;;;;;;;;;;;false;false;false;Unused;UI_Weapon;false;false;false;false;;;;;false;false;;;Damned_Weapon;1;0;false;;false;;;false;;false;0;;;;;;;;;;;;;0;0;false;1;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;Play_UI_item_broken;;;;;;
Risen_Weapon;;Weapon;;;Weapon+EquippableMouth;;;;;;0;0;0;1;Risen_Weapon;;;false;false;;;;;;;;;;;;;false;false;false;Unused;UI_Weapon;false;false;false;false;;;;;false;false;;;Risen_Weapon;1;0;false;;false;;;false;;false;0;;;;;;;;;;;;;0;0;false;1;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;Play_UI_item_broken;;;;;;
Crawler_Weapon;;Weapon;;;Weapon+EquippableMouth;;;;;;0;0;0;1;Crawler_Weapon;;;false;false;;;;;;;;;;;;;false;false;false;Unused;UI_Weapon;false;false;false;false;;;;;false;false;;;Risen_Weapon;1;0;false;;false;;;false;;false;0;;;;;;;;;;;;;0;0;false;1;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;Play_UI_item_broken;;;;;;
Grunt_Weapon;;Weapon;;;Weapon+EquippableMouth;;;;;;0;0;0;1;Grunt_Weapon;;;false;false;;;;;;;;;;;;;false;false;false;Unused;UI_Weapon;false;false;false;false;;;;;false;false;;;Risen_Weapon;1;0;false;;false;;;false;;false;0;;;;;;;;;;;;;0;0;false;1;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;Play_UI_item_broken;;;;;;
Risen_Regurgitator_Weapon;;Weapon;;;Weapon+EquippableMainHand;;;;;;0;0;0;1;Risen_Regurgitator_Weapon;;;false;false;;;;;;;;;;;;;false;false;false;Unused;UI_Weapon;false;false;false;false;;;;;false;false;Items/Weapons/weapon;;Risen_Regurgitator_Weapon;1;0;false;;false;;;false;;false;0;;;;;;;;;;;;;0;0;false;1;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;Play_UI_item_broken;;;;;;
CorruptionEntity_Weapon;;Weapon;;;Weapon+EquippableMouth;;;;;;0;0;0;1;CorruptionEntity_Weapon;;;false;false;;;;;;;;;;;;;false;false;false;Unused;UI_Weapon;false;false;false;false;;;;;false;false;;;Risen_Weapon;1;0;false;;false;;;false;;false;0;;;;;;;;;;;;;0;0;false;1;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;Play_UI_item_broken;;;;;;
CorruptionTendril_Weapon;;Weapon;;;Weapon+EquippableMainHand;;;;;;0;0;0;1;CorruptionTendril_Weapon;;;false;false;;;;;;;;;;;;;false;false;false;Unused;UI_Weapon;false;false;false;false;;;;;false;false;Items/Weapons/weapon;;Risen_Weapon;1;0;false;;false;;;false;;false;0;;;;;;;;;;;;;0;0;false;1;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;Play_UI_item_broken;;;;;;
