ItemID;Name;ItemType;ItemTypeDisplayName;Description;ItemClass;TradingCategory;TradingFamily;TradingGroup;BindOnPickup;BindOnEquip;GearScoreOverride;MinGearScore;MaxGearScore;Tier;ItemStatsRef;GrantsHWMBump;IgnoreNameChanges;CanHavePerks;CanReplaceGem;Perk1;Perk2;Perk3;Perk4;Perk5;PerkBucket1;PerkBucket2;PerkBucket3;PerkBucket4;PerkBucket5;ForceRarity;RequiredLevel;UseTypeAffix;UseMaterialAffix;UseMagicAffix;IconCaptureGroup;UiItemClass;RDyeSlotDisabled;GDyeSlotDisabled;BDyeSlotDisabled;ADyeSlotDisabled;ArmorAppearanceM;ArmorAppearanceF;WeaponAppearanceOverride;ConfirmDestroy;ConfirmBeforeUse;ConsumeOnUse;PrefabPath;HousingTags;IconPath;MaxStackSize;DeathDropPercentage;Nonremovable;IsMissionItem;IsUniqueItem;ContainerLevel;ContainerGS;IsSalvageable;SalvageResources;IsRepairable;RepairDustModifier;RepairRecipe;CraftingRecipe;RepairGameEventID;SalvageGameEventID;SalvageAchievement;RepairTypes;IngredientCategories;IngredientBonusPrimary;IngredientBonusSecondary;IngredientGearScoreBaseBonus;IngredientGearScoreMaxBonus;ExtraBonusItemChance;Durability;DurabilityDmgOnDeath;DestroyOnBreak;Weight;AcquisitionNotificationId;AudioPickup;AudioPlace;AudioUse;AudioCreated;AudioDestroyed;MannequinTag;SoundTableID;WarboardGatherStat;WarboardDepositStat;Notes;HideInLootTicker
QuestRewardTrainingWeaponsMelee;@QuestRewardTrainingWeaponsMelee_MasterName;Resource;@ui_itemtypedescription_resource;@RewardContainerInfo;Resource+LootContainer;;;;true;;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;false;false;;LootContainer;false;false;false;false;;;;;false;false;;;QuestRewardWeaponsT2;10000;0;false;false;;1;0;true;true;false;0;[LTID]TrainingWeaponsMelee;;;;;;;;;;;;0;0;false;5;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;;;;;;;false
QuestRewardTrainingWeaponsRanged;@QuestRewardTrainingWeaponsRanged_MasterName;Resource;@ui_itemtypedescription_resource;@RewardContainerInfo;Resource+LootContainer;;;;true;;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;false;false;;LootContainer;false;false;false;false;;;;;false;false;;;QuestRewardWeaponsT2;10000;0;false;false;;1;0;true;true;false;0;[LTID]TrainingWeaponsRanged;;;;;;;;;;;;0;0;false;5;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;;;;;;;false
QuestRewardWeaponsL1;@QuestRewardWeaponsL1_MasterName;Resource;@ui_itemtypedescription_resource;@RewardContainerInfo;Resource+LootContainer;;;;true;;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;false;false;;LootContainer;false;false;false;false;;;;;false;false;;;QuestRewardWeaponsT2;10000;0;false;false;;1;0;true;true;false;0;[LTID]WeaponCase;;;;;;;;;;;;0;0;false;5;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;;;;;;;false
QuestRewardWeaponsL2;@QuestRewardWeaponsL2_MasterName;Resource;@ui_itemtypedescription_resource;@RewardContainerInfo;Resource+LootContainer;;;;true;;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;false;false;;LootContainer;false;false;false;false;;;;;false;false;;;QuestRewardWeaponsT2;10000;0;false;false;;2;0;true;true;false;0;[LTID]WeaponCase;;;;;;;;;;;;0;0;false;5;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;;;;;;;false
QuestRewardWeaponsL3;@QuestRewardWeaponsL3_MasterName;Resource;@ui_itemtypedescription_resource;@RewardContainerInfo;Resource+LootContainer;;;;true;;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;false;false;;LootContainer;false;false;false;false;;;;;false;false;;;QuestRewardWeaponsT2;10000;0;false;false;;3;0;true;true;false;0;[LTID]WeaponCase;;;;;;;;;;;;0;0;false;5;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;;;;;;;false
QuestRewardWeaponsL4;@QuestRewardWeaponsL4_MasterName;Resource;@ui_itemtypedescription_resource;@RewardContainerInfo;Resource+LootContainer;;;;true;;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;false;false;;LootContainer;false;false;false;false;;;;;false;false;;;QuestRewardWeaponsT2;10000;0;false;false;;4;0;true;true;false;0;[LTID]WeaponCase;;;;;;;;;;;;0;0;false;5;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;;;;;;;false
QuestRewardWeaponsL5;@QuestRewardWeaponsL5_MasterName;Resource;@ui_itemtypedescription_resource;@RewardContainerInfo;Resource+LootContainer;;;;true;;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;false;false;;LootContainer;false;false;false;false;;;;;false;false;;;QuestRewardWeaponsT2;10000;0;false;false;;5;0;true;true;false;0;[LTID]WeaponCase;;;;;;;;;;;;0;0;false;5;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;;;;;;;false
QuestRewardWeaponsL6;@QuestRewardWeaponsL6_MasterName;Resource;@ui_itemtypedescription_resource;@RewardContainerInfo;Resource+LootContainer;;;;true;;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;false;false;;LootContainer;false;false;false;false;;;;;false;false;;;QuestRewardWeaponsT2;10000;0;false;false;;6;0;true;true;false;0;[LTID]WeaponCase;;;;;;;;;;;;0;0;false;5;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;;;;;;;false
QuestRewardWeaponsL7;@QuestRewardWeaponsL7_MasterName;Resource;@ui_itemtypedescription_resource;@RewardContainerInfo;Resource+LootContainer;;;;true;;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;false;false;;LootContainer;false;false;false;false;;;;;false;false;;;QuestRewardWeaponsT2;10000;0;false;false;;7;0;true;true;false;0;[LTID]WeaponCase;;;;;;;;;;;;0;0;false;5;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;;;;;;;false
QuestRewardWeaponsL8;@QuestRewardWeaponsL8_MasterName;Resource;@ui_itemtypedescription_resource;@RewardContainerInfo;Resource+LootContainer;;;;true;;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;false;false;;LootContainer;false;false;false;false;;;;;false;false;;;QuestRewardWeaponsT2;10000;0;false;false;;8;0;true;true;false;0;[LTID]WeaponCase;;;;;;;;;;;;0;0;false;5;;Play_UI_Pickup_Generic;Play_UI_Drop_Generic;Play_UI_Use_Generic;Play_UI_Created_Generic;;;;;;;false
