ItemID;Name;ItemType;ItemTypeDisplayName;Description;ItemClass;TradingCategory;TradingFamily;TradingGroup;BindOnPickup;BindOnEquip;GearScoreOverride;MinGearScore;MaxGearScore;Tier;ItemStatsRef;GrantsHWMBump;IgnoreNameChanges;CanHavePerks;CanReplaceGem;Perk1;Perk2;Perk3;Perk4;Perk5;PerkBucket1;PerkBucket2;PerkBucket3;PerkBucket4;PerkBucket5;ForceRarity;RequiredLevel;UseTypeAffix;UseMaterialAffix;UseMagicAffix;IconCaptureGroup;UiItemClass;RDyeSlotDisabled;GDyeSlotDisabled;BDyeSlotDisabled;ADyeSlotDisabled;ArmorAppearanceM;ArmorAppearanceF;WeaponAppearanceOverride;ConfirmDestroy;ConfirmBeforeUse;ConsumeOnUse;PrefabPath;HousingTags;IconPath;MaxStackSize;DeathDropPercentage;Nonremovable;IsMissionItem;IsUniqueItem;ContainerLevel;ContainerGS;IsSalvageable;SalvageResources;IsRepairable;RepairDustModifier;RepairRecipe;CraftingRecipe;RepairGameEventID;SalvageGameEventID;SalvageAchievement;RepairTypes;IngredientCategories;IngredientBonusPrimary;IngredientBonusSecondary;IngredientGearScoreBaseBonus;IngredientGearScoreMaxBonus;ExtraBonusItemChance;Durability;DurabilityDmgOnDeath;DestroyOnBreak;Weight;AcquisitionNotificationId;AudioPickup;AudioPlace;AudioUse;AudioCreated;AudioDestroyed;MannequinTag;SoundTableID;WarboardGatherStat;WarboardDepositStat;Notes;HideInLootTicker
WoodsmanHead;@WoodsmanHead_MasterName;Armor;;@WoodsmanHead_Description;EquippableHead;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;WoodsmanHead;F_WoodsmanHead;;;;;;;WoodsmanHead;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
WoodsmanChest;@WoodsmanChest_MasterName;Armor;;@WoodsmanChest_Description;EquippableChest;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;ChestLong;;false;false;false;false;WoodsmanChest;F_WoodsmanChest;;;;;;;WoodsmanChest;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
WoodsmanHands;@WoodsmanHands_MasterName;Armor;;@WoodsmanHands_Description;EquippableHands;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;true;WoodsmanHands;F_WoodsmanHands;;;;;;;WoodsmanHands;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
WoodsmanLegs;@WoodsmanLegs_MasterName;Armor;;@WoodsmanLegs_Description;EquippableLegs;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;WoodsmanLegs;F_WoodsmanLegs;;;;;;;WoodsmanLegs;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
WoodsmanFeet;@WoodsmanFeet_MasterName;Armor;;@WoodsmanFeet_Description;EquippableFeet;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;true;WoodsmanFeet;F_WoodsmanFeet;;;;;;;WoodsmanFeet;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
WoodsmanHatchet;@WoodsmanHatchet_MasterName;Weapon;;@WoodsmanHatchet_Description;EquippableMainHand+Hatchet+Melee;;;;false;false;0;0;0;0;Skin_Hatchet;;;false;false;;;;;;;;;;;;;false;false;false;ThrowingAxe;UI_Weapon;false;false;true;false;;;WoodsmanHatchet;;;;Items/Weapons/weapon;;WoodsmanHatchet;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
ThespianHead;@ThespianHead_MasterName;Armor;;@ThespianHead_Description;EquippableHead;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;TwitchArmor_Hat;F_TwitchArmor_Hat;;;;;;;TwitchArmor_Hat;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
ThespianChest;@ThespianChest_MasterName;Armor;;@ThespianChest_Description;EquippableChest;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;TwitchArmor_Shirt;F_TwitchArmor_Shirt;;;;;;;TwitchArmor_Shirt;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
ThespianHands;@ThespianHands_MasterName;Armor;;@ThespianHands_Description;EquippableHands;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;TwitchArmor_Gloves;F_TwitchArmor_Gloves;;;;;;;TwitchArmor_Gloves;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
ThespianLegs;@ThespianLegs_MasterName;Armor;;@ThespianLegs_Description;EquippableLegs;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;TwitchArmor_Pants;F_TwitchArmor_Pants;;;;;;;TwitchArmor_Pants;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
ThespianFeet;@ThespianFeet_MasterName;Armor;;@ThespianFeet_Description;EquippableFeet;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;TwitchArmor_Boots;F_TwitchArmor_Boots;;;;;;;TwitchArmor_Boots;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
VioletRage;@VioletRage_MasterName;Weapon;;@VioletRage_Description;EquippableMainHand+Sword+Melee;;;;false;false;0;0;0;0;Skin_Longsword;;;false;false;;;;;;;;;;;;;false;false;false;Longsword;UI_Weapon;false;false;true;false;;;VioletRage;;;;Items/Weapons/weapon;;VioletRage;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicFoxHead;@RunicFoxHead_MasterName;Armor;;@RunicFoxHead_Description;EquippableHead;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;m_viking_light_head;f_viking_light_head;;;;;;;m_viking_light_head;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicFoxChest;@RunicFoxChest_MasterName;Armor;;@RunicFoxChest_Description;EquippableChest;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;m_viking_light_chest;f_viking_light_chest;;;;;;;m_viking_light_chest;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicFoxHands;@RunicFoxHands_MasterName;Armor;;@RunicFoxHands_Description;EquippableHands;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;true;m_viking_light_hands;f_viking_light_hands;;;;;;;m_viking_light_hands;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicFoxLegs;@RunicFoxLegs_MasterName;Armor;;@RunicFoxLegs_Description;EquippableLegs;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;m_viking_light_legs;f_viking_light_legs;;;;;;;m_viking_light_legs;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicFoxFeet;@RunicFoxFeet_MasterName;Armor;;@RunicFoxFeet_Description;EquippableFeet;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;m_viking_light_feet;f_viking_light_feet;;;;;;;m_viking_light_feet;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicJackalHead;@RunicJackalHead_MasterName;Armor;;@RunicJackalHead_Description;EquippableHead;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;HeadHat;;false;false;false;false;m_viking_medium_head;f_viking_medium_head;;;;;;;m_viking_medium_head;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicJackalChest;@RunicJackalChest_MasterName;Armor;;@RunicJackalChest_Description;EquippableChest;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;ChestLong;;false;false;false;false;m_viking_medium_chest;f_viking_medium_chest;;;;;;;m_viking_medium_chest;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicJackalHands;@RunicJackalHands_MasterName;Armor;;@RunicJackalHands_Description;EquippableHands;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;m_viking_medium_hands;f_viking_medium_hands;;;;;;;m_viking_medium_hands;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicJackalLegs;@RunicJackalLegs_MasterName;Armor;;@RunicJackalLegs_Description;EquippableLegs;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;m_viking_medium_legs;f_viking_medium_legs;;;;;;;m_viking_medium_legs;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicJackalFeet;@RunicJackalFeet_MasterName;Armor;;@RunicJackalFeet_Description;EquippableFeet;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;true;m_viking_medium_feet;f_viking_medium_feet;;;;;;;m_viking_medium_feet;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicBearHead;@RunicBearHead_MasterName;Armor;;@RunicBearHead_Description;EquippableHead;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;m_viking_heavy_head;f_viking_heavy_head;;;;;;;m_viking_heavy_head;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicBearChest;@RunicBearChest_MasterName;Armor;;@RunicBearChest_Description;EquippableChest;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;ChestLong;;false;false;false;false;m_viking_heavy_chest;f_viking_heavy_chest;;;;;;;m_viking_heavy_chest;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicBearHands;@RunicBearHands_MasterName;Armor;;@RunicBearHands_Description;EquippableHands;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;m_viking_heavy_hands;f_viking_heavy_hands;;;;;;;m_viking_heavy_hands;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicBearLegs;@RunicBearLegs_MasterName;Armor;;@RunicBearLegs_Description;EquippableLegs;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;m_viking_heavy_legs;f_viking_heavy_legs;;;;;;;m_viking_heavy_legs;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
RunicBearFeet;@RunicBearFeet_MasterName;Armor;;@RunicBearFeet_Description;EquippableFeet;;;;false;false;0;0;0;0;GenericItemSkin;;;false;false;;;;;;;;;;;;;false;false;false;;;false;false;false;false;m_viking_heavy_feet;f_viking_heavy_feet;;;;;;;m_viking_heavy_feet;0;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
HowlatDawn;@HowlatDawn_MasterName;Weapon;;@HowlatDawn_Description;EquippableMainHand+Sword+Melee;;;;false;false;0;0;0;0;Skin_Longsword;;;false;false;;;;;;;;;;;;;false;false;false;Longsword;UI_Weapon;false;false;false;false;;;HowlatDawn;;;;Items/Weapons/weapon;;HowlatDawn;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
DragonsCoil;@DragonsCoil_MasterName;Weapon;;@DragonsCoil_Description;EquippableOffHand+Shield;;;;false;false;0;0;0;0;Skin_Shield;;;false;false;;;;;;;;;;;;;false;false;false;RoundShield;UI_Weapon;false;true;true;false;;;DragonsCoil;;;;Items/Weapons/weapon;;DragonsCoil;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
TwinWolves;@TwinWolves_MasterName;Weapon;;@TwinWolves_Description;EquippableTwoHand+2HHammer+Melee;;;;false;false;0;0;0;0;Skin_WarHammer;;;false;false;;;;;;;;;;;;;false;false;false;WarHammer;UI_Weapon;false;false;false;false;;;TwinWolves;;;;Items/Weapons/weapon;;TwinWolves;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
CrescentFang;@CrescentFang_MasterName;Weapon;;@CrescentFang_Description;EquippableMainHand+Hatchet+Melee;;;;false;false;0;0;0;0;Skin_Hatchet;;;false;false;;;;;;;;;;;;;false;false;false;ThrowingAxe;UI_Weapon;false;true;true;false;;;CrescentFang;;;;Items/Weapons/weapon;;CrescentFang;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
Gallantry;@Gallantry_MasterName;Weapon;;@Gallantry_Description;EquippableMainHand+Sword+Melee;;;;false;false;0;0;0;0;Skin_Longsword;;;false;false;;;;;;;;;;;;;false;false;false;Longsword;UI_Weapon;false;false;false;false;;;Gallantry;;;;Items/Weapons/weapon;;Gallantry;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
Crestoftheallsight;@Crestoftheallsight_MasterName;Weapon;;@Crestoftheallsight_Description;EquippableOffHand+Shield;;;;false;false;0;0;0;0;Skin_Shield;;;false;false;;;;;;;;;;;;;false;false;false;KiteShield;UI_Weapon;false;false;false;false;;;Crestoftheallsight;;;;Items/Weapons/weapon;;Crestoftheallsight;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
GoldenColt;@GoldenColt_MasterName;Weapon;;@GoldenColt_Description;EquippableMainHand+FireStaff+Magic;;;;false;false;0;0;0;0;Skin_FireStaff;;;false;false;;;;;;;;;;;;;false;false;false;StaffFire;UI_Weapon;false;false;false;false;;;GoldenColt;;;;Items/Weapons/weapon;;GoldenColt;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
WickedTyrant;@WickedTyrant_MasterName;Weapon;;@WickedTyrant_Description;EquippableTwoHand+2HAxe+Melee;;;;false;false;0;0;0;0;Skin_GreatAxe;;;false;false;;;;;;;;;;;;;false;false;false;GreatAxe;UI_Weapon;false;false;false;false;;;WickedTyrant;;;;Items/Weapons/weapon;;WickedTyrant;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
MonarchsMight;@MonarchsMight_MasterName;Weapon;;@MonarchsMight_Description;EquippableTwoHand+2HHammer+Melee;;;;false;false;0;0;0;0;Skin_WarHammer;;;false;false;;;;;;;;;;;;;false;false;false;WarHammer;UI_Weapon;false;false;false;false;;;MonarchsMight;;;;Items/Weapons/weapon;;MonarchsMight;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
Skin_Bow_RoyalCourt;@Skin_Bow_RoyalCourt_MasterName;Weapon;;@Skin_Bow_RoyalCourt_Description;EquippableTwoHand+Bow+Ranged;;;;false;false;0;0;0;0;Skin_Bow;;;false;false;;;;;;;;;;;;;false;false;false;Bow;UI_Weapon;false;false;false;false;;;2hBowRoyalcourtT5;;;;Items/Weapons/weapon;;2hBowRoyalcourtT5;1;0;;;;;;false;;false;0;;;;;;;;;;;;;0;0;false;0;;;;;;;;;;;;
