ItemSkinID;IndexID;IsEntitlement;FromItemIDs;NeedsOneClasses;RequiredClasses;ExcludedClasses;ToItemID;Outfit;IsEnabled
testWeapon;0;0;;;;;;;false
testArmor;1;0;;;;;;;false
testArmor2;2;0;;;;;;;false
testWeapon2;3;0;;;;;;;false
itemSkin1;4;0;;;;;;;false
itemSkin2;5;0;;;;;;;false
CoolShirt;6;0;;;;;;;false
RunicJackalHead;29;1;;EquippableHead;;;RunicJackalHead;RunicJackal;true
RunicJackalChest;30;1;;EquippableChest;;;RunicJackalChest;RunicJackal;true
RunicJackalHands;31;1;;EquippableHands;;;RunicJackalHands;RunicJackal;true
RunicJackalLegs;32;1;;EquippableLegs;;;RunicJackalLegs;RunicJackal;true
RunicJackalFeet;33;1;;EquippableFeet;;;RunicJackalFeet;RunicJackal;true
CrescentFang;42;1;;EquippableMainHand;Hatchet;;CrescentFang;;true
Skin_AnglesDemon_WarHammer;89;1;;EquippableTwoHand;2HHammer;;Skin_AnglesDemon_WarHammer;;true
Skin_MediumHead_Angel;99;1;;EquippableHead;;;Skin_MediumHead_Angel;MediumAngel;true
Skin_MediumChest_Angel;100;1;;EquippableChest;;;Skin_MediumChest_Angel;MediumAngel;true
Skin_MediumHands_Angel;101;1;;EquippableHands;;;Skin_MediumHands_Angel;MediumAngel;true
Skin_MediumLegs_Angel;102;1;;EquippableLegs;;;Skin_MediumLegs_Angel;MediumAngel;true
Skin_MediumFeet_Angel;103;1;;EquippableFeet;;;Skin_MediumFeet_Angel;MediumAngel;true
Skin_Head_HideHelmet;139;0;;EquippableHead;;;Skin_Head_HideHelmet;;true
