MetaAchievementId;ReadyForSteam;SteamApiName;Type;Predecessor MetaAchievementIds;ProgressId;ProgressIdParent;UIDisplayCategory;Title;Description;Hidden Text;Notification Verbosity;Tier;Icon;Entitlement Id;AchievePoints;Total;VitalsCategories;Categorical Progression;LorePagesTopicIds;TradeskillType;ItemClass;TrueFalse;QuestGroupTag;GameEventType;TerritoryId;IsPvp;InGroup;FactionType;MissionGoalType;GameModeId;GameModeResult;AttributeType;AchievementsID;AchievementCategory
PvE_FamilyKills_Corrupted1;false;;CategoryKills;;PvE_FamilyKills_Corrupted;;Enemies_By_Type;@ui_metachievement_pve_familykills_corrupted_title1;@ui_metachievement_pve_familykills_corrupted_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_i;Icons\Achievements\PvE_FamilyKills_Corrupted1;;0;250;Corrupted;;;;;false;;;0;NO;ANY;;;;;;;
PvE_FamilyKills_Corrupted2;false;;CategoryKills;;;PvE_FamilyKills_Corrupted;Enemies_By_Type;@ui_metachievement_pve_familykills_corrupted_title2;@ui_metachievement_pve_familykills_corrupted_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_ii;Icons\Achievements\PvE_FamilyKills_Corrupted1;;0;1000;Corrupted;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_Corrupted3;false;;CategoryKills;;;PvE_FamilyKills_Corrupted;Enemies_By_Type;@ui_metachievement_pve_familykills_corrupted_title3;@ui_metachievement_pve_familykills_corrupted_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_iii;Icons\Achievements\PvE_FamilyKills_Corrupted1;;0;2000;Corrupted;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_Corrupted4;false;;CategoryKills;;;PvE_FamilyKills_Corrupted;Enemies_By_Type;@ui_metachievement_pve_familykills_corrupted_title4;@ui_metachievement_pve_familykills_corrupted_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_iv;Icons\Achievements\PvE_FamilyKills_Corrupted1;;0;4000;Corrupted;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_Corrupted5;false;META_PVE_FAMILYKILL_CORRUPT5;CategoryKills;;;PvE_FamilyKills_Corrupted;Enemies_By_Type;@ui_metachievement_pve_familykills_corrupted_title5;@ui_metachievement_pve_familykills_corrupted_generic_desc;;SeventyFiveOneHundred;@ui_meta_achievements_roman_numeral_v;Icons\Achievements\PvE_FamilyKills_Corrupted1;;0;8000;Corrupted;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_Lost1;false;;CategoryKills;;PvE_FamilyKills_Lost;;Enemies_By_Type;@ui_metachievement_pve_familykills_lost_title1;@ui_metachievement_pve_familykills_lost_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_i;Icons\Achievements\PvE_FamilyKills_Lost1;;0;250;Lost;;;;;false;;;0;NO;ANY;;;;;;;
PvE_FamilyKills_Lost2;false;;CategoryKills;;;PvE_FamilyKills_Lost;Enemies_By_Type;@ui_metachievement_pve_familykills_lost_title2;@ui_metachievement_pve_familykills_lost_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_ii;Icons\Achievements\PvE_FamilyKills_Lost1;;0;1000;Lost;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_Lost3;false;;CategoryKills;;;PvE_FamilyKills_Lost;Enemies_By_Type;@ui_metachievement_pve_familykills_lost_title3;@ui_metachievement_pve_familykills_lost_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_iii;Icons\Achievements\PvE_FamilyKills_Lost1;;0;2000;Lost;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_Lost4;false;;CategoryKills;;;PvE_FamilyKills_Lost;Enemies_By_Type;@ui_metachievement_pve_familykills_lost_title4;@ui_metachievement_pve_familykills_lost_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_iv;Icons\Achievements\PvE_FamilyKills_Lost1;;0;4000;Lost;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_Lost5;false;META_PVE_FAMILYKILL_LOST5;CategoryKills;;;PvE_FamilyKills_Lost;Enemies_By_Type;@ui_metachievement_pve_familykills_lost_title5;@ui_metachievement_pve_familykills_lost_generic_desc;;SeventyFiveOneHundred;@ui_meta_achievements_roman_numeral_v;Icons\Achievements\PvE_FamilyKills_Lost1;;0;8000;Lost;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_AngryEarth1;false;;CategoryKills;;PvE_FamilyKills_AngryEarth;;Enemies_By_Type;@ui_metachievement_pve_familykills_earth_title1;@ui_metachievement_pve_familykills_earth_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_i;Icons\Achievements\PvE_FamilyKills_AngryEarth1;;0;250;AngryEarth;;;;;false;;;0;NO;ANY;;;;;;;
PvE_FamilyKills_AngryEarth2;false;;CategoryKills;;;PvE_FamilyKills_AngryEarth;Enemies_By_Type;@ui_metachievement_pve_familykills_earth_title2;@ui_metachievement_pve_familykills_earth_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_ii;Icons\Achievements\PvE_FamilyKills_AngryEarth1;;0;1000;AngryEarth;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_AngryEarth3;false;;CategoryKills;;;PvE_FamilyKills_AngryEarth;Enemies_By_Type;@ui_metachievement_pve_familykills_earth_title3;@ui_metachievement_pve_familykills_earth_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_iii;Icons\Achievements\PvE_FamilyKills_AngryEarth1;;0;2000;AngryEarth;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_AngryEarth4;false;;CategoryKills;;;PvE_FamilyKills_AngryEarth;Enemies_By_Type;@ui_metachievement_pve_familykills_earth_title4;@ui_metachievement_pve_familykills_earth_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_iv;Icons\Achievements\PvE_FamilyKills_AngryEarth1;;0;4000;AngryEarth;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_AngryEarth5;false;META_PVE_FAMILYKILL_EARTH5;CategoryKills;;;PvE_FamilyKills_AngryEarth;Enemies_By_Type;@ui_metachievement_pve_familykills_earth_title5;@ui_metachievement_pve_familykills_earth_generic_desc;;SeventyFiveOneHundred;@ui_meta_achievements_roman_numeral_v;Icons\Achievements\PvE_FamilyKills_AngryEarth1;;0;8000;AngryEarth;;;;;false;;;0;;;;;;;;;
PvE_FamilyKills_Ancients1;false;;CategoryKills;;PvE_FamilyKills_Ancients;;Enemies_By_Type;@ui_metachievement_pve_familykills_ancients_title1;@ui_metachievement_pve_familykills_ancients_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_i;Icons\Achievements\PvE_FamilyKills_Ancients1;;0;250;Ancient;;;;;false;;;0;NO;ANY;;;;;;;
PvE_FamilyKills_Ancients2;false;;CategoryKills;;;PvE_FamilyKills_Ancients;Enemies_By_Type;@ui_metachievement_pve_familykills_ancients_title2;@ui_metachievement_pve_familykills_ancients_generic_desc;;OneHundred;@ui_meta_achievements_roman_numeral_ii;Icons\Achievements\PvE_FamilyKills_Ancients1;;0;1000;Ancient;;;;;false;;;0;;;;;;;;;
