MissionID;MissionTier;ObjectiveID;IsCustomObjective;CategoricalProgressionId;IsPvpMission;AvailableTerritoryId;RequiredFaction;RequiredFortControlStatus;ReturnToGiverOverride;IsSettlementValidDestination;IsOutpostValidDestination;TaskKillContributionOverride;TaskKillContributionQtyOverride;TerritoryIDOverride;POITagOverride;TaskGiveAndTakeItemOverride;TaskHaveAndReturnItemsOverride;TaskHaveAndReturnItemsQtyOverride;TaskHaveAndReturnItemsDropProbabilityOverride;TaskHaveAndReturnChestDropProbabilityOverride;TaskHaveAndReturnItemsItemsDropVCOverride;LootTagOverride;PauseAndClearLootOnTaskCompleteOverride;TurninDistance;TaskTimerOverride;SuccessGameEventIdOverride;FailureGameEventIdOverride;TitleOverride;DescriptionOverride;ImagePath;MissionGoalType;ProviderDistanceLimit;MinLevel;MaxLevel;RequiredTradeskill;TradeskillLevel;Enabled;DevName;VCLevelRange;RecommendedGroupSize;PatrolDuration;PatrolPoi1;PatrolPoi2;PatrolPoi3;PatrolPoi4;GrantRewardsToOriginTerritory;ReleaseVersionOverride;ReleaseEventTagsOverride;OverrideLocation
Kill_3_Withered_devworld_farm;1;M_killx_location;false;;false;74;;0;true;false;false;Withered;3;0;devworld_farm;;;0;0;0;;;false;;0;FactionMission_Success_R1_Md;FactionMission_Failure;@M_killx_location_title;@M_killx_location_desc;LyShineUI\Images\MissionImages\missionImage_withered1.png;Kill;990;0;60;;0;0;DevWorld_Farm;1-60;0;0;;;;;false;;;
Kill_3_Wolf_devworld_cave;1;M_killx_location;false;;false;75;;0;true;false;false;Wolf;3;0;devworld_cave;;;0;0;0;;;false;;0;FactionMission_Success_R1_Md;FactionMission_Failure;@M_killx_location_title;@M_killx_location_desc;LyShineUI\Images\MissionImages\missionImage_wolf.png;Kill;990;0;60;;0;0;DevWorld_Cave;1-60;0;0;;;;;false;;;
PVP_Patrol_DevWorld_Farm;1;PVP_patrol_mission;false;;true;74;;0;true;false;false;;0;0;;;;0;0;0;;;false;;0;PVPMission_Success_R2_Lg;PVPMission_Failure;@objective_mission_task_patrol_windsward;;LyShineUI\Images\MissionImages\missionType_kill.png;Explore;1500;;0;;0;0;DevWorld_PVP_Patrol;;0;15;DevWorld_Farm;;;;false;;;
PVP_Retrieve_DevWorld_Farm;1;PVP_fetch_location;false;;true;74;;0;true;false;false;;0;0;devworld_farm;;PVP_TimberBundle_1;1;0;100;;;true;;0;PVPMission_Success_R2_Md;PVPMission_Failure;@M_fetch_title;@M_fetch_desc;LyShineUI\Images\MissionImages\missionType_kill.png;Explore;1500;;0;;0;0;DevWorld_PVP_Fetch;;0;0;;;;;false;;;
PVP_delivery_DevWorld_Blue;1;PVP_delivery;false;;true;74;;0;false;true;false;;0;0;;PVP_TimberBundle_1;PVP_TimberBundle_1;1;0;0;;;false;;7200;PVPMission_Success_R4_Lg;PVPMission_Failure;@owg_title_merchantt1;@owg_desc_merchantt1;LyShineUI\Images\MissionImages\missionType_creative.png;Courier;0;;0;;0;0;;;0;0;;;;;true;;;
PVP_Patrol_DevWorld_Cave;1;PVP_patrol_mission;false;;true;75;;0;true;false;false;;0;0;;;;0;0;0;;;false;;0;PVPMission_Success_R2_Lg;PVPMission_Failure;@objective_mission_task_patrol_windsward;;LyShineUI\Images\MissionImages\missionType_kill.png;Explore;1500;;0;;0;0;DevWorld_PVP_Patrol;;0;15;DevWorld_Cave;;;;false;;;
PVP_Retrieve_DevWorld_Cave;1;PVP_fetch_location;false;;true;75;;0;true;false;false;;0;0;devworld_cave;;PVP_TimberBundle_1;1;0;100;;;true;;0;PVPMission_Success_R2_Md;PVPMission_Failure;@M_fetch_title;@M_fetch_desc;LyShineUI\Images\MissionImages\missionType_kill.png;Explore;1500;;0;;0;0;DevWorld_PVP_Fetch;;0;0;;;;;false;;;
PVP_delivery_DevWorld_Red;1;PVP_delivery;false;;true;75;;0;false;true;false;;0;0;;PVP_TimberBundle_1;PVP_TimberBundle_1;1;0;0;;;false;;7200;PVPMission_Success_R4_Lg;PVPMission_Failure;@owg_title_merchantt1;@owg_desc_merchantt1;LyShineUI\Images\MissionImages\missionType_creative.png;Courier;0;;0;;0;0;;;0;0;;;;;true;;;
Multiobjective_Test_Devworld_1;1;74_Basic_Mission_1;true;;false;74;;0;true;false;false;;0;0;devworld_farm;;;0;0;0;;;true;;0;FactionMission_Success_R1_Sm;FactionMission_Failure;This Is The Title;This Is The Description;LyShineUI\Images\MissionImages\missionType_kill.png;Explore;1500;0;60;;0;0;;1-60;0;0;;;;;false;;;
FM_Raid_0201;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Haunted;5;0;abandoned_village_40254;;;0;0;0;;;true;;0;FactionV2_27;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;24;31;;0;1;;27;0;0;;;;;false;;;
FM_Raid_0202;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Haunted;6;0;abandoned_village_40328;;;0;0;0;;;true;;0;FactionV2_28;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;25;32;;0;1;;28;0;0;;;;;false;;;
FM_Raid_0203;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Nightmare;8;0;abandoned_village_40310;;;0;0;0;;;true;;0;FactionV2_28;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;26;32;;0;1;;28;0;0;;;;;false;;;
FM_Raid_0204;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Haunted;6;0;abandoned_village_40256;;;0;0;0;;;true;;0;FactionV2_27;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;24;31;;0;1;;27;0;0;;;;;false;;;
FM_Raid_0205;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Pirate;7;0;abandoned_village_40260;;;0;0;0;;;true;;0;FactionV2_28;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_undead1.png;Raid;0;26;32;;0;1;;28;0;0;;;;;false;;;
FM_Raid_0206;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Corrupted;8;0;lumbermill_40202;;;0;0;0;;;true;;0;FactionV2_29;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_corrupted2.png;Raid;0;27;33;;0;1;;29;0;0;;;;;false;;;
FM_Raid_0207;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Anguished;8;0;abandoned_village_40257;;;0;0;0;;;true;;0;FactionV2_27;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;24;31;;0;1;;27;0;0;;;;;false;;;
FM_Raid_0208;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Anointed;8;0;abandoned_village_40261;;;0;0;0;;;true;;0;FactionV2_28;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;26;32;;0;1;;28;0;0;;;;;false;;;
FM_Raid_0209;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Anointed;6;0;abandoned_village_40262;;;0;0;0;;;true;;0;FactionV2_32;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;30;36;;0;1;;32;0;0;;;;;false;;;
FM_Raid_0210;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Anointed;6;0;abandoned_village_40263;;;0;0;0;;;true;;0;FactionV2_33;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;31;37;;0;1;;33;0;0;;;;;false;;;
FM_Raid_0211;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Anointed;4;0;abandoned_village_40264;;;0;0;0;;;true;;0;FactionV2_33;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;31;37;;0;1;;33;0;0;;;;;false;;;
FM_Raid_0212;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Undead_GraveDigger_Named_02;1;0;graveyard_40327;;;0;0;0;;;true;;0;FactionV2_34;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;32;60;;0;1;;34;0;0;;;;;false;;;
FM_Raid_0213;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Haunted;3;0;abandoned_village_40258;;;0;0;0;;;true;;0;FactionV2_27;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;25;31;;0;1;;27;0;0;;;;;false;;;
FM_Raid_0215;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Mindstruck;8;0;abandoned_village_40249;;;0;0;0;;;true;;0;FactionV2_34;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;32;60;;0;1;;34;0;0;;;;;false;;;
FM_Raid_0216;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Mindstruck;8;0;abandoned_farm_village_40251;;;0;0;0;;;true;;0;FactionV2_34;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;32;60;;0;1;;34;0;0;;;;;false;;;
FM_Raid_0217;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Haunted;5;0;abandoned_village_40250;;;0;0;0;;;true;;0;FactionV2_34;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;32;60;;0;1;;34;0;0;;;;;false;;;
FM_Raid_0218;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Mindstruck;5;0;abandoned_village_40252;;;0;0;0;;;true;;0;FactionV2_34;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;32;60;;0;1;;34;0;0;;;;;false;;;
FM_Raid_0219;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Bronzeroot;8;0;cave_40229;;;0;0;0;;;true;;0;FactionV2_32;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_angryEarth2.png;Raid;0;30;36;;0;1;;32;0;0;;;;;false;;;
FM_Raid_0220;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Bronzeroot;5;0;cave_40248;;;0;0;0;;;true;;0;FactionV2_32;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_angryEarth2.png;Raid;0;30;36;;0;1;;32;0;0;;;;;false;;;
FM_Raid_0221;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Bronzeroot;8;0;green_defile_40268;;;0;0;0;;;true;;0;FactionV2_32;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_angryEarth2.png;Raid;0;30;36;;0;1;;32;0;0;;;;;false;;;
FM_Raid_0222;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Corrupted;8;0;corrupted_camp_40335;;;0;0;0;;;true;;0;FactionV2_32;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_corrupted2.png;Raid;0;30;36;;0;1;;32;0;0;;;;;false;;;
FM_Raid_0223;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Corrupted;8;0;mine_40306;;;0;0;0;;;true;;0;FactionV2_33;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_corrupted2.png;Raid;0;31;37;;0;1;;33;0;0;;;;;false;;;
FM_Raid_0224;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Corrupted;8;0;corrupted_camp_40336;;;0;0;0;;;true;;0;FactionV2_33;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_corrupted2.png;Raid;0;31;37;;0;1;;33;0;0;;;;;false;;;
FM_Raid_0225;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Haunted;8;0;abandoned_farm_village_40255;;;0;0;0;;;true;;0;FactionV2_34;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;32;60;;0;1;;34;0;0;;;;;false;;;
FM_Raid_0226;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Haunted;5;0;abandoned_village_40210;;;0;0;0;;;true;;0;FactionV2_34;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;32;60;;0;1;;34;0;0;;;;;false;;;
FM_Raid_0227;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;Haunted;8;0;abandoned_village_40253;;;0;0;0;;;true;;0;FactionV2_28;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_wraith1.png;Raid;0;26;32;;0;1;;28;0;0;;;;;false;;;
FM_Raid_0228;1;FM_killx_location;false;;false;2;Marauder;0;true;false;false;AngryEarth;6;0;ancient_ruins_40214;;;0;0;0;;;true;;0;FactionV2_31;FactionMission_Failure;@FactionMission_RAID_title;@FactionMission_RAID_desc;LyShineUI\Images\MissionImages\missionImage_angryEarth2.png;Raid;0;29;35;;0;1;;31;0;0;;;;;false;;;
