Level;Potions;Coatings;Enchantments;Weapons;Armors;Guns;Bows;Clothing;Trinkets;Meals;Drinks;RollBonus
0;120;120;120;120;120;120;120;120;120;120;120;0
1;144;144;144;144;144;144;144;144;144;144;144;0.5
2;172.8000030517578;172.8000030517578;172.8000030517578;172.8000030517578;172.8000030517578;172.8000030517578;172.8000030517578;172.8000030517578;172.8000030517578;172.8000030517578;172.8000030517578;1
3;207.36000061035156;207.36000061035156;207.36000061035156;207.36000061035156;207.36000061035156;207.36000061035156;207.36000061035156;207.36000061035156;207.36000061035156;207.36000061035156;207.36000061035156;1.5
4;248.83200073242188;248.83200073242188;248.83200073242188;248.83200073242188;248.83200073242188;248.83200073242188;248.83200073242188;248.83200073242188;248.83200073242188;248.83200073242188;248.83200073242188;2
5;298.598388671875;298.598388671875;298.598388671875;298.598388671875;298.598388671875;298.598388671875;298.598388671875;298.598388671875;298.598388671875;298.598388671875;298.598388671875;2.5
6;358.3180847167969;358.3180847167969;358.3180847167969;358.3180847167969;358.3180847167969;358.3180847167969;358.3180847167969;358.3180847167969;358.3180847167969;358.3180847167969;358.3180847167969;3
7;429.981689453125;429.981689453125;429.981689453125;429.981689453125;429.981689453125;429.981689453125;429.981689453125;429.981689453125;429.981689453125;429.981689453125;429.981689453125;3.5
8;515.97802734375;515.97802734375;515.97802734375;515.97802734375;515.97802734375;515.97802734375;515.97802734375;515.97802734375;515.97802734375;515.97802734375;515.97802734375;4
9;619.1736450195312;619.1736450195312;619.1736450195312;619.1736450195312;619.1736450195312;619.1736450195312;619.1736450195312;619.1736450195312;619.1736450195312;619.1736450195312;619.1736450195312;4.5
10;743.0083618164062;743.0083618164062;743.0083618164062;743.0083618164062;743.0083618164062;743.0083618164062;743.0083618164062;743.0083618164062;743.0083618164062;743.0083618164062;743.0083618164062;5
11;891.6100463867188;891.6100463867188;891.6100463867188;891.6100463867188;891.6100463867188;891.6100463867188;891.6100463867188;891.6100463867188;891.6100463867188;891.6100463867188;891.6100463867188;5.5
12;1069.9320068359375;1069.9320068359375;1069.9320068359375;1069.9320068359375;1069.9320068359375;1069.9320068359375;1069.9320068359375;1069.9320068359375;1069.9320068359375;1069.9320068359375;1069.9320068359375;6
13;1283.91845703125;1283.91845703125;1283.91845703125;1283.91845703125;1283.91845703125;1283.91845703125;1283.91845703125;1283.91845703125;1283.91845703125;1283.91845703125;1283.91845703125;6.5
14;1540.7021484375;1540.7021484375;1540.7021484375;1540.7021484375;1540.7021484375;1540.7021484375;1540.7021484375;1540.7021484375;1540.7021484375;1540.7021484375;1540.7021484375;7
15;1848.842529296875;1848.842529296875;1848.842529296875;1848.842529296875;1848.842529296875;1848.842529296875;1848.842529296875;1848.842529296875;1848.842529296875;1848.842529296875;1848.842529296875;7.5
16;2218.611083984375;2218.611083984375;2218.611083984375;2218.611083984375;2218.611083984375;2218.611083984375;2218.611083984375;2218.611083984375;2218.611083984375;2218.611083984375;2218.611083984375;8
17;2662.333251953125;2662.333251953125;2662.333251953125;2662.333251953125;2662.333251953125;2662.333251953125;2662.333251953125;2662.333251953125;2662.333251953125;2662.333251953125;2662.333251953125;8.5
18;3194.800048828125;3194.800048828125;3194.800048828125;3194.800048828125;3194.800048828125;3194.800048828125;3194.800048828125;3194.800048828125;3194.800048828125;3194.800048828125;3194.800048828125;9
19;3833.760009765625;3833.760009765625;3833.760009765625;3833.760009765625;3833.760009765625;3833.760009765625;3833.760009765625;3833.760009765625;3833.760009765625;3833.760009765625;3833.760009765625;9.5
20;4600.51220703125;4600.51220703125;4600.51220703125;4600.51220703125;4600.51220703125;4600.51220703125;4600.51220703125;4600.51220703125;4600.51220703125;4600.51220703125;4600.51220703125;10
21;5520.6142578125;5520.6142578125;5520.6142578125;5520.6142578125;5520.6142578125;5520.6142578125;5520.6142578125;5520.6142578125;5520.6142578125;5520.6142578125;5520.6142578125;10.5
22;6624.7373046875;6624.7373046875;6624.7373046875;6624.7373046875;6624.7373046875;6624.7373046875;6624.7373046875;6624.7373046875;6624.7373046875;6624.7373046875;6624.7373046875;11
23;7949.6845703125;7949.6845703125;7949.6845703125;7949.6845703125;7949.6845703125;7949.6845703125;7949.6845703125;7949.6845703125;7949.6845703125;7949.6845703125;7949.6845703125;11.5
24;9539.6220703125;9539.6220703125;9539.6220703125;9539.6220703125;9539.6220703125;9539.6220703125;9539.6220703125;9539.6220703125;9539.6220703125;9539.6220703125;9539.6220703125;12
25;11447.5458984375;11447.5458984375;11447.5458984375;11447.5458984375;11447.5458984375;11447.5458984375;11447.5458984375;11447.5458984375;11447.5458984375;11447.5458984375;11447.5458984375;12.5
