SpellID;StatusEffects;StatusEffectDurations;Revive;Siphon;AttachToOwner;StickWhenAttached;StoreOffsetWhenStuckToGDE;SpawnSecondaryOnElapsed;SpawnSecondaryOnCollision;EndOnCasterDeath;IgnoreTargetIfAtDeathsDoor;IgnoreTargetIfDead;UseCameraTargetLock;TrackNumInVolume;ClearOnExit;ClearOnEnd;ManaCost;UseStatusEffectDuration;Duration;DurationScaling;Height;Length;Radius;InnerRadius;RadiusScaling;MaxRadiusScaling;CastDistance;CastHeight;CastRadius;ConeAngle;ConeWidth;ChannelTime;ChainDelayDuration;MaxChainNum;UseChainCasterPaperdoll;NumToSpawn;NumToSpawnBeforeFail;SpawnRate;SpawnAngle;SecondarySpellProjectileLaunchAngles;ScaleWithCharacterBoundingBox;ScaleWithDynamicScale;TargetTypes;SpellTypes;CastingTypes;HitAiTarget;OverrideTargetForAiThreat;ShapeTypes;DamageType;CheckObstructions;IgnoreOverheadCollision;IgnoreStructures;IgnoreSelf;RangedAttackProfile;RangedAttackName;FireJointName;ProjPosOffsetX;ProjPosOffsetY;ProjPosOffsetZ;ProjRotOffsetX;ProjRotOffsetY;ProjRotOffsetZ;CharRelPosOffsetX;CharRelPosOffsetY;CharRelPosOffsetZ;CharRelRotOffsetX;CharRelRotOffsetY;CharRelRotOffsetZ;ProjRaycastOrientation;DamageTable;DamageTableRow;AbilityId;TargetAbilityCondition;BeamEffect;IndicatorVFX;SpellPrefabPath;SecondaryPrefabPath;SecondarySpellID;TertiaryPrefabPath;TertiarySpellID
Elemental_Fire_AoE;Elemental_Fire_AoE;;;;false;false;false;;false;false;;;;;true;true;Elemental_Fire_AoE;false;1000;;5;;3;;;;30;5;0;;;1;;;;;;0;0;;;;Enemy;Elemental;AoE;;;;Fire;false;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_aoe_fire;;;;
Elemental_Fire_Projectile;;;;;false;false;false;;false;false;;;;;false;true;FireStaff_Primary;false;-1;;0;;0;;;;10;0;0;;;0;;;;;;0;0;;;;Enemy;Ability;Projectile;;;;Fire;false;true;false;false;FireBall;Basic;;;;;;;;;;;;;;;DamageTable;Firestaff_PrimaryAttackC1;;;;;Items/Weapons/spell_proj_fire;;;;
Elemental_Fire_Projectile_Charged;;;;;false;false;false;;false;false;;;;;false;true;FireStaff_Heavy;false;-1;;0;;0;;;;5;0;0;;;0;;;;;;0;0;;;;Enemy;Ability;Projectile;;;;Fire;false;true;false;false;FireBall;Charged;;;;;;;;;;;;;;;DamageTable;Firestaff_PrimaryAttackC2;;;;;items/Weapons/spell_proj_Fire_Charged;;;;
Elemental_Fire_Projectile_Charged_Range_Upgrade;;;;;false;false;false;;false;false;;;;;false;true;FireStaff_Heavy;false;-1;;0;;0;;;;10;0;0;;;0;;;;;;0;0;;;;Enemy;Ability;Projectile;;;;Fire;false;true;false;false;FireBall;Charged_Range;;;;;;;;;;;;;;;DamageTable;Firestaff_PrimaryAttackC2;;;;;items/Weapons/spell_proj_Fire_Charged_Range;;;;
Elemental_Fire_Projectile_Charged_Speed_Upgrade;;;;;false;false;false;;false;false;;;;;false;true;FireStaff_Heavy;false;-1;;0;;0;;;;10;0;0;;;0;;;;;;0;0;;;;Enemy;Ability;Projectile;;;;Fire;false;true;false;false;FireBall;Charged_Speed;;;;;;;;;;;;;;;DamageTable;Firestaff_PrimaryAttackC3;;;;;items/Weapons/spell_proj_Fire_Charged_Speed;;;;
Elemental_Fire_AoE_Channel;Elemental_Fire_AoE_Staff;;;;false;false;false;;false;false;;;;;true;true;Elemental_Fire_AoE_Staff;false;6000;;5;;3;;;;30;5;0;;;6;;;;;;0;0;;;;Enemy;Elemental;AoE;;;;Fire;false;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_aoe_fire;;;;
Elemental_Fire_Combustion_AOE;;;;;false;false;false;;false;false;;;;;true;true;Elemental_Fire_AoE;false;1000;;2;;2;;;;0;0;0;;;0;;;;;;0;0;;;;Enemy;Elemental;AoE;;;;Fire;false;true;false;false;;;;;;;;;;;;;;;;;DamageTable;MagicGauntlet_Combustion_AOE;;;;;;;;;
Elemental_Fire_Projectile_Special;;;;;false;false;false;;false;false;;;;;false;true;Elemental_Fire_Projectile_Special;false;-1;;0;;0;;;;10;0;0;;;0;;;;;;0;0;;;;Enemy;Elemental;Projectile;;;;Fire;false;true;false;false;FireBall;Basic;;;;;;;;;;;;;;;DamageTable;MagicGauntlet_FireProjectile;;;;;Items/Weapons/spell_proj_fire;;;;
Elemental_Fire_Meteor;;;;;false;false;false;;false;false;;;;;false;true;Elemental_Fire_AoE_Staff;false;6000;;20;;8;;;;30;20;15;;;6;;;;;;150;60;;;;Enemy;Ability;Meteor;;;;Fire;false;true;false;false;Meteor;Basic;;;;;;;;;;;;;;;DamageTable;MagicGauntlet_FireProjectile;;;;;Items/Weapons/spell_meteor_spawn;Items/Weapons/spell_Meteor_Explosion;;;
Elemental_Fire_Grenade;;;;;false;false;false;;false;false;;;;;false;true;Elemental_Fire_Grenade;false;-1;;0;;1;;;;10;0;0;;;0;;;;;;0;0;;;;Enemy;Elemental;Projectile;;;;Fire;false;true;false;false;FireBall;FireGrenade;;;;;;;;;;;;;;;DamageTable;MagicGauntlet_FireProjectile;;;;;Items/Weapons/spell_FireGrenade_Projectile;;;;
Elemental_Fire_Staff_Heavy;;;;;false;false;false;;false;false;;;;;true;true;Elemental_Fire_Staff_Heavy;false;13000;;5;;3;;;;20;5;3;;;0;;;;;;0;0;;;;Enemy;Ability;AoE;;;;Fire;false;true;false;false;;;;;;;;;;;;;;;;;DamageTable;Firestaff_Heavy;;;;;Items/Weapons/spell_fire_staff_heavy;;;;
Elemental_Fire_Gauntlet_Special;;;;;false;false;false;;false;false;;;;;false;true;Elemental_Fire_Combustion;false;1000;;3;;1.75;;;;0;1.5;0;;;0;;;;;;0;0;;;;Enemy;Ability;AoE;;;;Fire;false;true;false;false;;;;;;;;;;;;;;;;;DamageTable;MagicGauntlet_Combustion_AOE;;;;;Items/Weapons/spell_fire_gauntlet_special;;;;
Elemental_Fire_Gauntlet_Special_Charged;;;;;false;false;false;;false;false;;;;;false;true;Elemental_Fire_Combustion;false;1000;;3;;4;;;;0;1.5;0;;;0;;;;;;0;0;;;;Enemy;Ability;AoE;;;;Fire;false;true;false;false;;;;;;;;;;;;;;;;;DamageTable;MagicGauntlet_Combustion_AOE;;;;;Items/Weapons/spell_fire_gauntlet_special;;;;
Elemental_CC_Slow;Elemental_CC_Slow;;;;false;false;false;;false;false;;;;;true;true;Elemental_CC_Slow;false;6000;;5;;3;;;;30;5;0;;;0;;;;;;0;0;;;;Enemy;Elemental;AoE;;;;;false;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_aoe_fire;;;;
Elemental_CC_Silenced;Elemental_CC_Silenced;;;;false;false;false;;false;false;;;;;true;true;Elemental_CC_Silenced;false;6000;;5;;3;;;;30;5;0;;;0;;;;;;0;0;;;;Enemy;Elemental;AoE;;;;;false;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_aoe_fire;;;;
Elemental_CC_Weakness;Elemental_CC_Weakness;;;;false;false;false;;false;false;;;;;true;true;Elemental_CC_Weakness;false;6000;;5;;3;;;;40;5;0;;;0;;;;;;0;0;;;;Enemy;Elemental;AoE;;;;;false;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_aoe_fire;;;;
Elemental_Life_Staff_Buff;Warhammer_GroupBuff;;;;false;false;false;;false;false;;;;;false;true;;false;6000;;5;;3;;;;20;5;0;;;0;;;;;;0;0;;;;Friend;Celestial;AoE;;;;;false;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/Warhammer_GroupBuff;;;;
FireStaff_PillarOfFire;;;;;false;false;false;;false;false;;;;;true;true;FireStaff_PillarOfFire;false;8000;;5;;2;;;;20;15;3;;;0;;;;;;0;0;;;;Enemy;Ability;AoE;;;Sphere;Fire;true;false;false;false;;;;;;;;;;;;;;;;;DamageTable;Firestaff_Pillar;;;;;Items/Weapons/spell_fire_staff_heavy;;;;
FireStaff_PillarOfFire_DMG_Upgrade;;;;;false;false;false;;false;false;;;;;true;true;FireStaff_PillarOfFire;false;8000;;5;;2;;;;20;15;3;;;0;;;;;;0;0;;;;Enemy;Ability;AoE;;;Sphere;Fire;true;false;false;false;;;;;;;;;;;;;;;;;DamageTable;Firestaff_Pillar_DMG;;;;;Items/Weapons/spell_fire_staff_heavy;;;;
FireStaff_PillarOfFire_Mana_Gain_Upgrade;;;;;false;false;false;;false;false;;;;;true;true;FireStaff_PillarOfFire;false;8000;;5;;2;;;;20;15;3;;;0;;;;;;0;0;;;;Enemy;Ability;AoE;;;Sphere;Fire;true;false;false;false;;;;;;;;;;;;;;;;;DamageTable;Firestaff_Pillar_Mana;;;;;Items/Weapons/spell_fire_staff_heavy;;;;
FireStaff_Speed_Bombs;;;;;false;false;false;;false;false;;;;;true;true;FireStaff_Speed_Cost;false;600;;5;;1;;;;0;5;0;;;0;;;;;;0;0;;;;Enemy;Ability;Burnout;;;Sphere;Fire;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_aoe_leadership;;FireStaff_Speed_Bombs_Spawn;;
FireStaff_Speed_Bombs_Spawn;FireStaff_Burnout_DOT,FireStaff_Pyro_DOT;;;;false;false;false;;false;false;;;;;true;true;FireStaff_Speed_Cost;false;13000;;5;;1;;;;1;5;0;;;0;;;;;;0;0;;;;Enemy;Ability;AoE;;;Sphere;Fire;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_fire_staff_speed_bomb;;;;
FireStaff_Speed_Bombs_DMG_Upgrade;;;;;false;false;false;;false;false;;;;;true;true;FireStaff_Speed_Cost;false;600;;5;;2.5;;;;0;5;0;;;0;;;;;;0;0;;;;Enemy;Ability;Burnout;;;Sphere;Fire;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_aoe_leadership;;FireStaff_Speed_Bombs_DMG_Upgrade_Spawn;;
FireStaff_Speed_Bombs_DMG_Upgrade_Spawn;FireStaff_Burnout_DMG_DOT,FireStaff_Pyro_DOT;;;;false;false;false;;false;false;;;;;true;true;FireStaff_Speed_Cost;false;13000;;5;;2.5;;;;1;5;0;;;0;;;;;;0;0;;;;Enemy;Ability;AoE;;;Sphere;Fire;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_fire_staff_speed_bomb_DMG;;;;
FireStaff_Speed_Bombs_Range_Upgrade;;;;;false;false;false;;false;false;;;;;true;true;FireStaff_Speed_Cost;false;900;;5;;2.5;;;;0;5;0;;;0;;;;;;0;0;;;;Enemy;Ability;Burnout;;;Sphere;Fire;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_aoe_leadership;;FireStaff_Speed_Bombs_Range_Upgrade_Spawn;;
