SpellID;StatusEffects;StatusEffectDurations;Revive;Siphon;AttachToOwner;StickWhenAttached;StoreOffsetWhenStuckToGDE;SpawnSecondaryOnElapsed;SpawnSecondaryOnCollision;EndOnCasterDeath;IgnoreTargetIfAtDeathsDoor;IgnoreTargetIfDead;UseCameraTargetLock;TrackNumInVolume;ClearOnExit;ClearOnEnd;ManaCost;UseStatusEffectDuration;Duration;DurationScaling;Height;Length;Radius;InnerRadius;RadiusScaling;MaxRadiusScaling;CastDistance;CastHeight;CastRadius;ConeAngle;ConeWidth;ChannelTime;ChainDelayDuration;MaxChainNum;UseChainCasterPaperdoll;NumToSpawn;NumToSpawnBeforeFail;SpawnRate;SpawnAngle;SecondarySpellProjectileLaunchAngles;ScaleWithCharacterBoundingBox;ScaleWithDynamicScale;TargetTypes;SpellTypes;CastingTypes;HitAiTarget;OverrideTargetForAiThreat;ShapeTypes;DamageType;CheckObstructions;IgnoreOverheadCollision;IgnoreStructures;IgnoreSelf;RangedAttackProfile;RangedAttackName;FireJointName;ProjPosOffsetX;ProjPosOffsetY;ProjPosOffsetZ;ProjRotOffsetX;ProjRotOffsetY;ProjRotOffsetZ;CharRelPosOffsetX;CharRelPosOffsetY;CharRelPosOffsetZ;CharRelRotOffsetX;CharRelRotOffsetY;CharRelRotOffsetZ;ProjRaycastOrientation;DamageTable;DamageTableRow;AbilityId;TargetAbilityCondition;BeamEffect;IndicatorVFX;SpellPrefabPath;SecondaryPrefabPath;SecondarySpellID;TertiaryPrefabPath;TertiarySpellID
Spell_GreatAxe_GravityWell_Projectile;;;;;false;;;true;true;;false;false;;false;false;true;;false;2000;;0;;0;;;;10;0;;0;0;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;;false;true;;;GreatAxe;GravityWell;;;;;;;;;;;;;;;DamageTable;GreatAxe_GravityWell_Vortex;;;;;Items/Weapons/GreatAxe_GravityWell_Proj;Items/Weapons/GreatAxe_GravityWell_Vortex;Spell_GreatAxe_GravityWell_Vortex;;
Spell_GreatAxe_GravityWell_Projectile_Upgrade;;;;;false;;;true;true;;false;false;;false;false;true;;false;2000;;0;;0;;;;10;0;;0;0;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;;false;true;;;GreatAxe;GravityWell;;;;;;;;;;;;;;;DamageTable;GreatAxe_GravityWell_Vortex;;;;;Items/Weapons/GreatAxe_GravityWell_Proj;Items/Weapons/GreatAxe_GravityWell_Vortex_Upgrade;Spell_GreatAxe_GravityWell_Vortex_Upgrade;;
Spell_GreatAxe_GravityWell_Vortex;;;;;false;;;false;false;;false;false;;true;true;true;;false;4000;;0;;4;;;;0;0;;0;0;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;DamageTable;GreatAxe_GravityWell_Vortex;Upgrade_Greataxe_GravityWell_DmgPerFoe;;;;Items/Weapons/GreatAxe_GravityWell_Vortex;;;;
Spell_GreatAxe_GravityWell_Vortex_Upgrade;;;;;false;;;false;false;;false;false;;true;true;true;;false;4000;;0;;4;;;;0;0;;0;0;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;DamageTable;GreatAxe_GravityWell_Vortex;Upgrade_Greataxe_GravityWell_DmgPerFoe;;;;Items/Weapons/GreatAxe_GravityWell_Vortex_Upgrade;;;;
Spell_Upgrade_GreatAxe_Maelstrom_ProjectileConsume;;;;;true;;;false;false;;false;false;;false;true;true;;false;1125;;1;;2;;;;0;1;;0;0;0;;;;;;;;;;;Friend;Celestial;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_Projectile_Block_Maelstrom;;;;
Spell_Upgrade_Greataxe_Whirlwind_DmgWhenFoesNear;;;;;true;;;false;false;;false;false;;true;true;true;;false;-1;;0;;4;;;;0;0;;0;0;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;;;Upgrade_Greataxe_Whirlwind_DmgWhenFoesNear;;;;Items/Weapons/spell_NumAroundMe_Enemy;;;;
Spell_Passive_Greataxe_Mauler_DmgWhenFoesNear;;;;;true;;;false;false;;false;false;;true;true;true;;false;-1;;0;;4;;;;0;0;;0;0;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;;;Passive_Greataxe_Mauler_DmgWhenFoesNear;;;;Items/Weapons/spell_NumAroundMe_Enemy;;;;
Spell_Passive_Greataxe_Mauler_ArmorWhenFoesNear;;;;;true;;;false;false;;false;false;;true;true;true;;false;-1;;0;;4;;;;0;0;;0;0;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;;;Passive_Greataxe_Mauler_ArmorWhenFoesNear;;;;Items/Weapons/spell_NumAroundMe_Enemy;;;;
Spell_Ultimate_Greataxe_Reaper;;;;;true;;;false;false;;true;true;;true;true;true;;false;-1;;0;;15;;;;0;0;;15;0.009999999776482582;0;;;;;;;;;;;Enemy;Ability;AoE;;;Wedge;;true;true;;;;;;;;;;;;;;;;;;;;;Ultimate_Greataxe_Reaper;;;;Items/Weapons/spell_NumAroundMe_Enemy;;;;
InsatiableGravityWell;;;;;true;;;false;false;;false;false;;false;true;true;;false;300;;0;;4;;;;0;5;;0;0;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;false;true;;;;;;;;;;;;;;;;;;;DamageTable;GreatAxe_GravityWell_Burst_Perk;;;;;Perks/spell_insatiable_gravitywell;;;;
