SpellID;StatusEffects;StatusEffectDurations;Revive;Siphon;AttachToOwner;StickWhenAttached;StoreOffsetWhenStuckToGDE;SpawnSecondaryOnElapsed;SpawnSecondaryOnCollision;EndOnCasterDeath;IgnoreTargetIfAtDeathsDoor;IgnoreTargetIfDead;UseCameraTargetLock;TrackNumInVolume;ClearOnExit;ClearOnEnd;ManaCost;UseStatusEffectDuration;Duration;DurationScaling;Height;Length;Radius;InnerRadius;RadiusScaling;MaxRadiusScaling;CastDistance;CastHeight;CastRadius;ConeAngle;ConeWidth;ChannelTime;ChainDelayDuration;MaxChainNum;UseChainCasterPaperdoll;NumToSpawn;NumToSpawnBeforeFail;SpawnRate;SpawnAngle;SecondarySpellProjectileLaunchAngles;ScaleWithCharacterBoundingBox;ScaleWithDynamicScale;TargetTypes;SpellTypes;CastingTypes;HitAiTarget;OverrideTargetForAiThreat;ShapeTypes;DamageType;CheckObstructions;IgnoreOverheadCollision;IgnoreStructures;IgnoreSelf;RangedAttackProfile;RangedAttackName;FireJointName;ProjPosOffsetX;ProjPosOffsetY;ProjPosOffsetZ;ProjRotOffsetX;ProjRotOffsetY;ProjRotOffsetZ;CharRelPosOffsetX;CharRelPosOffsetY;CharRelPosOffsetZ;CharRelRotOffsetX;CharRelRotOffsetY;CharRelRotOffsetZ;ProjRaycastOrientation;DamageTable;DamageTableRow;AbilityId;TargetAbilityCondition;BeamEffect;IndicatorVFX;SpellPrefabPath;SecondaryPrefabPath;SecondarySpellID;TertiaryPrefabPath;TertiarySpellID
IceMagic_Light_Projectile;;;;;false;;true;;;;;;;false;false;true;IceMagic_Primary;false;-1;;0;0;0;;;;20;0;0;;;0;;;;0;0;;;;;;Enemy;Ability;Projectile;;false;;Ice;false;true;;;IceMagic;Primary;;;;0;;;;;0;;;;0;;DamageTable;IceMagic_Primary;;;;;Items/Weapons/IceMagic_Primary_proj;;;;
IceMagic_Heavy_Projectile;;;;;false;;false;;;;;;;false;false;true;IceMagic_Heavy;false;-1;;0;0;0;;;;20;0;0;;;0;;;;0;0;;;;;;Enemy;Ability;Projectile;;false;;Ice;false;true;;;IceMagic;Heavy;;;;0;;;;;0;;;;0;;DamageTable;IceMagic_Heavy;;;;;Items/Weapons/IceMagic_Heavy_proj;;;;
IceMagic_Spell_IceStorm;IceMagic_IceStorm;;;;false;;false;;;;;;;true;true;true;IceMagic_IceStorm;false;-1;;5;0;5;;;;20;20;5;;;0;;;;0;0;;;;;;Enemy;Elemental;AoE;;false;Sphere;Ice;true;true;;;;;;;;0;;;;;0;;;;0;;DamageTable;IceMagic_IceStorm;IceStormPunishingStorm;;;;Items/Weapons/spell_aoe_blizzard;;;;
IceMagic_Spell_IceStorm_UT;IceMagic_IceStorm_UT;;;;false;;false;;;;;;;true;true;true;IceMagic_IceStorm;false;-1;;5;0;5;;;;20;20;5;;;0;;;;0;0;;;;;;Enemy;Elemental;AoE;;false;Sphere;Ice;true;true;;;;;;;;0;;;;;0;;;;0;;DamageTable;IceMagic_IceStorm;IceStormPunishingStorm;;;;Items/Weapons/spell_aoe_blizzard;;;;
IceMagic_Spell_IceStorm_Mana;IceMagic_IceStorm;;;;false;;false;;;;;;;true;true;true;IceMagic_IceStorm_Mana;false;-1;;5;0;5;;;;20;20;5;;;0;;;;0;0;;;;;;Enemy;Elemental;AoE;;false;Sphere;Ice;true;true;;;;;;;;0;;;;;0;;;;0;;DamageTable;IceMagic_IceStorm;IceStormPunishingStorm;;;;Items/Weapons/spell_aoe_blizzard;;;;
IceMagic_Spell_IceStorm_Mana_UT;IceMagic_IceStorm_UT;;;;false;;false;;;;;;;true;true;true;IceMagic_IceStorm_Mana;false;-1;;5;0;5;;;;20;20;5;;;0;;;;0;0;;;;;;Enemy;Elemental;AoE;;false;Sphere;Ice;true;true;;;;;;;;0;;;;;0;;;;0;;DamageTable;IceMagic_IceStorm;IceStormPunishingStorm;;;;Items/Weapons/spell_aoe_blizzard;;;;
IceMagic_Spell_IceStorm_Damage;;;;;false;;false;;;;;;;false;true;true;;false;100;;5;0;5;;;;20;20;5;;;0;;;;0;0;;;;;;Enemy;Elemental;AoE;;false;Sphere;Ice;true;true;;;;;;;;0;;;;;0;;;;0;;DamageTable;IceMagic_IceStorm;;;;;Items/Weapons/spell_aoe_blizzard_damage;;;;
IceMagic_Spell_Shower1;IceMagic_Frostbite;;;;false;;false;;;;;;;false;true;true;IceMagic_IceShower;false;-1;;3;0.5;0.5;;;;2.799999952316284;6;0;;;0;;;;0;0;;;;;;Enemy;Elemental;NoTargetSpawnFromRaycast;;false;Box;Ice;true;true;;;;;;;;0;;;;;3;;;;60;;;;;;;;Items/Weapons/spell_aoe_shower;;;;
IceMagic_Spell_Shower2;IceMagic_Frostbite;;;;false;;false;;;;;;;false;true;true;Zero_Mana;false;-1;;3;0.5;0.5;;;;2.25;6;0;;;0;;;;0;0;;;;;;Enemy;Elemental;NoTargetSpawnFromRaycast;;false;Box;Ice;true;true;;;;;;;;0;;;;;3;;;;35;;;;;;;;Items/Weapons/spell_aoe_shower;;;;
IceMagic_Spell_Shower3;IceMagic_Frostbite;;;;false;;false;;;;;;;false;true;true;Zero_Mana;false;-1;;3;0.5;0.5;;;;2;6;0;;;0;;;;0;0;;;;;;Enemy;Elemental;NoTargetSpawnFromRaycast;;false;Box;Ice;true;true;;;;;;;;0;;;;;3;;;;0;;;;;;;;Items/Weapons/spell_aoe_shower;;;;
