SpellID;StatusEffects;StatusEffectDurations;Revive;Siphon;AttachToOwner;StickWhenAttached;StoreOffsetWhenStuckToGDE;SpawnSecondaryOnElapsed;SpawnSecondaryOnCollision;EndOnCasterDeath;IgnoreTargetIfAtDeathsDoor;IgnoreTargetIfDead;UseCameraTargetLock;TrackNumInVolume;ClearOnExit;ClearOnEnd;ManaCost;UseStatusEffectDuration;Duration;DurationScaling;Height;Length;Radius;InnerRadius;RadiusScaling;MaxRadiusScaling;CastDistance;CastHeight;CastRadius;ConeAngle;ConeWidth;ChannelTime;ChainDelayDuration;MaxChainNum;UseChainCasterPaperdoll;NumToSpawn;NumToSpawnBeforeFail;SpawnRate;SpawnAngle;SecondarySpellProjectileLaunchAngles;ScaleWithCharacterBoundingBox;ScaleWithDynamicScale;TargetTypes;SpellTypes;CastingTypes;HitAiTarget;OverrideTargetForAiThreat;ShapeTypes;DamageType;CheckObstructions;IgnoreOverheadCollision;IgnoreStructures;IgnoreSelf;RangedAttackProfile;RangedAttackName;FireJointName;ProjPosOffsetX;ProjPosOffsetY;ProjPosOffsetZ;ProjRotOffsetX;ProjRotOffsetY;ProjRotOffsetZ;CharRelPosOffsetX;CharRelPosOffsetY;CharRelPosOffsetZ;CharRelRotOffsetX;CharRelRotOffsetY;CharRelRotOffsetZ;ProjRaycastOrientation;DamageTable;DamageTableRow;AbilityId;TargetAbilityCondition;BeamEffect;IndicatorVFX;SpellPrefabPath;SecondaryPrefabPath;SecondarySpellID;TertiaryPrefabPath;TertiarySpellID
Musket_StickyBomb;Musket_Sticky_Slow;;;;false;false;false;;;;false;false;;false;false;true;;false;5000;;;;0.5;;;;10;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;;false;true;;;Musket;StickyBomb;;;;;;;;;;;;;;;DamageTable;Musket_StickyBomb_Projectile;;;;;Items/Weapons/StickyBomb_Projectile;Items/Weapons/StickyBomb_Explosion;Musket_StickyBomb_Explosion;;
Musket_StickyBomb_Explosion;;;;;true;true;true;;;;false;false;;false;true;true;;false;5000;;;;3;;;;0;0;0;;;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/StickyBomb_Explosion;;;;
Musket_Trap_Set;;;;;false;false;false;;;;true;true;;false;false;true;;false;5000;;;;1;;;;0;0;0;;;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/Trap_Bear;;;;
Musket_Trap_Set_DMG;;;;;false;false;false;;;;true;true;;false;false;true;;false;5000;;;;1;;;;0;0;0;;;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/Trap_Bear_DMG;;;;
Musket_Trap_Set_DMG_Interact;;;;;false;false;false;;;;true;true;;false;false;true;;false;5000;;;;1;;;;0;0;0;;;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/Trap_Bear_DMG_Interact;;;;
Musket_Trap_Set_Interact;;;;;false;false;false;;;;true;true;;false;false;true;;false;5000;;;;1;;;;0;0;0;;;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/Trap_Bear_Interact;;;;
Musket_Trap_Toss;;;;;false;false;false;;;;true;true;;false;false;true;;false;5000;;;;0.4000000059604645;;;;10;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;;false;true;;;Musket;Traps;left_hand_attach;;;;;;;;;;;;;;DamageTable;Musket_Trap_Toss;;;;;items/weapons/trap_bear_projectile;;;;
Musket_Trap_Toss_DMG;;;;;false;false;false;;;;true;true;;false;false;true;;false;5000;;;;0.4000000059604645;;;;10;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;;false;true;;;Musket;Traps;left_hand_attach;;;;;;;;;;;;;;DamageTable;Musket_Trap_Toss;;;;;items/weapons/trap_bear_projectile_DMG;;;;
Musket_Trap_Toss_DMG_Interact;;;;;false;false;false;;;;true;true;;false;false;true;;false;5000;;;;0.5;;;;10;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;;false;true;;;Musket;Traps;left_hand_attach;;;;;;;;;;;;;;DamageTable;Musket_Trap_Toss;;;;;items/weapons/trap_bear_projectile_DMG_Interact;;;;
Musket_MoveSpeedNearbyEnemy_Detection;;;;;true;false;false;;;;false;false;;true;true;true;;false;-1;;;;8;;;;0;5;8;;;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;true;true;;;;;;;;;;;;;;;;;;;;;Passive_Musket_Trapper_BackSpdNearEnemy;;;;Items/Weapons/spell_NumAroundMe_Enemy;;;;
