SpellID;StatusEffects;StatusEffectDurations;Revive;Siphon;AttachToOwner;StickWhenAttached;StoreOffsetWhenStuckToGDE;SpawnSecondaryOnElapsed;SpawnSecondaryOnCollision;SpawnSecondaryOnPassthrough;EndOnCasterDeath;IgnoreTargetIfAtDeathsDoor;IgnoreTargetIfDead;UseCameraTargetLock;TrackNumInVolume;ClearOnExit;ClearOnEnd;ManaCost;UseStatusEffectDuration;Duration;DurationScaling;Height;Length;Radius;InnerRadius;RadiusScaling;MaxRadiusScaling;CastDistance;CastHeight;CastRadius;ConeAngle;ConeWidth;ChannelTime;ChainDelayDuration;MaxChainNum;UseChainCasterPaperdoll;NumToSpawn;NumToSpawnBeforeFail;SpawnRate;SpawnAngle;SecondarySpellProjectileLaunchAngles;ScaleWithCharacterBoundingBox;ScaleWithDynamicScale;TargetTypes;SpellTypes;CastingTypes;HitAiTarget;OverrideTargetForAiThreat;ShapeTypes;DamageType;CheckObstructions;IgnoreOverheadCollision;IgnoreStructures;IgnoreSelf;RangedAttackProfile;RangedAttackName;FireJointName;ProjPosOffsetX;ProjPosOffsetY;ProjPosOffsetZ;ProjRotOffsetX;ProjRotOffsetY;ProjRotOffsetZ;CharRelPosOffsetX;CharRelPosOffsetY;CharRelPosOffsetZ;CharRelRotOffsetX;CharRelRotOffsetY;CharRelRotOffsetZ;ProjRaycastOrientation;DamageTable;DamageTableRow;AbilityId;TargetAbilityCondition;BeamEffect;IndicatorVFX;SpellPrefabPath;SecondaryPrefabPath;SecondarySpellID;TertiaryPrefabPath;TertiarySpellID
VoidGauntlet_Light_Projectile;;;;false;false;;;;;false;false;false;false;;false;false;true;VoidGauntlet_Primary;false;-1;;0;;0;;;;20;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;Corruption;false;true;false;false;VoidGauntlet;Primary;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_Primary;;;;;Items/Weapons/VoidGauntlet_Primary_proj;;;;
VoidGauntlet_Heavy_Projectile;;;;false;false;;;;;false;false;false;false;;false;false;true;VoidGauntlet_Heavy;false;-1;;0;;0;;;;20;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;Corruption;false;true;false;false;VoidGauntlet;Heavy;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_Heavy;;;;;Items/Weapons/VoidGauntlet_Heavy_proj;;;;
VoidGauntlet_VoidBlade;;;;false;false;;;;;false;false;false;false;;false;false;true;VoidGauntlet_VoidBlade;false;-1;;0;;0;;;;20;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;Corruption;false;true;false;false;VoidGauntlet;Primary;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_Primary;;;;;Items/Weapons/VoidGauntlet_Primary_proj;;;;
VoidGauntlet_NullChamber_AoE;;;;false;false;;;;;false;false;false;false;;false;true;true;VoidGauntlet_NullChamber;false;-1;;5;;5;;;;20;5;4;;;0;;;;;;;;;;;All;Ability;AoE;;;Sphere;;true;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/VoidGauntlet_Spell_AoE_NullChamber;;VoidGauntlet_NullChamber_DoT;;VoidGauntlet_NullChamber_Empower
VoidGauntlet_NullChamber_AoE_BonusStamina;;;;false;false;;;;;false;false;false;false;;false;true;true;VoidGauntlet_NullChamber;false;-1;;5;;5;;;;20;5;4;;;0;;;;;;;;;;;All;Ability;AoE;;;Sphere;;true;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/VoidGauntlet_Spell_AoE_NullChamber;;VoidGauntlet_NullChamber_DoT;;VoidGauntlet_NullChamber_Empower_BonusStamina
VoidGauntlet_NullChamber_DoT;VoidGauntlet_NullChamber_DoT;;;false;false;;;;;false;false;false;false;;false;true;true;;false;-1;;0;;0;;;;0;0;0;;;0;;;;;;;;;;;Enemy;Ability;;;;;;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;;
VoidGauntlet_NullChamber_Empower;VoidGauntlet_NullChamber_Empower;;;false;false;;;;;false;false;false;false;;false;true;true;;false;-1;;0;;0;;;;0;0;0;;;0;;;;;;;;;;;Friend;Ability;;;;;;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;;
VoidGauntlet_NullChamber_Empower_BonusStamina;VoidGauntlet_NullChamber_Empower,VoidGauntlet_NullChamber_BonusStamina;;;false;false;;;;;false;false;false;false;;false;true;true;;false;-1;;0;;0;;;;0;0;0;;;0;;;;;;;;;;;Friend;Ability;;;;;;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;;
VoidGauntlet_NullChamber_Nullify_AoE;VoidGauntlet_NullChamber_Nullify_AoE;;;false;false;;;;;false;false;false;false;;false;false;false;;true;300;;0;;5;;;;20;0;0;;;0;;;;;;;;;;;Enemy;Ability;AoE;;;Sphere;;false;true;false;false;;;;;;;;;;;;;;;;;;;;;;;Items/Weapons/spell_aoe_leadership_enemy;;;;
VoidGauntlet_Scream;;;;false;false;;;;;false;false;false;false;;false;false;true;VoidGauntlet_Scream;false;-1;;0;;0;;;;20;0;0;;;0;;;;;;;;;;;Enemy;Ability;Projectile;;;;Corruption;false;true;false;false;VoidGauntlet;Primary;;;;;;;;;;;;;;;DamageTable;VoidGauntlet_Primary;;;;;Items/Weapons/VoidGauntlet_Primary_proj;;;;
