StatusID;DisplayName;Description;EffectCategories;PlaceholderIcon;ShowInUITray;ShowTextInDamageNumbers;FxScriptOn;FxScriptOff;ShouldRefreshFxScript;WeaponEffectType;Notification;DisableTelemetry;IsClientPredicted;PotencyPerLevel;BaseDuration;TickRate;DelayInitialTick;TickCondition;OnTickStatusEffect;KeepOnTickEffectOnEnd;StopOnHitCount;HitCondition;RequireReaction;OnStackStatusEffect;AddOnStackSize;AddOnStackSizeComparison;HealThreatMultiplier;ScaleAmountOverTime;ScaleAmountOverTimeMin;ScaleAmountOverTimeMax;DamageSkipsDeathsDoor;Health;HealthMin;HealthModifierPercent;HealthModifierDamageBased;UseHealScalingValue;HealScalingValueMultiplier;StaminaDamageModifier;ManaModifierDamageBased;DamageType;CritChanceModifier;CritDamageModifier;OnEndStatusEffect;CastSpell;TargetOwnsSpell;UseSourceWeaponForSpell;FromAlchemy;FromSpell;NoHealthRegen;HealMod;MaxHealthMod;HealthRate;CoreTempMod;TempMod;Stamina;StaminaRate;Mana;ManaRate;Food;FoodBurn;Drink;DrinkBurn;Encumbrance;ItemClassWeightMods;XPIncreases;AzothMod;FactionReputationMod;FactionTokensMod;EXPLogging;EXPMining;EXPHarvesting;EXPSkinning;EXPSmelting;EXPWoodworking;EXPLeatherworking;EXPWeaving;EXPStonecutting;GrantSanctuary;NoSprint;NoRun;NoDodge;NoNav;Silenced;Stunned;RemoveOnDeath;RemoveOnDeathsDoor;RemoveOnRespawn;RemoveOnGameModeExit;IgnoreDiminishingReturns;OnlyChangeOwnedStatusEffects;Afflictions;OnHitAffixes;EquipAbility;UseSourceWeaponForAbilityEffect;IsNegative;RespecTradeskills;RespecAttributes;EffectDurationMods;EffectPotencyMods;RemoveStatusEffects;RemoveStatusEffectCategories;GlobalRollMod;FishingLineStrength;FishSizeRollModifier;MODConstitution;MODFocus;MODStrength;MODDexterity;MODIntelligence;MGSArcana;MGSWeaponsmithing;MGSJewelcrafting;MGSEngineering;MGSArmoring;MaxGSArcana;MaxGSWeaponsmithing;MaxGSJewelcrafting;MaxGSEngineering;MaxGSArmoring;ROLCooking;ROLWeaving;ROLStonecutting;ROLSmelting;ROLLeatherworking;ROLWoodworking;ROLLogging;ROLMining;ROLSkinning;ROLHarvesting;ROLFishing;MULTLogging;MULTMining;MULTSkinning;MULTHarvesting;MULTFishing;EFFLogging;EFFMining;EFFSkinning;EFFHarvesting;INSLogging;INSMining;INSSkinning;INSHarvesting;ABSStandard;ABSSiege;ABSStrike;ABSSlash;ABSThrust;ABSArcane;ABSFire;ABSIce;ABSNature;ABSLightning;ABSCorruption;ABSVitalsCategory;RESPoison;RESDisease;RESBleed;RESFrostbite;RESCurse;RESBlight;BLAStandard;BLASiege;BLAStrike;BLASlash;BLAThrust;BLAArcane;BLAFire;BLAIce;BLALightning;BLACorruption;ABAPoison;ABADisease;ABABleed;ABAFrostbite;ABACurse;ABABlight;WKNStandard;WKNSiege;WKNStrike;WKNSlash;WKNThrust;WKNArcane;WKNFire;WKNIce;WKNNature;WKNLightning;WKNCorruption;DMGStandard;DMGSiege;DMGStrike;DMGSlash;DMGThrust;DMGArcane;DMGFire;DMGIce;DMGNature;DMGLightning;DMGCorruption;DMGVitalsCategory;AFAPoison;AFADisease;AFABleed;AFAFrostbite;AFACurse;AFABlight;StackDuration;DurationMax;InheritDuration;InheritTotalDuration;RefreshDuration;StackMax;InitialStackSize;RemoveUnappliedStacks;PotencyMax;DontReplaceStack;MoveSpeedMod;SprintSpeedMod;FastTravelEncumbranceMod;GameEventId;HealRewardGameEventId;HealRewardThreshold;WeaponMasteryCategoryId;UIPriority;UiNameplatePriority;ShowInNameplates;ShowTextInNameplates;OverrideOtherNameplateText;HidesOtherStatusEffectIcons;DynamicModelScaleFactor;DynamicModelScaleRampTimeSecs;SpawnSlice;DisableSupportContributionRewards;BlockMultipleEffectsFromSameSource;AllowSelfOnlyAsSourceForAbilities;IgnoreInvulnerable;NotCombatAction 
Warhammer_GroupBuff;;;Fortify;lyshineui/images/status/Temp_Feast_Absorption.png;false;false;;;;;;;;;20;1;;;;;0;;false;;;;;;;;;0;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;;;false;;;;;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.4000000059604645;0;20;;false;false;1;;true;0;;0;0;;;;;;0;0;false;;;;;;;;;;;
WarCry;@GA_WarCry_DisplayName;@GA_WarCry_Description;;lyshineui/images/status/Temp_Feast_Recovery.png;false;false;;;;;;;;;20;1;;;;;0;;false;;;;;;;;;0;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;;;false;;;;;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0.15000000596046448;0;0;0;0;0;0;0;0;20;;false;false;1;;true;0;;0;0;;;;;;0;0;false;;;;;;;;;;;
WarHammer_Status_Stun2s;@WarHammer_Stun_DisplayName;@WarHammer_Stun_Description;Debuff+Stun+CC;lyshineui/images/status/SE_Stun.png;true;true;StatFX_Stun_ON;;;;;;;;1.5;1;;;;;1;OnHitTaken;true;;;;;;;;;0;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;1;;;false;;;;;;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;;false;false;1;;true;0;;0;0;;;;;;1;1;true;;;;;;;;;;;
WarHammer_Status_Stun5s;@WarHammer_Stun_DisplayName;@WarHammer_Stun_Description;Debuff+Stun+CC;lyshineui/images/status/SE_Stun.png;true;true;StatFX_Stun_ON;;;;;;;;5;1;;;;;1;OnHitTaken;true;;;;;;;;;0;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;1;;;false;;;;;;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;;false;false;1;;true;0;;0;0;;;;;;1;1;true;;;;;;;;;;;
WarHammer_ArmRed20Pct5Sec;@WarHammer_ArmorReduction_DisplayName;@WarHammer_ArmorReduction_Description;Debuff+Rend+Debilitate;lyshineui/images/status/SE_RendT3.png;true;true;StatFX_Rend_ON;;;;;;;;2;1;;;;;0;;false;;;;;;;;;0;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;;;false;;;;;;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.20000000298023224;-0.20000000298023224;-0.20000000298023224;-0.20000000298023224;-0.20000000298023224;-0.20000000298023224;-0.20000000298023224;-0.20000000298023224;-0.20000000298023224;-0.20000000298023224;-0.20000000298023224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;;false;false;1;;false;0;;0;0;;;;;;2;2;true;;;;;;;;;;;
WarHammer_SpeedUp6Sec;@WarHammer_SpeedUp_DisplayName;@WarHammer_SpeedUp_Description;Buff+Haste;lyshineui/images/status/SE_Haste.png;true;true;StatFX_Haste_ON;;;;;;;;5;1;;;;;0;;false;;;;;;;;;0;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;;;false;;;;;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;;false;false;1;;true;0;;0.5;0.5;;;;;;2;2;true;;;;;;;;;;;
WarHammer_SpeedUp8Sec;@WarHammer_SpeedUp_DisplayName;@WarHammer_SpeedUp_Description;Buff+Haste;lyshineui/images/status/SE_Haste.png;true;true;StatFX_Haste_ON;;;;;;;;8;1;;;;;0;;false;;;;;;;;;0;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;;;false;;;;;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;;false;false;1;;true;0;;0.5;0.5;;;;;;2;2;true;;;;;;;;;;;
WarHammer_PoD_Slow5Sec;@WarHammer_Slow_DisplayName;@WarHammer_Slow_Description;Debuff+Slow+CC;lyshineui/images/status/SE_SlowT5.png;true;true;StatFX_Slow_ON;;;;;;;;5;1;;;;;0;;false;;;;;;;;;0;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;;;false;;;;;;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;;false;false;1;;true;0;;-0.30000001192092896;-0.30000001192092896;;;;;;1;1;true;;;;;;;;;;;
WarHammer_HinderedSpirit;@WarHammer_HinderedSpirit_DisplayName;@WarHammer_HinderedSpirit_Description;Debuff;lyshineui/images/status/SE_ArmorReduction.png;true;true;;;;;;;;;6;1;;;;;0;;false;;;;;;;;;0;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;;;false;;;;;;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;;false;false;1;;true;0;;0;0;;;;;;1;1;true;;;;;;;;;;;
WarHammer_WeakenVictim;@WarHammer_Weaken_DisplayName;@WarHammer_Weaken_Description;Debuff+Rend+Debilitate;lyshineui/images/status/SE_RendT2.png;true;true;StatFX_Rend_ON;;;;;;;;5;1;;;;;0;;false;;;;;;;;;0;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;;;false;;;;;;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.10000000149011612;-0.10000000149011612;-0.10000000149011612;-0.10000000149011612;-0.10000000149011612;-0.10000000149011612;-0.10000000149011612;-0.10000000149011612;-0.10000000149011612;-0.10000000149011612;-0.10000000149011612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;;false;false;1;;true;0;;0;0;;;;;;2;2;true;;;;;;;;;;;
