UniqueTagID;IsEnabled;DisplayName;Description;PortraitImage;LandscapeImage;SquareImage;ThumbnailImage
Lumberjack;1;@store_tree_splitter_name;@store_tree_splitter_description;lyshineui/images/mtx/placeholder_mtx_images/placeholder_image03_portrait.png;lyshineui/images/mtx/placeholder_mtx_images/placeholder_image03_rectangle.png;lyshineui/images/mtx/placeholder_mtx_images/placeholder_image03_square.png;lyshineui/images/mtx/placeholder_mtx_images/placeholder_image03_thumbnail.png
smolderingscarlet_dye;1;@smolderingscarlet_dye_name;@smolderingscarlet_dye_description;LyShineUI/Images/mtx/mtx_product_images/dye49_Portrait_SmolderingScarlet.png;LyShineUI/Images/mtx/mtx_product_images/dye49_Rectangle_SmolderingScarlet.png;LyShineUI/Images/mtx/mtx_product_images/dye49_Square_SmolderingScarlet.png;LyShineUI/Images/mtx/mtx_product_images/dye49_Thumbnail_SmolderingScarlet.png
runic_jackal;1;@runic_jackal_name;@runic_jackal_description;LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_RunicJackal.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_RunicJackal.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_RunicJackal.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_RunicJackal.png
crescent_fang;1;@crescent_fang_name;@crescent_fang_description;LyShineUI/Images/mtx/mtx_product_images/weapon_Portrait_CrecentFang.png;LyShineUI/Images/mtx/mtx_product_images/weapon_Rectangle_CrecentFang.png;LyShineUI/Images/mtx/mtx_product_images/weapon_Square_CrecentFang.png;LyShineUI/Images/mtx/mtx_product_images/weapon_Thumbnail_CrecentFang.png
rainbow_tiger;1;@rainbow_tiger_name;@rainbow_tiger_description;LyShineUI/Images/mtx/mtx_product_images/pet_Portrait_RainbowTiger.png;LyShineUI/Images/mtx/mtx_product_images/pet_Rectangle_RainbowTiger.png;LyShineUI/Images/mtx/mtx_product_images/pet_Square_RainbowTiger.png;LyShineUI/Images/mtx/mtx_product_images/pet_Thumbnail_RainbowTiger.png
arm_flex;1;@arm_flex_name;@arm_flex_description;lyshineui/images/mtx/mtx_product_images/emote_Portrait_ArmFlex.png;lyshineui/images/mtx/mtx_product_images/emote_Rectangle_ArmFlex.png;lyshineui/images/mtx/mtx_product_images/emote_Square_ArmFlex.png;lyshineui/images/mtx/mtx_product_images/emote_Thumbnail_ArmFlex.png
sublimebone_dye;1;@sublimebone_dye_name;@sublimebone_dye_description;LyShineUI/Images/mtx/mtx_product_images/dye37_Portrait_SublimeBone.png;LyShineUI/Images/mtx/mtx_product_images/dye37_Rectangle_SublimeBone.png;LyShineUI/Images/mtx/mtx_product_images/dye37_Square_SublimeBone.png;LyShineUI/Images/mtx/mtx_product_images/dye37_Thumbnail_SublimeBone.png
greengrass_dye;1;@greengrass_dye_name;@greengrass_dye_description;LyShineUI/Images/mtx/mtx_product_images/dye90_Portrait_GreenGrass.png;LyShineUI/Images/mtx/mtx_product_images/dye90_Rectangle_GreenGrass.png;LyShineUI/Images/mtx/mtx_product_images/dye90_Square_GreenGrass.png;LyShineUI/Images/mtx/mtx_product_images/dye90_Thumbnail_GreenGrass.png
Icon_Crest_Pack_Merriment;1;@Icon_Crest_Pack_Merriment_name;@Icon_Crest_Pack_Merriment_description;LyShineUI/Images/mtx/mtx_product_images/crestPack_Portrait_Merriment.png;LyShineUI/Images/mtx/mtx_product_images/crestPack_Rectangle_Merriment.png;LyShineUI/Images/mtx/mtx_product_images/crestPack_Square_Merriment.png;LyShineUI/Images/mtx/mtx_product_images/crestPack_Thumbnail_Merriment.png
EntitlementSkin_Medium_Angel;1;@EntitlementSkin_Medium_Angel_name;@EntitlementSkin_Medium_Angel_description;LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_AegisOfProvidence.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_AegisOfProvidence.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_AegisOfProvidence.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_AegisOfProvidence.png
EntitlementSkin_AnglesDemon_WarHammer;1;@EntitlementSkin_AnglesDemon_WarHammer_name;@EntitlementSkin_AnglesDemon_WarHammer_description;LyShineUI/Images/mtx/mtx_product_images/weapon_Portrait_DestroyersWrath.png;LyShineUI/Images/mtx/mtx_product_images/weapon_Rectangle_DestroyersWrath.png;LyShineUI/Images/mtx/mtx_product_images/weapon_Square_DestroyersWrath.png;LyShineUI/Images/mtx/mtx_product_images/weapon_Thumbnail_DestroyersWrath.png
galaxy_rabbit;1;@galaxy_rabbit_name;@galaxy_rabbit_description;LyShineUI/Images/mtx/mtx_product_images/pet_Portrait_GalaxyHare.png;LyShineUI/Images/mtx/mtx_product_images/pet_Rectangle_GalaxyHare.png;LyShineUI/Images/mtx/mtx_product_images/pet_Square_GalaxyHare.png;LyShineUI/Images/mtx/mtx_product_images/pet_Thumbnail_GalaxyHare.png
eyesonyou;1;@eyesonyou_name;@eyesonyou_description;lyshineui/images/mtx/mtx_product_images/emote_Portrait_EyesOnYou.png;lyshineui/images/mtx/mtx_product_images/emote_Rectangle_EyesOnYou.png;lyshineui/images/mtx/mtx_product_images/emote_Square_EyesOnYou.png;lyshineui/images/mtx/mtx_product_images/emote_Thumbnail_EyesOnYou.png
rouge_dye;1;@rouge_dye_name;@rouge_dye_description;LyShineUI/Images/mtx/mtx_product_images/dye55_Portrait_Rouge.png;LyShineUI/Images/mtx/mtx_product_images/dye55_Rectangle_Rouge.png;LyShineUI/Images/mtx/mtx_product_images/dye55_Square_Rouge.png;LyShineUI/Images/mtx/mtx_product_images/dye55_Thumbnail_Rouge.png
hiddenstream_dye;1;@hiddenstream_dye_name;@hiddenstream_dye_description;LyShineUI/Images/mtx/mtx_product_images/dye104_Portrait_HiddenStream.png;LyShineUI/Images/mtx/mtx_product_images/dye104_Rectangle_HiddenStream.png;LyShineUI/Images/mtx/mtx_product_images/dye104_Square_HiddenStream.png;LyShineUI/Images/mtx/mtx_product_images/dye104_Thumbnail_HiddenStream.png
Icon_Crest_Pack_Smugglers;1;@Icon_Crest_Pack_Smugglers_name;@Icon_Crest_Pack_Smugglers_description;LyShineUI/Images/mtx/mtx_product_images/crestPack_Portrait_Smugglers.png;LyShineUI/Images/mtx/mtx_product_images/crestPack_Rectangle_Smugglers.png;LyShineUI/Images/mtx/mtx_product_images/crestPack_Square_Smugglers.png;LyShineUI/Images/mtx/mtx_product_images/crestPack_Thumbnail_Smugglers.png
butterflywing_dye;1;@butterflywing_dye_name;@butterflywing_dye_description;LyShineUI/Images/mtx/mtx_product_images/dye118_Portrait_ButterflyWing.png;LyShineUI/Images/mtx/mtx_product_images/dye118_Rectangle_ButterflyWing.png;LyShineUI/Images/mtx/mtx_product_images/dye118_Square_ButterflyWing.png;LyShineUI/Images/mtx/mtx_product_images/dye118_Thumbnail_ButterflyWing.png
EntitlementSkin_GreatAxe_FenrirsFury;1;@fenrirsfury_name;@fenrirsfury_description;LyShineUI/Images/mtx/mtx_product_images/weapon_Portrait_FenrirsFury.png;LyShineUI/Images/mtx/mtx_product_images/weapon_Rectangle_FenrirsFury.png;LyShineUI/Images/mtx/mtx_product_images/weapon_Square_FenrirsFury.png;LyShineUI/Images/mtx/mtx_product_images/weapon_Thumbnail_FenrirsFury.png
agelessbronze_dye;1;@ageless_bronze_dye_name;@ageless_bronze_description;LyShineUI/Images/mtx/mtx_product_images/dye62_Portrait_AgelessBronze.png;LyShineUI/Images/mtx/mtx_product_images/dye62_Rectangle_AgelessBronze.png;LyShineUI/Images/mtx/mtx_product_images/dye62_Square_AgelessBronze.png;LyShineUI/Images/mtx/mtx_product_images/dye62_Thumbnail_AgelessBronze.png
EntitlementSkin_Light_Demon;1;@EntitlementSkin_Light_Demon_name;@EntitlementSkin_Light_Demon_description;LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_CambionHusk.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_CambionHusk.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_CambionHusk.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_CambionHusk.png
twitch_pirate_itemskin;1;@twitch_pirate_itemskin_name;@twitch_pirate_itemskin_description;LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_Pirate.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_Pirate.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_Pirate.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_Pirate.png
EntitlementSkin_Heavy_Angel;1;@EntitlementSkin_Heavy_Angel_name;@EntitlementSkin_Heavy_Angel_description;LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_RighteousGuardian.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_RighteousGuardian.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_RighteousGuardian.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_RighteousGuardian.png
twitch_robinhood_itemskin;0;@twitch_robinhood_itemskin_name;@twitch_robinhood_itemskin_description;LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_Robinhood.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_Robinhood.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_Robinhood.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_Robinhood.png
runic_bear;1;@runic_bear_name;@runic_bear_description;LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_RunicBear.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_RunicBear.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_RunicBear.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_RunicBear.png
runic_fox;1;@runic_fox_name;@runic_fox_description;LyShineUI/Images/mtx/mtx_product_images/armorSet_Portrait_RunicFox.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Rectangle_RunicFox.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Square_RunicFox.png;LyShineUI/Images/mtx/mtx_product_images/armorSet_Thumbnail_RunicFox.png
