TerritoryID;NameLocalizationKey;BaseStructureLimit;MaxStructureLimit;TerritoryScore;IsPOI;MapIcon;CompassIcon;DiscoveryRadius;IsDiscoverable;IsChartable;DefaultAchievement;Grade;LootTags;DiscoveredAchievement;ChartedAchievement;AudioGroup;AudioState;RecommendedLevel;MaximumLevel;CanPlaceCamp;ObjectiveID;IsTerritory;FactionControlBuff;FactionControlTerritoryBuffs;PermanentOwnershipAchievementId;TerritoryStandingXpModifier;PoiDiscoveryXpModifier
1;;300;500;1;false;;;;;;;;;;;Music_Territory;0;0;0;true;;false;None;None;;0;0
2;@Brightwood;300;500;1;false;;;;;;;;Brightwood;;;Music_Territory;Brightwoods;26;35;true;;true;Taxes_Housing_Modifier;InfluencePoints_Modifier,ExperiencePoints_Modifier;TerritoryPermanentOwner02;1.25;150
3;@GreatCleave;300;500;1;false;;;;;;;;GreatCleave;;;Music_Territory;Great_Cleave;41;50;true;;true;None;None;;1.25;200
4;@Everfall;300;500;1;false;;;;;;;;Everfall;;;Music_Territory;Everfall;1;25;true;04_getoffbeach;true;Taxes_Trading_Modifier;InfluencePoints_Modifier,ExperiencePoints_Modifier;TerritoryPermanentOwner04;1.25;75
5;@Reekwater;300;500;0;false;;;;;;;;Reekwater;;;Music_Territory;Reekwater;58;66;true;;true;Taxes_Crafting_Modifier;InfluencePoints_Modifier,ExperiencePoints_Modifier;TerritoryPermanentOwner05;1.25;400
6;@Windsward;300;500;0;false;;;;;;;;Windsward;;;Music_Territory;Windsward;1;25;true;06_getoffbeach;true;Gathering_Volume_Modifier;InfluencePoints_Modifier,ExperiencePoints_Modifier;TerritoryPermanentOwner06;1.25;75
7;@ShatteredMountain;300;500;0;false;;;;;;;;Shattered;;;Music_Territory;Shattered_Mountain;60;65;true;;true;None;None;;1.25;400
8;@Queensport;300;500;0;false;;;;;;;;Queensport;;;Music_Territory;Queensport;0;0;true;;true;Taxes_Refining_Modifier;InfluencePoints_Modifier,ExperiencePoints_Modifier;TerritoryPermanentOwner08;1.25;400
9;@FirstLight;300;500;0;false;;;;;;;;FirstLight;;;Music_Territory;First_Light;1;25;true;09_getoffbeach;true;Azoth_FastTravel_Weight_Reduction;InfluencePoints_Modifier,ExperiencePoints_Modifier;TerritoryPermanentOwner09;1.25;75
10;@CutlassKeys;300;500;0;false;;;;;;;;CutlassKeys;;;Music_Territory;Cutlass Keys;26;35;true;;true;Azoth_FastTravel_GeneralCost_Reduction;InfluencePoints_Modifier,ExperiencePoints_Modifier;TerritoryPermanentOwner10;1.25;150
11;@Mourningdale;300;500;0;false;;;;;;;;Mourning;;;Music_Territory;Mourningdale;45;50;true;;true;Rewards_Expedition_Modifier;InfluencePoints_Modifier,ExperiencePoints_Modifier;TerritoryPermanentOwner11;1.25;200
12;@MonarchsBluffs;300;500;0;false;;;;;;;;Monarchs;;;Music_Territory;Monarchs_Bluffs;1;25;true;12_getoffbeach;true;Azoth_FastTravel_Distance_Reduction;InfluencePoints_Modifier,ExperiencePoints_Modifier;TerritoryPermanentOwner12;1.25;75
