Level;UpkeepCost;LevelStipend;IntervalStipend;IntervalEarningsCap;CapModifier;NumberOfUpgradesRegressed;WardecCost;TradingPostLevel
0;10000;0;0;100000000;1;0;1000000;0
1;20000;0;0;100000000;1;0;1000000;0
2;30000;0;0;100000000;1.024999976158142;0;1000000;0
3;40000;0;0;100000000;1.0499999523162842;0;1000000;1
4;50000;0;0;100000000;1.0750000476837158;0;1000000;1
5;60000;0;0;100000000;1.100000023841858;0;1000000;1
6;70000;0;0;100000000;1.125;0;1000000;2
7;80000;0;0;100000000;1.149999976158142;0;1000000;2
8;90000;0;0;100000000;1.1749999523162842;0;1000000;2
9;100000;0;0;100000000;1.2000000476837158;0;1000000;3
10;200000;0;0;100000000;1.225000023841858;0;1000000;3
11;300000;0;0;100000000;1.25;1;1000000;3
12;400000;0;0;100000000;1.274999976158142;1;1000000;3
13;500000;0;0;100000000;1.2999999523162842;1;1000000;3
14;600000;0;0;100000000;1.3250000476837158;1;1000000;3
15;700000;0;0;100000000;1.350000023841858;1;1000000;3
16;800000;0;0;100000000;1.375;2;1000000;3
17;900000;0;0;100000000;1.399999976158142;2;1000000;3
18;1000000;0;0;100000000;1.4249999523162842;2;1000000;3
19;1250000;0;0;100000000;1.4500000476837158;2;1000000;3
20;1500000;0;0;100000000;1.475000023841858;2;1000000;3
21;1750000;0;0;100000000;1.5;3;1000000;3
22;2000000;0;0;100000000;1.524999976158142;3;1000000;3
23;2250000;0;0;100000000;1.5499999523162842;3;1000000;3
24;2500000;0;0;100000000;1.5750000476837158;3;1000000;3
25;3000000;0;0;100000000;1.600000023841858;3;1000000;3
26;3500000;0;0;100000000;1.625;4;1000000;3
27;4000000;0;0;100000000;1.649999976158142;4;1000000;3
28;4500000;0;0;100000000;1.6749999523162842;4;1000000;3
29;5000000;0;0;100000000;1.7000000476837158;4;1000000;3
30;10000000;0;0;100000000;1.725000023841858;5;1000000;3
31;11000000;0;0;100000000;1.75;5;1000000;3
32;12000000;0;0;100000000;1.774999976158142;5;1000000;3
33;13000000;0;0;100000000;1.7999999523162842;6;1000000;3
34;14000000;0;0;100000000;1.8250000476837158;6;1000000;3
35;15000000;0;0;100000000;1.850000023841858;6;1000000;3
36;16000000;0;0;100000000;2.8499999046325684;7;1000000;3
37;17000000;0;0;100000000;3.8499999046325684;7;1000000;3
38;18000000;0;0;100000000;4.849999904632568;7;1000000;3
39;19000000;0;0;100000000;5.849999904632568;8;1000000;3
40;19000000;0;0;100000000;6.849999904632568;8;1000000;3
41;19000000;0;0;100000000;7.849999904632568;8;1000000;3
42;19000000;0;0;100000000;8.850000381469727;8;1000000;3
43;19000000;0;0;100000000;9.850000381469727;8;1000000;3
44;19000000;0;0;100000000;10.850000381469727;8;1000000;3
45;19000000;0;0;100000000;11.850000381469727;8;1000000;3
