Level;DisplayName;RequiredLevel;MaximumInfluence;InfluenceCost;CurrencyCost;SanityCheck;GameEventId;RecipeLevel;RollBonus;GatheringMultiplier;GatheringEfficiency;IconTypeUnlock;IsMilestone;Tooltip;EntitlementId;XpReward
0;;0;100;0;0;false;;0;0;0;0;;false;;;0
1;;0;105;100;0;true;;0;10;0;0.05000000074505806;;false;;;10
2;;0;110;105;0;true;;0;20;0;0.10000000149011612;;false;;;11
3;;0;115;110;0;true;;0;30;0;0.15000000596046448;;false;;;12
4;;0;120;115;0;true;;0;40;0;0.20000000298023224;;false;;;13
5;;0;125;120;0;true;;0;50;0;0.25;;false;;;14
6;;0;131;125;0;true;;0;60;0;0.30000001192092896;;false;;;15
7;;0;137;131;0;true;;0;70;0;0.3499999940395355;;false;;;16
8;;0;143;137;0;true;;0;80;0;0.4000000059604645;;false;;;17
9;;0;149;143;0;true;;0;90;0;0.44999998807907104;;false;;;18
10;;0;155;149;0;true;;0;100;0;0.5;;false;Proficient Harvester;;19
11;;0;162;155;0;true;;0;110;0;0.550000011920929;;false;;;20
12;;0;169;162;0;true;;0;120;0;0.6000000238418579;;false;;;21
13;;0;176;169;0;true;;0;130;0;0.6499999761581421;;false;;;22
14;;0;183;176;0;true;;0;140;0;0.699999988079071;;false;;;23
15;;0;191;183;0;true;;0;150;0;0.75;;false;;;24
16;;0;199;191;0;true;;0;160;0;0.800000011920929;;false;;;26
17;;0;207;199;0;true;;0;170;0;0.8500000238418579;;false;;;28
18;;0;215;207;0;true;;0;180;0;0.8999999761581421;;false;;;30
19;;0;224;215;0;true;;0;190;0;0.949999988079071;;false;;;32
20;@ui_farmplants;0;233;224;0;true;;0;200;0;1;FarmPlants;false;;;34
21;;0;242;233;0;true;;0;210;0;1.003000020980835;;false;;;36
22;;0;252;242;0;true;;0;220;0;1.00600004196167;;false;;;38
23;;0;262;252;0;true;;0;230;0;1.0089999437332153;;false;;;40
24;;0;272;262;0;true;;0;240;0;1.0119999647140503;;false;;;42
25;@ui_hemp;0;282;272;0;true;;0;250;0;1.0149999856948853;Hemp;false;;;44
26;;0;293;282;0;true;;0;260;0;1.0180000066757202;;false;;;46
27;;0;304;293;0;true;;0;270;0;1.0210000276565552;;false;;;48
28;;0;315;304;0;true;;0;280;0;1.0240000486373901;;false;;;50
29;;0;327;315;0;true;;0;290;0;1.0269999504089355;;false;;;52
30;;0;339;327;0;true;;0;300;0;1.0299999713897705;;false;Gather Alchemy Plants;;54
31;;0;351;339;0;true;;0;310;0;1.0329999923706055;;false;;;56
32;;0;364;351;0;true;;0;320;0;1.0360000133514404;;false;;;58
33;;0;377;364;0;true;;0;330;0;1.0390000343322754;;false;;;60
