Level;DisplayName;RequiredLevel;MaximumInfluence;InfluenceCost;CurrencyCost;SanityCheck;GameEventId;RecipeLevel;RollBonus;GatheringMultiplier;GatheringEfficiency;IconTypeUnlock;IsMilestone;Tooltip;EntitlementId;XpReward
0;;0;100;0;0;false;;0;0;0;0;;false;;;0
1;;0;106;100;0;true;;0;10;0;0.05000000074505806;;false;;;5
2;;0;112;106;0;true;;0;20;0;0.10000000149011612;;false;;;6
3;;0;118;112;0;true;;0;30;0;0.15000000596046448;;false;;;6
4;;0;124;118;0;true;;0;40;0;0.20000000298023224;;false;;;7
5;;0;131;124;0;true;;0;50;0;0.25;;false;;;7
6;;0;138;131;0;true;;0;60;0;0.30000001192092896;;false;;;8
7;;0;145;138;0;true;;0;70;0;0.3499999940395355;;false;;;8
8;;0;153;145;0;true;;0;80;0;0.4000000059604645;;false;;;9
9;;0;161;153;0;true;;0;90;0;0.44999998807907104;;false;;;9
10;;0;169;161;0;true;;0;100;0;0.5;;false;Proficient Logger;;10
11;;0;178;169;0;true;;0;110;0;0.550000011920929;;false;;;10
12;;0;187;178;0;true;;0;120;0;0.6000000238418579;;false;;;11
13;;0;197;187;0;true;;0;130;0;0.6499999761581421;;false;;;11
14;;0;207;197;0;true;;0;140;0;0.699999988079071;;false;;;12
15;;0;217;207;0;true;;0;150;0;0.75;;false;;;12
16;;0;228;217;0;true;;0;160;0;0.800000011920929;;false;;;13
17;;0;239;228;0;true;;0;170;0;0.8500000238418579;;false;;;14
18;;0;251;239;0;true;;0;180;0;0.8999999761581421;;false;;;15
19;;0;263;251;0;true;;0;190;0;0.949999988079071;;false;;;16
20;;0;276;263;0;true;;0;200;0;1;;false;;;17
21;;0;289;276;0;true;;0;210;0;1.003000020980835;;false;;;18
22;;0;303;289;0;true;;0;220;0;1.00600004196167;;false;;;19
23;;0;317;303;0;true;;0;230;0;1.0089999437332153;;false;;;20
24;;0;332;317;0;true;;0;240;0;1.0119999647140503;;false;;;21
25;;0;348;332;0;true;;0;250;0;1.0149999856948853;;false;;;22
26;;0;364;348;0;true;;0;260;0;1.0180000066757202;;false;;;23
27;;0;381;364;0;true;;0;270;0;1.0210000276565552;;false;;;24
28;;0;398;381;0;true;;0;280;0;1.0240000486373901;;false;;;25
29;;0;416;398;0;true;;0;290;0;1.0269999504089355;;false;;;26
30;;0;435;416;0;true;;0;300;0;1.0299999713897705;;false;;;27
31;;0;454;435;0;true;;0;310;0;1.0329999923706055;;false;;;28
32;;0;474;454;0;true;;0;320;0;1.0360000133514404;;false;;;29
33;;0;495;474;0;true;;0;330;0;1.0390000343322754;;false;;;30
34;;0;517;495;0;true;;0;340;0;1.0420000553131104;;false;;;31
35;;0;539;517;0;true;;0;350;0;1.0449999570846558;;false;;;32
36;;0;562;539;0;true;;0;360;0;1.0479999780654907;;false;;;33
37;;0;586;562;0;true;;0;370;0;1.0509999990463257;;false;;;34
38;;0;611;586;0;true;;0;380;0;1.0540000200271606;;false;;;35
39;;0;636;611;0;true;;0;390;0;1.0570000410079956;;false;;;36
40;;0;662;636;0;true;;0;400;0;1.059999942779541;;false;;;37
41;;0;689;662;0;true;;0;410;0;1.062999963760376;;false;;;39
42;;0;717;689;0;true;;0;420;0;1.065999984741211;;false;;;40
