Level;DisplayName;RequiredLevel;MaximumInfluence;InfluenceCost;CurrencyCost;SanityCheck;GameEventId;RecipeLevel;RollBonus;GatheringMultiplier;GatheringEfficiency;IconTypeUnlock;IsMilestone;Tooltip;EntitlementId;XpReward
0;;0;100;0;0;false;;0;0;0;0;;false;Mine Boulders, Iron;;0
1;;0;105;100;0;true;;0;10;0;0.05000000074505806;;false;;;10
2;;0;110;105;0;true;;0;20;0;0.10000000149011612;;false;;;11
3;;0;115;110;0;true;;0;30;0;0.15000000596046448;;false;;;12
4;;0;120;115;0;true;;0;40;0;0.20000000298023224;;false;;;13
5;;0;125;120;0;true;;0;50;0;0.25;;false;;;14
6;;0;130;125;0;true;;0;60;0;0.30000001192092896;;false;;;15
7;;0;136;130;0;true;;0;70;0;0.3499999940395355;;false;;;16
8;;0;142;136;0;true;;0;80;0;0.4000000059604645;;false;;;17
9;;0;148;142;0;true;;0;90;0;0.44999998807907104;;false;;;18
10;;0;154;148;0;true;;0;100;0;0.5;;false;Proficient Miner;;19
11;;0;160;154;0;true;;0;110;0;0.550000011920929;;false;;;20
12;;0;167;160;0;true;;0;120;0;0.6000000238418579;;false;;;21
13;;0;174;167;0;true;;0;130;0;0.6499999761581421;;false;;;22
14;;0;181;174;0;true;;0;140;0;0.699999988079071;;false;;;23
15;;0;188;181;0;true;;0;150;0;0.75;;false;Mine Silver;;24
16;;0;196;188;0;true;;0;160;0;0.800000011920929;;false;;;26
17;;0;204;196;0;true;;0;170;0;0.8500000238418579;;false;;;28
18;;0;212;204;0;true;;0;180;0;0.8999999761581421;;false;;;30
19;;0;220;212;0;true;;0;190;0;0.949999988079071;;false;;;32
20;;0;229;220;0;true;;0;200;0;1;;false;Mine Seeping Stone;;34
21;;0;238;229;0;true;;0;210;0;1.003000020980835;;false;;;36
22;;0;247;238;0;true;;0;220;0;1.00600004196167;;false;;;38
23;;0;256;247;0;true;;0;230;0;1.0089999437332153;;false;;;40
24;;0;266;256;0;true;;0;240;0;1.0119999647140503;;false;;;42
25;@ui_iron;0;276;266;0;true;;0;250;0;1.0149999856948853;Iron;false;Detect Iron;;44
26;;0;286;276;0;true;;0;260;0;1.0180000066757202;;false;;;46
27;;0;297;286;0;true;;0;270;0;1.0210000276565552;;false;;;48
28;;0;308;297;0;true;;0;280;0;1.0240000486373901;;false;;;50
29;;0;319;308;0;true;;0;290;0;1.0269999504089355;;false;;;52
30;;0;331;319;0;true;;0;300;0;1.0299999713897705;;false;;;54
31;;0;343;331;0;true;;0;310;0;1.0329999923706055;;false;;;56
32;;0;355;343;0;true;;0;320;0;1.0360000133514404;;false;;;58
33;;0;368;355;0;true;;0;330;0;1.0390000343322754;;false;;;60
34;;0;381;368;0;true;;0;340;0;1.0420000553131104;;false;;;62
35;@ui_silver;0;394;381;0;true;;0;350;0;1.0449999570846558;Silver;false;;;64
36;;0;408;394;0;true;;0;360;0;1.0479999780654907;;false;;;66
37;;0;422;408;0;true;;0;370;0;1.0509999990463257;;false;;;68
38;;0;436;422;0;true;;0;380;0;1.0540000200271606;;false;;;70
39;;0;451;436;0;true;;0;390;0;1.0570000410079956;;false;;;72
40;;0;466;451;0;true;;0;400;0;1.059999942779541;;false;;;74
41;;0;481;466;0;true;;0;410;0;1.062999963760376;;false;;;77
42;;0;497;481;0;true;;0;420;0;1.065999984741211;;false;;;80
43;;0;513;497;0;true;;0;430;0;1.069000005722046;;false;;;83
44;;0;529;513;0;true;;0;440;0;1.0720000267028809;;false;;;86
45;@ui_oil;0;546;529;0;true;;0;450;0;1.0750000476837158;Oil;false;Detect Seeping Stones;;89
46;;0;563;546;0;true;;0;460;0;1.0779999494552612;;false;;;92
47;;0;580;563;0;true;;0;470;0;1.0809999704360962;;false;;;95
48;;0;598;580;0;true;;0;480;0;1.0839999914169312;;false;;;98
49;;0;616;598;0;true;;0;490;0;1.0870000123977661;;false;;;101
50;;0;634;616;0;true;;0;500;0;1.090000033378601;;false;Detect Silver;;104
51;;0;653;634;0;true;;0;510;0;1.093000054359436;;false;;;108
52;;0;672;653;0;true;;0;520;0;1.0959999561309814;;false;;;112
53;;0;691;672;0;true;;0;530;0;1.0989999771118164;;false;;;116
54;;0;711;691;0;true;;0;540;0;1.1019999980926514;;false;;;120
55;;0;731;711;0;true;;0;550;0;1.1050000190734863;;false;;;124
56;;0;752;731;0;true;;0;560;0;1.1080000400543213;;false;;;128
57;;0;773;752;0;true;;0;570;0;1.1109999418258667;;false;;;132
58;;0;794;773;0;true;;0;580;0;1.1139999628067017;;false;;;136
59;;0;816;794;0;true;;0;590;0;1.1169999837875366;;false;;;140
60;;0;838;816;0;true;;0;600;0;1.1200000047683716;;false;;;144
61;;0;860;838;0;true;;0;610;0;1.1230000257492065;;false;;;148
62;;0;883;860;0;true;;0;620;0;1.1260000467300415;;false;;;152
63;;0;906;883;0;true;;0;630;0;1.128999948501587;;false;;;156
64;;0;930;906;0;true;;0;640;0;1.1319999694824219;;false;;;160
65;;0;954;930;0;true;;0;650;0;1.1349999904632568;;false;;;164
66;;0;978;954;0;true;;0;660;0;1.1380000114440918;;false;;;168
67;;0;1003;978;0;true;;0;670;0;1.1410000324249268;;false;;;172
68;;0;1028;1003;0;true;;0;680;0;1.1440000534057617;;false;;;176
69;;0;1053;1028;0;true;;0;690;0;1.1469999551773071;;false;;;180
70;@ui_gold;0;1079;1053;0;true;;0;700;0;1.149999976158142;Gold;false;;;184
