Level;DisplayName;RequiredLevel;MaximumInfluence;InfluenceCost;CurrencyCost;SanityCheck;GameEventId;RecipeLevel;RollBonus;GatheringMultiplier;GatheringEfficiency;MaxGatherableLevel;IconTypeUnlock;GatherableLevelModifier;%Increase;Intensify;EntitlementId;XpReward
0;;0;100;0;0;false;;0;0;0;0;10;;0;0;0;;0
1;;0;110;100;0;true;;0;10;0;0.05000000074505806;10;;1;0.05000000074505806;1;;5
2;;0;120;110;0;true;;0;20;0;0.10000000149011612;10;;1.0499999523162842;0.05014999955892563;1.003000020980835;;6
3;;0;130;120;0;true;;0;30;0;0.15000000596046448;10;;1.1026575565338135;0.05028540641069412;1.0026999711990356;;6
4;;0;140;130;0;true;;0;40;0;0.20000000298023224;10;;1.1581051349639893;0.050406090915203094;1.0024000406265259;;7
5;;0;150;140;0;true;;0;50;0;0.25;10;;1.2164806127548218;0.05051194131374359;1.0020999908447266;;7
6;;0;160;150;0;true;;0;60;0;0.30000001192092896;10;;1.2779273986816406;0.05060286447405815;1.0017999410629272;;8
7;;0;170;160;0;true;;0;70;0;0.3499999940395355;10;;1.3425942659378052;0.05067876726388931;1.0015000104904175;;8
8;;0;180;170;0;true;;0;80;0;0.4000000059604645;10;;1.410635232925415;0.050739582628011703;1.0011999607086182;;9
9;;0;190;180;0;true;;0;90;0;0.44999998807907104;10;;1.4822102785110474;0.05078524723649025;1.0009000301361084;;9
10;;0;200;190;0;true;;0;100;0;0.5;15;;1.557484745979309;0.05081572011113167;1.000599980354309;;10
11;;0;210;200;0;true;;0;110;0;0.550000011920929;15;;1.6366294622421265;0.050830963999032974;1.0003000497817993;;10
12;;0;220;210;0;true;;0;120;0;0.6000000238418579;15;;1.7198208570480347;0.050830963999032974;1;;11
13;;0;230;220;0;true;;0;130;0;0.6499999761581421;15;;1.8072409629821777;0.05081571638584137;0.9997000098228455;;11
14;;0;240;230;0;true;;0;140;0;0.699999988079071;15;;1.899077296257019;0.05078522488474846;0.9994000196456909;;12
15;;0;250;240;0;true;;0;150;0;0.75;15;;1.995522379875183;0.05073951929807663;0.9991000294685364;;12
16;;0;260;250;0;true;;0;160;0;0.800000011920929;15;;2.096774101257324;0.05067863315343857;0.9987999796867371;;13
17;;0;270;260;0;true;;0;170;0;0.8500000238418579;15;;2.203035831451416;0.050602614879608154;0.9984999895095825;;14
18;;0;280;270;0;true;;0;180;0;0.8999999761581421;15;;2.3145151138305664;0.05051152780652046;0.998199999332428;;15
