VariantID;StartMesh;StartMat;GatherableEntryID;GatheringRadius;InteractionRadius;DetectableRadius;DepletedVFX;DepletedVFX_Pos;DepletedMesh;DepletedMat;DepletedSpawnVariant;StartMeshLOD;AmbientType;ShowOnCompass;CompassIcon;TradeskillIconUnlockType;MarkerRadius;AllowGatheringInGameModes;InteractionMarker_Offset_X;InteractionMarker_Offset_Y;InteractionMarker_Offset_Z
BeechTree_a;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_a.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;TreeHardwoodLarge;0.8500000238418579;2.5;2;Gatherable_Tree.Demolish.Break_Tree_A;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_a.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;BeechTree_a_cuttrunk;50;BeechTree;0;;;4;;0;0;0
BeechTree_b;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_b.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;TreeHardwoodLarge;0.44999998807907104;2.200000047683716;2;Gatherable_Tree.Demolish.Break_Tree_C;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_b.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;BeechTree_b_cuttrunk;60;BeechTree;0;;;3.700000047683716;;0;0;0
BeechTree_ba;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_ba.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;TreeHardwoodMedium;0.25;2.200000047683716;2;Gatherable_Tree.Demolish.Break_Tree_C;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_ba.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;BeechTree_ba_cuttrunk;55;BeechTree;0;;;3.700000047683716;;0;0;0
BeechTree_ca;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_ca.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;TreeHardwoodMedium;0.1599999964237213;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_E;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_ca.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;BeechTree_ca_cuttrunk;55;BeechTree;0;;;3.299999952316284;;0;0;0
BeechTree_cb;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_cb.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;TreeHardwoodSmall;0.10000000149011612;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_E;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_cb.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;BeechTree_cb_cuttrunk;50;BeechTree;0;;;3.299999952316284;;0;0;0
BeechTree_cc;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_cc.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;TreeHardwoodSmall;0.10000000149011612;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_E;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_cc.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;BeechTree_cc_cuttrunk;45;BeechTree;0;;;3.299999952316284;;0;0;0
BeechTree_cd;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_cd.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;TreeHardwoodSmall;0.11999999731779099;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_E;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_cd.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;BeechTree_cd_cuttrunk;50;BeechTree;0;;;3.299999952316284;;0;0;0
BeechTree_d;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_d.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;TreeHardwoodSmall;0.07999999821186066;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_F;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_d.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;BeechTree_d_cuttrunk;50;BeechTree;0;;;3.299999952316284;;0;0;0
BeechTree_e;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_e.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;TreeHardwoodTiny;0.009999999776482582;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_F;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_e.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl;BeechTree_e_cuttrunk;50;BeechTree;0;;;3.299999952316284;;0;0;0
DamnedTree_a;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_a.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;TreeWithered;0.8500000238418579;2.5;2;Gatherable_Tree.Demolish.Break_Tree_A;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_a.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;DamnedTree_a_cuttrunk;50;DeadTree;0;;;4;;0;0;0
DamnedTree_dead_a;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_dead_a.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;TreeWithered;0.8500000238418579;2.5;2;Gatherable_Tree.Demolish.Break_Tree_C;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_dead_stump_a.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;DamnedTree_Dead_A_cuttrunk;50;DeadTree;0;;;4;;0;0;0
DamnedTree_b;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_b.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;TreeWithered;0.44999998807907104;2.200000047683716;2;Gatherable_Tree.Demolish.Break_Tree_B;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_b.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;DamnedTree_b_cuttrunk;60;DeadTree;0;;;3.700000047683716;;0;0;0
DamnedTree_dead_b;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_dead_b.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;TreeWithered;0.44999998807907104;2.200000047683716;2;Gatherable_Tree.Demolish.Break_Tree_D;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_dead_stump_b.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;DamnedTree_Dead_B_cuttrunk;60;DeadTree;0;;;3.700000047683716;;0;0;0
DamnedTree_ba;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_ba.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;TreeWithered;0.25;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_C;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_ba.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;DamnedTree_ba_cuttrunk;55;DeadTree;0;;;3.299999952316284;;0;0;0
DamnedTree_bb;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_bb.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;TreeWithered;0.25;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_C;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_bb.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;DamnedTree_bb_cuttrunk;55;DeadTree;0;;;3.299999952316284;;0;0;0
DamnedTree_c;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_c.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;TreeWithered;0.1599999964237213;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_E;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_c.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;DamnedTree_c_cuttrunk;55;DeadTree;0;;;3.299999952316284;;0;0;0
DamnedTree_ca;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_ca.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;TreeWithered;0.10000000149011612;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_E;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_ca.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;DamnedTree_ca_cuttrunk;50;DeadTree;0;;;3.299999952316284;;0;0;0
DamnedTree_cb;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_cb.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;TreeWithered;0.10000000149011612;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_E;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_cb.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;DamnedTree_cb_cuttrunk;45;DeadTree;0;;;3.299999952316284;;0;0;0
DamnedTree_d;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_d.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;TreeWithered;0.07999999821186066;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_E;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_d.cgf;Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl;DamnedTree_d_cuttrunk;50;DeadTree;0;;;3.299999952316284;;0;0;0
OakTree_a;Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_a.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl;TreeHardwoodHuge;2;4.199999809265137;2;Gatherable_Tree.Demolish.Break_Tree_A;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_stump_a.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl;OakTree_a_cuttrunk;190;OakTree;0;;;5.699999809265137;;0;0;0
OakTree_b;Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_b.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl;TreeHardwoodLarge;1;2.700000047683716;2;Gatherable_Tree.Demolish.Break_Tree_B;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_stump_b.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl;OakTree_b_cuttrunk;150;OakTree;0;;;4.199999809265137;;0;0;0
OakTree_c;Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_c.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl;TreeHardwoodLarge;0.6000000238418579;2.200000047683716;2;Gatherable_Tree.Demolish.Break_Tree_C;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_stump_c.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl;OakTree_c_cuttrunk;150;OakTree;0;;;3.700000047683716;;0;0;0
OakTree_d;Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_d.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl;TreeHardwoodMedium;0.4699999988079071;1.7999999523162842;2;Gatherable_Tree.Demolish.Break_Tree_D;0.699999988079071;Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_stump_d.cgf;Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl;OakTree_d_cuttrunk;150;OakTree;0;;;3.299999952316284;;0;0;0
