VitalsCategoryID;DisplayName;Icon;LocationHint;LocStringGenerationHelper;GroupVitalsCategoryId;IsNamed;IsDynamicPoiTarget;MtlOverride;FemaleMtlOverride
Alcazarian;@VC_Alcazarian;;;<string key="VC_Alcazarian">Alcazarian</string>;BASE;false;false;;
Alchemical;@VC_Alchemical;;;<string key="VC_Alchemical">Alchemical</string>;BASE;false;false;;
Aligator_Black_13WF07;@VC_Aligator_Black_13WF07;;;<string key="VC_Aligator_Black_13WF07">Aligator_Black_13WF07</string>;Upper;false;false;;
Alligator;@VC_Alligator;;;<string key="VC_Alligator">Alligator</string>;BASE;false;false;;
Alligator_13WF01;@VC_Alligator_13WF01;;;<string key="VC_Alligator_13WF01">Alligator_13WF01</string>;;false;false;;
Alligator_13WF02;@VC_Alligator_13WF02;;;<string key="VC_Alligator_13WF02">Alligator_13WF02</string>;;false;false;;
Alligator_Black_04NW11;@VC_Alligator_Black_04NW11;;;<string key="VC_Alligator_Black_04NW11">Alligator_Black_04NW11</string>;Salthollow;false;false;;
Alligator_Black_05WC11_ELITE;@VC_Alligator_Black_05WC11_ELITE;;;<string key="VC_Alligator_Black_05WC11_ELITE">Alligator_Black_05WC11_ELITE</string>;Elite_Sirensong;false;false;;
Alligator_Black_08QP02;@VC_Alligator_Black_08QP02;;;<string key="VC_Alligator_Black_08QP02">Alligator_Black_08QP02</string>;ThunderCradle;false;false;Objects\Characters\npc\natural\alligator\alligator_alt5_matgroup.mtl;
Alligator_Black_11MD01;@VC_Alligator_Black_11MD01;;;<string key="VC_Alligator_Black_11MD01">Alligator_Black_11MD01</string>;Flooded Plains;false;false;;
Alligator_Black_11MD01a;@VC_Alligator_Black_11MD01a;;;<string key="VC_Alligator_Black_11MD01a">Alligator_Black_11MD01a</string>;Flooded Plains;false;false;;
Alligator_Black_11MD02;@VC_Alligator_Black_11MD02;;;<string key="VC_Alligator_Black_11MD02">Alligator_Black_11MD02</string>;Inland Greens;false;false;;
Alligator_Black_12;@VC_Alligator_Black_12;;;<string key="VC_Alligator_Black_12">Alligator_Black_12</string>;Generic;false;false;;
Alligator_Black_13WF08;@VC_Alligator_Black_13WF08;;;<string key="VC_Alligator_Black_13WF08">Alligator_Black_13WF08</string>;Karburg;false;false;;
Alligator_Black_15EC01;@VC_Alligator_Black_15EC01;;;<string key="VC_Alligator_Black_15EC01">Alligator_Black_15EC01</string>;Karburg;false;false;;
Alligator_Black_15EC02;@VC_Alligator_Black_15EC02;;;<string key="VC_Alligator_Black_15EC02">Alligator_Black_15EC02</string>;Karburg;false;false;;
Alligator_Black_15EC04;@VC_Alligator_Black_15EC04;;;<string key="VC_Alligator_Black_15EC04">Alligator_Black_15EC04</string>;Karburg;false;false;;
Alligator_Black_16;@VC_Alligator_Black_16;;;<string key="VC_Alligator_Black_16">Alligator_Black_16</string>;Generic;false;false;;
Alligator_Black_26;@VC_Alligator_Black_26;;;<string key="VC_Alligator_Black_26">Alligator_Black_26</string>;Generic;false;false;;
Alligator_Black_27;@VC_Alligator_Black_27;;;<string key="VC_Alligator_Black_27">Alligator_Black_27</string>;Generic;false;false;;
Alligator_Black_28;@VC_Alligator_Black_28;;;<string key="VC_Alligator_Black_28">Alligator_Black_28</string>;Generic;false;false;;
Alligator_Black_29;@VC_Alligator_Black_29;;;<string key="VC_Alligator_Black_29">Alligator_Black_29</string>;Generic;false;false;;
Alligator_Black_30;@VC_Alligator_Black_30;;;<string key="VC_Alligator_Black_30">Alligator_Black_30</string>;Generic;false;false;;
Alligator_Black_31;@VC_Alligator_Black_31;;;<string key="VC_Alligator_Black_31">Alligator_Black_31</string>;Generic;false;false;;
Alligator_Black_32;@VC_Alligator_Black_32;;;<string key="VC_Alligator_Black_32">Alligator_Black_32</string>;Generic;false;false;;
Alligator_Black_33;@VC_Alligator_Black_33;;;<string key="VC_Alligator_Black_33">Alligator_Black_33</string>;Generic;false;false;;
Alligator_Black_34;@VC_Alligator_Black_34;;;<string key="VC_Alligator_Black_34">Alligator_Black_34</string>;Generic;false;false;;
Alligator_Black_35;@VC_Alligator_Black_35;;;<string key="VC_Alligator_Black_35">Alligator_Black_35</string>;Generic;false;false;;
Alligator_Black_36;@VC_Alligator_Black_36;;;<string key="VC_Alligator_Black_36">Alligator_Black_36</string>;Generic;false;false;;
Alligator_Black_37;@VC_Alligator_Black_37;;;<string key="VC_Alligator_Black_37">Alligator_Black_37</string>;Generic;false;false;;
Alligator_Black_38_15EC00;@VC_Alligator_Black_38_15EC00;;;<string key="VC_Alligator_Black_38_15EC00">Alligator_Black_38_15EC00</string>;;false;false;;
Alligator_Black_39;@VC_Alligator_Black_39;;;<string key="VC_Alligator_Black_39">Alligator_Black_39</string>;Generic;false;false;;
Alligator_Black_40_15EC00;@VC_Alligator_Black_40_15EC00;;;<string key="VC_Alligator_Black_40_15EC00">Alligator_Black_40_15EC00</string>;;false;false;;
Alligator_Black_41;@VC_Alligator_Black_41;;;<string key="VC_Alligator_Black_41">Alligator_Black_41</string>;Generic;false;false;;
Alligator_Black_42;@VC_Alligator_Black_42;;;<string key="VC_Alligator_Black_42">Alligator_Black_42</string>;Generic;false;false;;
Alligator_Black_43;@VC_Alligator_Black_43;;;<string key="VC_Alligator_Black_43">Alligator_Black_43</string>;Generic;false;false;;
Alligator_Black_44;@VC_Alligator_Black_44;;;<string key="VC_Alligator_Black_44">Alligator_Black_44</string>;Generic;false;false;;
Alligator_Black_45;@VC_Alligator_Black_45;;;<string key="VC_Alligator_Black_45">Alligator_Black_45</string>;Generic;false;false;;
Alligator_Black_46;@VC_Alligator_Black_46;;;<string key="VC_Alligator_Black_46">Alligator_Black_46</string>;Generic;false;false;;
Alligator_Black_47;@VC_Alligator_Black_47;;;<string key="VC_Alligator_Black_47">Alligator_Black_47</string>;Generic;false;false;;
Alligator_Black_48;@VC_Alligator_Black_48;;;<string key="VC_Alligator_Black_48">Alligator_Black_48</string>;Generic;false;false;;
Alligator_Black_49;@VC_Alligator_Black_49;;;<string key="VC_Alligator_Black_49">Alligator_Black_49</string>;Generic;false;false;;
Alligator_Black_50;@VC_Alligator_Black_50;;;<string key="VC_Alligator_Black_50">Alligator_Black_50</string>;Generic;false;false;;
Alligator_Black_51;@VC_Alligator_Black_51;;;<string key="VC_Alligator_Black_51">Alligator_Black_51</string>;Generic;false;false;;
Alligator_Black_52;@VC_Alligator_Black_52;;;<string key="VC_Alligator_Black_52">Alligator_Black_52</string>;Generic;false;false;;
Alligator_Black_53;@VC_Alligator_Black_53;;;<string key="VC_Alligator_Black_53">Alligator_Black_53</string>;Generic;false;false;;
Alligator_Black_54;@VC_Alligator_Black_54;;;<string key="VC_Alligator_Black_54">Alligator_Black_54</string>;Generic;false;false;;
Alligator_Black_55;@VC_Alligator_Black_55;;;<string key="VC_Alligator_Black_55">Alligator_Black_55</string>;Generic;false;false;;
Alligator_Black_56;@VC_Alligator_Black_56;;;<string key="VC_Alligator_Black_56">Alligator_Black_56</string>;Generic;false;false;;
Alligator_Black_57;@VC_Alligator_Black_57;;;<string key="VC_Alligator_Black_57">Alligator_Black_57</string>;Generic;false;false;;
