CategoryId;CategoryDamageMod;CategoryHealthMod;CategoryDropChanceMod
Boss;2.0999999046325684;40;1
Boss-;1.899999976158142;25;1
Boss+;2.5;50;1
Critter;0.05000000074505806;0.05000000074505806;0
Dungeon;1.7000000476837158;4;0.10000000149011612
Dungeon-;1.350000023841858;2;0.05000000074505806
Dungeon+;2.049999952316284;10;0.15000000596046448
DungeonBoss;2.5;50;1
DungeonMiniBoss;2.25;30;1
Elite;1.399999976158142;3;0.15000000596046448
Elite-;1.2000000476837158;1.7999999523162842;0.10000000149011612
Elite+;1.7000000476837158;8;0.44999998807907104
EliteMiniBoss;1.899999976158142;25;1
EliteBoss;2.0999999046325684;40;1
Named_Solo;1.2000000476837158;1.5;1
Named_Solo+;1.2999999523162842;2.5;0.6499999761581421
Solo;1;1;0.08500000089406967
Solo-;0.6000000238418579;0.6000000238418579;0.05000000074505806
Solo+;1.25;2;0.25
OutpostRushSolo;1;1;1
OutpostRushElite;1.25;2.75;1
OutpostRushElite+;3;4.5;1
Player;1;1;1
